FECHA_VACUNACION,DOSIS2
2021-04-29,1
2021-05-11,3
2021-05-12,4
2021-05-22,5
2021-05-23,6
2021-05-24,8
2021-05-25,9
2021-05-26,13
2021-05-27,15
2021-05-28,16
2021-05-30,18
2021-06-12,19
2021-06-14,20
2021-06-17,21
2021-06-18,22
2021-06-20,23
2021-06-22,24
2021-06-29,25
2021-06-30,26
2021-07-06,27
2021-07-07,28
2021-07-09,41
2021-07-10,42
2021-07-12,52
2021-07-13,57
2021-07-14,58
2021-07-16,59
2021-07-17,60
2021-07-18,61
2021-07-19,62
2021-07-20,63
2021-07-21,65
2021-07-22,66
2021-07-23,67
2021-07-24,68
2021-07-26,69
2021-07-27,71
2021-07-28,75
2021-07-29,78
2021-07-30,95
2021-07-31,101
2021-08-01,113
2021-08-02,120
2021-08-03,125
2021-08-04,133
2021-08-05,136
2021-08-06,138
2021-08-07,161
2021-08-08,167
2021-08-09,169
2021-08-10,174
2021-08-11,183
2021-08-12,189
2021-08-13,219
2021-08-14,706
2021-08-15,1055
2021-08-16,1125
2021-08-17,1230
2021-08-18,1275
2021-08-19,1310
2021-08-20,1330
2021-08-21,1391
2021-08-22,1447
2021-08-23,1531
2021-08-24,1777
2021-08-25,1840
2021-08-26,1861
2021-08-27,1902
2021-08-28,1975
2021-08-29,2051
2021-08-30,2057
2021-08-31,2173
2021-09-01,2310
2021-09-02,2380
2021-09-03,2461
2021-09-04,2577
2021-09-05,2648
2021-09-06,2780
2021-09-07,2925
2021-09-08,3044
2021-09-09,3157
2021-09-10,3364
2021-09-11,3847
2021-09-12,4377
2021-09-13,4602
2021-09-14,4789
2021-09-15,4953
2021-09-16,5083
2021-09-17,5199
2021-09-18,5473
2021-09-19,5653
2021-09-20,5728
2021-09-21,5865
2021-09-22,5975
2021-09-23,6115
2021-09-24,6248
2021-09-25,6527
2021-09-26,6752
2021-09-27,6859
2021-09-28,6969
2021-09-29,7107
2021-09-30,7270
2021-10-01,7460
2021-10-02,17754
2021-10-03,31205
2021-10-04,31462
2021-10-05,31678
2021-10-06,34200
2021-10-07,36266
2021-10-08,38183
2021-10-09,44234
2021-10-10,45259
2021-10-11,46488
2021-10-12,48035
2021-10-13,49514
2021-10-14,50894
2021-10-15,51917
2021-10-16,53172
2021-10-17,54094
2021-10-18,54733
2021-10-19,55329
2021-10-20,55805
2021-10-21,56224
2021-10-22,56657
2021-10-23,57538
2021-10-24,58139
2021-10-25,58453
2021-10-26,58792
2021-10-27,59088
2021-10-28,59701
2021-10-29,59999
2021-10-30,60313
2021-10-31,60446
2021-11-01,60514
2021-11-02,60781
2021-11-03,61127
2021-11-04,61694
2021-11-05,62102
2021-11-06,64343
2021-11-07,69664
2021-11-08,77686
2021-11-09,98543
2021-11-10,107736
2021-11-11,112329
2021-11-12,113157
2021-11-13,122122
