FECHA_VACUNACION,ASTRAZENECA,PFIZER,SINOPHARM
2021-02-08,0,1,4
2021-02-09,0,1,3848
2021-02-10,0,1,20419
2021-02-11,0,2,54535
2021-02-12,0,4,86902
2021-02-13,0,5,105756
2021-02-14,0,75,111034
2021-02-15,0,79,122504
2021-02-16,0,99,130016
2021-02-17,0,102,133961
2021-02-18,0,102,141356
2021-02-19,0,103,171859
2021-02-20,0,106,197959
2021-02-21,0,106,202508
2021-02-22,0,109,232964
2021-02-23,0,109,260330
2021-02-24,0,133,283217
2021-02-25,0,133,299069
2021-02-26,0,133,314961
2021-02-27,88,181,321756
2021-02-28,88,181,322752
2021-03-01,88,189,332020
2021-03-02,88,190,341233
2021-03-03,88,218,359673
2021-03-04,88,221,392748
2021-03-05,88,224,429821
2021-03-06,88,231,449962
2021-03-07,88,250,452541
2021-03-08,88,14916,468934
2021-03-09,88,30609,480479
2021-03-10,88,39398,489648
2021-03-11,88,43165,500239
2021-03-12,88,46999,523043
2021-03-13,88,50264,555320
2021-03-14,88,50660,558321
2021-03-15,88,65770,591085
2021-03-16,88,86494,617818
2021-03-17,88,107310,643747
2021-03-18,88,132040,661825
2021-03-19,88,155991,679586
2021-03-20,88,173048,687054
2021-03-21,88,173679,688139
2021-03-22,88,180216,698963
2021-03-23,88,194590,709377
2021-03-24,88,207792,718159
2021-03-25,88,219424,724270
2021-03-26,88,234069,730874
2021-03-27,88,243833,735422
2021-03-28,88,245684,735845
2021-03-29,88,257068,742308
2021-03-30,89,275622,750197
2021-03-31,89,290144,760733
2021-04-01,90,293622,763866
2021-04-02,95,296303,765078
2021-04-03,99,301165,769038
2021-04-04,99,301640,770112
2021-04-05,99,305489,782651
2021-04-06,99,318990,799314
2021-04-07,99,333908,815052
2021-04-08,99,364628,829924
2021-04-09,99,382987,846479
2021-04-10,99,391484,850822
2021-04-11,99,391512,850889
2021-04-12,100,403267,853121
2021-04-13,102,423130,855112
2021-04-14,104,443859,857645
2021-04-15,106,465553,859250
2021-04-16,106,504199,862070
2021-04-17,110,546362,863973
2021-04-18,111,577240,864133
2021-04-19,111,586695,865591
2021-04-20,123,600653,867937
2021-04-21,123,614217,874229
2021-04-22,1086,621785,876405
2021-04-23,1752,648317,878117
2021-04-24,2912,674348,880979
2021-04-25,2912,689415,881541
2021-04-26,11461,695679,886453
2021-04-27,23678,702394,897968
2021-04-28,41041,722916,911094
2021-04-29,62332,744860,925230
2021-04-30,81849,806688,942964
2021-05-01,88509,863256,945495
2021-05-02,90500,908389,947223
2021-05-03,101722,957425,950935
2021-05-04,111063,971279,952033
2021-05-05,120429,983533,955206
2021-05-06,129359,1014299,956644
2021-05-07,137859,1053245,957344
2021-05-08,142258,1132230,957562
2021-05-09,142925,1190075,957569
2021-05-10,147053,1241399,958478
2021-05-11,152532,1290463,959159
2021-05-12,165087,1345335,960506
2021-05-13,177321,1413283,961490
2021-05-14,189866,1507531,962383
2021-05-15,197167,1573700,963085
2021-05-16,199804,1609054,963092
2021-05-17,206106,1661840,963359
2021-05-18,211098,1725673,963820
2021-05-19,216374,1798676,966047
2021-05-20,219935,1879885,967841
2021-05-21,226273,2033792,969308
2021-05-22,230613,2158625,971205
2021-05-23,232399,2242423,971949
2021-05-24,238215,2357383,972350
2021-05-25,243016,2451695,973790
2021-05-26,247235,2541365,975331
2021-05-27,250615,2653445,976866
2021-05-28,256924,2798453,977340
2021-05-29,259782,2925622,977738
2021-05-30,260442,2989461,977750
2021-05-31,261904,3098740,978836
2021-06-01,263374,3209801,979306
2021-06-02,265650,3321076,979847
2021-06-03,268283,3382798,980548
2021-06-04,270201,3417341,981207
2021-06-05,270733,3437072,981637
2021-06-06,270864,3438959,981652
2021-06-07,271947,3468836,981882
2021-06-08,293671,3664384,982035
2021-06-09,321754,3842662,982289
2021-06-10,362515,4031482,983065
2021-06-11,400011,4217845,984254
2021-06-12,424793,4356660,984388
2021-06-13,435276,4429443,985011
2021-06-14,458651,4514408,991053
2021-06-15,476795,4608983,1008973
2021-06-16,491428,4699631,1018249
2021-06-17,504715,4822511,1022801
2021-06-18,516937,4979344,1027862
2021-06-19,524004,5081750,1032568
2021-06-20,525277,5112514,1033629
2021-06-21,532622,5207738,1043672
2021-06-22,544006,5326790,1054376
2021-06-23,552694,5436295,1064467
2021-06-24,561323,5501530,1076402
2021-06-25,568974,5611579,1085734
2021-06-26,572980,5683961,1091155
2021-06-27,575860,5730110,1093287
2021-06-28,582394,5771542,1101522
