FECHACORTE,REGION,ZC_UCI_ADUL_CAM_TOTAL,ZC_UCI_ADUL_CAM_INOPERATIVOS,ZC_UCI_ADUL_CAM_TOT_OPER,ZC_UCI_ADUL_CAM_TOT_DISP,ZC_UCI_ADUL_CAM_TOT_OCUP
20211113,AMAZONAS,10,0,10,10,0
20211113,ANCASH,52,0,52,23,29
20211113,APURIMAC,16,1,15,13,2
20211113,AREQUIPA,47,0,47,19,28
20211113,AYACUCHO,20,0,20,12,8
20211113,CAJAMARCA,59,0,59,54,5
20211113,CALLAO,116,18,98,15,83
20211113,CUSCO,39,0,39,19,20
20211113,HUANCAVELICA,21,0,21,20,1
20211113,HUANUCO,29,4,25,13,12
20211113,ICA,78,1,77,44,33
20211113,JUNIN,61,0,61,44,17
20211113,LA LIBERTAD,58,0,58,25,33
20211113,LAMBAYEQUE,64,2,62,23,39
20211113,LIMA,690,30,660,240,420
20211113,LORETO,26,5,21,21,0
20211113,MADRE DE DIOS,8,0,8,7,1
20211113,MOQUEGUA,24,0,24,20,4
20211113,PASCO,23,0,23,20,3
20211113,PIURA,90,0,90,46,44
20211113,PUNO,38,0,38,22,16
20211113,SAN MARTIN,47,0,47,43,4
20211113,TACNA,32,0,32,27,5
20211113,TUMBES,21,0,21,8,13
20211113,UCAYALI,31,0,31,31,0
