FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-02-08,5,0,0
2021-02-09,3844,0,0
2021-02-10,16570,1,0
2021-02-11,34117,0,0
2021-02-12,32369,0,0
2021-02-13,18855,0,0
2021-02-14,5348,0,0
2021-02-15,11472,2,0
2021-02-16,7531,1,0
2021-02-17,3948,0,0
2021-02-18,7394,1,0
2021-02-19,30504,0,0
2021-02-20,26103,0,0
2021-02-21,4549,0,0
2021-02-22,30450,9,0
2021-02-23,27365,1,0
2021-02-24,22906,5,0
2021-02-25,15851,1,0
2021-02-26,15888,4,0
2021-02-27,6931,0,0
2021-02-28,996,0,0
2021-03-01,9272,4,0
2021-03-02,7075,2139,0
2021-03-03,6419,12049,0
2021-03-04,3751,29327,0
2021-03-05,4656,32420,0
2021-03-06,3016,17132,0
2021-03-07,141,2457,0
2021-03-08,18287,12772,0
2021-03-09,19606,7632,0
2021-03-10,12877,5081,0
2021-03-11,8457,5901,0
2021-03-12,8771,17867,0
2021-03-13,6151,29391,0
2021-03-14,690,2707,0
2021-03-15,18081,29793,0
2021-03-16,22603,24854,0
2021-03-17,22349,24396,0
2021-03-18,26158,16650,0
2021-03-19,25659,16053,0
2021-03-20,18095,6430,0
2021-03-21,681,1035,0
2021-03-22,8671,8690,0
2021-03-23,15540,9248,0
2021-03-24,14643,7341,0
2021-03-25,12932,4811,0
2021-03-26,16574,4675,0
2021-03-27,11253,3059,0
2021-03-28,2074,200,0
2021-03-29,4891,12956,0
2021-03-30,4631,21813,0
2021-03-31,7605,17453,0
2021-04-01,2416,4196,0
2021-04-02,1120,2778,0
2021-04-03,2670,6156,0
2021-04-04,256,1293,0
2021-04-05,6168,10220,0
2021-04-06,11712,18452,0
2021-04-07,13790,16866,0
2021-04-08,16909,28683,0
2021-04-09,16509,18405,0
2021-04-10,4172,8668,0
2021-04-11,21,74,0
2021-04-12,874,13114,0
2021-04-13,1880,19976,0
2021-04-14,2676,20588,0
2021-04-15,1822,21479,0
2021-04-16,19656,21810,0
2021-04-17,29590,14480,0
2021-04-18,27887,3152,0
2021-04-19,6935,3978,0
2021-04-20,11242,5074,0
2021-04-21,9685,10171,0
2021-04-22,8210,2497,0
2021-04-23,26377,2533,0
2021-04-24,27631,2422,0
2021-04-25,15524,105,0
2021-04-26,15359,4366,0
2021-04-27,19664,10783,0
2021-04-28,39485,11526,0
2021-04-29,44676,12695,0
2021-04-30,81112,17967,0
