DEPARTAMENTO,DOSIS1,DOSIS2,POBLACION,INDICE1,INDICE2
AMAZONAS,,,426806,,
ANCASH,,,1180638,,
APURIMAC,,,430736,,
AREQUIPA,,,1497438,,
AYACUCHO,,,668213,,
CAJAMARCA,,,1453711,,
CALLAO,28641,1206,1129854,2534.93,106.74
CUSCO,,,1357075,,
HUANCAVELICA,,,365317,,
HUANUCO,,,760267,,
ICA,,,975182,,
JUNIN,,,1361467,,
LA LIBERTAD,,,2016771,,
LAMBAYEQUE,,,1310785,,
LIMA,237162,10263,10628470,2231.38,96.56
LORETO,,,1027559,,
MADRE DE DIOS,,,173811,,
MOQUEGUA,,,192740,,
PASCO,,,271904,,
PIURA,,,2047954,,
PUNO,,,1237997,,
SAN MARTIN,,,899648,,
TACNA,,,370974,,
TUMBES,,,251521,,
UCAYALI,,,589110,,
