FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-02-10,20,0,0
2021-02-11,766,0,0
2021-02-12,1060,0,0
2021-02-13,436,0,0
2021-02-14,11,0,0
2021-02-15,265,0,0
2021-02-16,273,0,0
2021-02-17,215,0,0
2021-02-18,67,0,0
2021-02-19,110,0,0
2021-02-20,907,0,0
2021-02-21,71,0,0
2021-02-22,775,0,0
2021-02-23,528,0,0
2021-02-24,595,1,0
2021-02-25,348,0,0
2021-02-26,332,0,0
2021-02-27,221,0,0
2021-02-28,9,0,0
2021-03-01,160,0,0
2021-03-02,104,0,0
2021-03-03,188,12,0
2021-03-04,89,526,0
2021-03-05,125,815,0
2021-03-06,60,399,0
2021-03-07,3,12,0
2021-03-08,36,184,0
2021-03-09,38,239,0
2021-03-10,48,167,0
2021-03-11,14,46,0
2021-03-12,20,50,0
2021-03-13,14,564,0
2021-03-14,0,17,0
2021-03-15,70,699,0
2021-03-16,1716,549,0
2021-03-17,143,323,0
2021-03-18,2939,182,0
2021-03-19,2947,564,0
2021-03-20,181,153,0
2021-03-21,2,16,0
2021-03-22,110,199,0
2021-03-23,15,139,0
2021-03-24,23,240,0
2021-03-25,80,175,0
2021-03-26,35,207,0
2021-03-27,68,153,0
2021-03-28,1,13,0
2021-03-29,23,71,0
2021-03-30,11,80,0
2021-03-31,33,116,0
2021-04-01,1,12,0
2021-04-02,0,11,0
2021-04-03,36,28,0
2021-04-04,0,2,0
2021-04-05,37,113,0
2021-04-06,22,1490,0
2021-04-07,50,423,0
2021-04-08,143,2691,0
2021-04-09,446,2823,0
2021-04-10,706,216,0
2021-04-11,0,2,0
2021-04-12,30,89,0
2021-04-13,25,28,0
2021-04-14,68,58,0
2021-04-15,15,64,0
2021-04-16,481,76,0
2021-04-17,288,55,0
2021-04-18,178,3,0
2021-04-19,24,47,0
2021-04-20,41,21,0
2021-04-21,9,23,0
2021-04-22,6,15,0
2021-04-23,605,82,0
2021-04-24,631,3,0
2021-04-25,0,2,0
2021-04-26,12,42,0
2021-04-27,2,28,0
2021-04-28,38,49,0
2021-04-29,19,109,0
2021-04-30,93,355,0
2021-05-01,4,8,0
2021-05-02,0,3,0
2021-05-03,3279,699,0
2021-05-04,3398,145,0
2021-05-05,15,96,0
2021-05-06,7,17,0
2021-05-07,2,24,0
2021-05-08,1,4,0
2021-05-10,4,16,0
2021-05-11,21,551,0
2021-05-12,5,249,0
2021-05-13,2111,222,0
2021-05-14,1591,52,0
2021-05-15,1093,9,0
2021-05-16,0,1,0
2021-05-17,33,1159,0
2021-05-18,18,8,0
2021-05-19,767,22,0
2021-05-20,34,24,0
2021-05-21,1372,11,0
2021-05-22,987,6,0
2021-05-23,0,1,0
2021-05-24,85,2941,0
2021-05-25,881,3388,0
2021-05-26,1340,17,0
2021-05-27,2583,11,0
2021-05-28,8557,97,0
2021-05-29,5545,73,0
2021-05-30,444,0,0
2021-05-31,75,7,0
2021-06-01,907,29,0
2021-06-02,860,22,0
2021-06-03,14,25,0
2021-06-04,1,9,0
2021-06-05,141,4,0
2021-06-06,0,1,0
2021-06-07,62,18,0
2021-06-08,765,2848,0
2021-06-09,922,1224,0
2021-06-10,104,97,0
2021-06-11,568,1226,0
2021-06-12,195,980,0
2021-06-13,39,12,0
2021-06-14,14,15,0
2021-06-15,154,577,0
2021-06-16,397,1306,0
2021-06-17,380,2200,0
2021-06-18,1080,7765,0
2021-06-19,869,5151,0
2021-06-20,282,375,0
2021-06-21,50,62,0
2021-06-22,420,650,0
2021-06-23,333,1462,0
2021-06-24,19,66,0
2021-06-25,287,130,0
2021-06-26,121,186,0
2021-06-28,381,370,0
2021-06-29,40,2,0
2021-06-30,365,771,0
2021-07-01,551,575,0
2021-07-02,5674,414,0
2021-07-03,3822,330,0
2021-07-04,142,0,0
2021-07-05,7038,455,0
2021-07-06,5884,298,0
2021-07-07,3181,281,0
2021-07-08,3419,461,0
2021-07-09,3528,1045,0
2021-07-10,4169,779,0
2021-07-11,530,203,0
2021-07-12,1209,170,0
2021-07-13,1866,340,0
2021-07-14,2569,335,0
2021-07-15,1801,99,0
2021-07-16,1688,257,0
2021-07-17,378,93,0
2021-07-18,310,2,0
2021-07-19,1732,332,0
2021-07-20,3512,113,0
2021-07-21,3818,344,0
2021-07-22,4472,583,0
2021-07-23,3519,4830,0
2021-07-24,2783,3225,0
2021-07-25,233,3,0
2021-07-26,3788,4619,0
2021-07-27,3795,4130,0
2021-07-28,114,2,0
2021-07-29,118,10,0
2021-07-30,4162,5195,0
2021-07-31,3997,3753,0
2021-08-01,1414,675,0
2021-08-02,471,756,0
2021-08-03,2691,2146,0
2021-08-04,2016,2143,0
2021-08-05,2392,1632,0
2021-08-06,2907,1545,0
2021-08-07,1538,333,0
2021-08-08,190,120,0
2021-08-09,854,398,0
2021-08-10,1028,317,0
2021-08-11,1014,4529,0
2021-08-12,1603,4882,0
2021-08-13,1747,4548,0
2021-08-14,2418,2684,0
2021-08-15,984,1167,0
2021-08-16,1344,4287,0
2021-08-17,1207,4450,0
2021-08-18,1044,1721,0
2021-08-19,548,239,0
2021-08-20,1187,698,0
2021-08-21,1728,1089,0
2021-08-22,825,628,0
2021-08-23,1331,3501,0
2021-08-24,755,2591,0
2021-08-25,822,1788,0
2021-08-26,1569,2483,0
2021-08-27,1501,1104,0
2021-08-28,4071,1862,0
2021-08-29,5472,780,0
2021-08-30,124,57,0
2021-08-31,384,343,0
2021-09-01,400,833,0
2021-09-02,621,1188,0
2021-09-03,5292,1237,0
2021-09-04,3652,1565,0
2021-09-05,290,550,0
2021-09-06,3211,1293,0
2021-09-07,2588,1241,0
2021-09-08,1944,1104,0
2021-09-09,1703,626,0
2021-09-10,10901,1289,0
2021-09-11,15351,2905,0
2021-09-12,6008,1544,0
2021-09-13,3167,1053,0
2021-09-14,5548,1170,0
2021-09-15,4185,887,0
2021-09-16,4249,1684,0
2021-09-17,4062,1717,0
2021-09-18,3453,2701,0
2021-09-19,1010,70,0
2021-09-20,2839,3864,0
2021-09-21,3137,2071,0
2021-09-22,2701,969,0
2021-09-23,2583,681,0
2021-09-24,1826,3092,0
2021-09-25,1452,2716,0
2021-09-26,326,350,0
2021-09-27,1674,1915,0
2021-09-28,1590,1966,0
2021-09-29,1640,1824,0
2021-09-30,1322,1810,0
2021-10-01,1042,7017,0
2021-10-02,2685,9337,0
2021-10-03,1491,4319,0
2021-10-04,1618,3402,0
2021-10-05,8376,4922,0
2021-10-06,7935,3920,0
2021-10-07,1549,1560,0
2021-10-08,736,966,0
2021-10-09,6735,5281,0
2021-10-10,4005,1594,0
2021-10-11,426,227,0
2021-10-12,6933,3067,0
2021-10-13,5015,2227,0
2021-10-14,953,1278,0
2021-10-15,806,1181,54
2021-10-16,4655,2435,192
2021-10-17,2586,1422,0
2021-10-18,421,1000,169
2021-10-19,518,1626,287
2021-10-20,767,1522,254
2021-10-21,952,1293,180
2021-10-22,2380,1421,175
2021-10-23,3625,1854,276
2021-10-24,1463,933,0
2021-10-25,2087,1252,431
2021-10-26,2763,5040,284
2021-10-27,3424,6118,157
2021-10-28,4953,2967,164
2021-10-29,5079,2322,123
2021-10-30,3879,3988,747
2021-10-31,1566,1839,571
2021-11-01,23,65,0
2021-11-02,326,1013,59
2021-11-03,1728,3994,493
2021-11-04,3174,2350,424
2021-11-05,10818,1459,354
2021-11-06,18035,2177,333
2021-11-07,11557,1744,105
2021-11-08,9938,2390,285
2021-11-09,6409,1718,175
2021-11-10,5243,1681,248
2021-11-11,4805,1674,229
2021-11-12,2893,1513,371
2021-11-13,1637,1409,41
