DEPARTAMENTO,DISTRITO,POBLACION
AMAZONAS,CHACHAPOYAS,23839
AMAZONAS,ASUNCION,318
AMAZONAS,BALSAS,1173
AMAZONAS,CHETO,671
AMAZONAS,CHILIQUIN,930
AMAZONAS,CHUQUIBAMBA,1833
AMAZONAS,GRANADA,509
AMAZONAS,HUANCAS,468
AMAZONAS,LA JALCA,4845
AMAZONAS,LEIMEBAMBA,3083
AMAZONAS,LEVANTO,1008
AMAZONAS,MAGDALENA,832
AMAZONAS,MARISCAL CASTILLA,922
AMAZONAS,MOLINOPAMPA,2245
AMAZONAS,MONTEVIDEO,673
AMAZONAS,OLLEROS,407
AMAZONAS,QUINJALCA,930
AMAZONAS,SAN FRANCISCO DE DAGUAS,313
AMAZONAS,SAN ISIDRO DE MAINO,606
AMAZONAS,SOLOCO,1424
AMAZONAS,SONCHE,341
AMAZONAS,LA PECA,8460
AMAZONAS,ARAMANGO,10277
AMAZONAS,COPALLIN,4807
AMAZONAS,EL PARCO,1466
AMAZONAS,IMAZA,29323
AMAZONAS,JUMBILLA,1003
AMAZONAS,CHISQUILLA,440
AMAZONAS,CHURUJA,377
AMAZONAS,COROSHA,796
AMAZONAS,CUISPES,712
AMAZONAS,FLORIDA,5319
AMAZONAS,JAZAN,6979
AMAZONAS,RECTA,300
AMAZONAS,SAN CARLOS,480
AMAZONAS,SHIPASBAMBA,1572
AMAZONAS,VALERA,971
AMAZONAS,YAMBRASBAMBA,5480
AMAZONAS,NIEVA,25909
AMAZONAS,EL CENEPA,12650
AMAZONAS,RIO SANTIAGO,13687
AMAZONAS,LAMUD,1908
AMAZONAS,CAMPORREDONDO,5352
AMAZONAS,COCABAMBA,1807
AMAZONAS,COLCAMAR,1944
AMAZONAS,CONILA,1739
AMAZONAS,INGUILPATA,542
AMAZONAS,LONGUITA,900
AMAZONAS,LONYA CHICO,906
AMAZONAS,LUYA,3461
AMAZONAS,LUYA VIEJO,387
AMAZONAS,MARIA,880
AMAZONAS,OCALLI,2831
AMAZONAS,OCUMAL,3266
AMAZONAS,PISUQUIA,4646
AMAZONAS,PROVIDENCIA,1337
AMAZONAS,SAN CRISTOBAL,615
AMAZONAS,SAN FRANCISCO DEL YESO,661
AMAZONAS,SAN JERONIMO,800
AMAZONAS,SAN JUAN DE LOPECANCHA,572
AMAZONAS,SANTA CATALINA,1629
AMAZONAS,SANTO TOMAS,3054
AMAZONAS,TINGO,1279
AMAZONAS,TRITA,1185
AMAZONAS,SAN NICOLAS,4456
AMAZONAS,CHIRIMOTO,2202
AMAZONAS,COCHAMAL,690
AMAZONAS,HUAMBO,2546
AMAZONAS,LIMABAMBA,1527
AMAZONAS,LONGAR,1553
AMAZONAS,MARISCAL BENAVIDES,1694
AMAZONAS,MILPUC,636
AMAZONAS,OMIA,8559
AMAZONAS,SANTA ROSA,560
AMAZONAS,TOTORA,466
AMAZONAS,VISTA ALEGRE,2292
AMAZONAS,BAGUA GRANDE,46839
AMAZONAS,CAJARURO,24445
AMAZONAS,CUMBA,7817
AMAZONAS,EL MILAGRO,5011
AMAZONAS,JAMALCA,6459
AMAZONAS,LONYA GRANDE,8565
AMAZONAS,YAMON,3084
AYACUCHO,AYACUCHO,89170
AYACUCHO,ACOCRO,8204
AYACUCHO,ACOS VINCHOS,4756
AYACUCHO,CARMEN ALTO,21879
AYACUCHO,CHIARA,5571
AYACUCHO,OCROS,5595
AYACUCHO,PACAYCASA,2845
AYACUCHO,QUINUA,5604
AYACUCHO,SAN JOSE DE TICLLAS,2278
AYACUCHO,SAN JUAN BAUTISTA,41135
AYACUCHO,SANTIAGO DE PISCHA,1455
AYACUCHO,SOCOS,7520
AYACUCHO,TAMBILLO,5487
AYACUCHO,VINCHOS,16108
AYACUCHO,JESUS NAZARENO,10098
AYACUCHO,CANGALLO,5464
AYACUCHO,CHUSCHI,6806
AYACUCHO,LOS MOROCHUCOS,7780
AYACUCHO,MARIA PARADO DE BELLIDO,2091
AYACUCHO,PARAS,4831
AYACUCHO,TOTOS,3436
AYACUCHO,SANCOS,2897
AYACUCHO,CARAPO,2132
AYACUCHO,SACSAMARCA,1506
AYACUCHO,SANTIAGO DE LUCANAMARCA,2382
AYACUCHO,HUANTA,37130
AYACUCHO,AYAHUANCO,7971
AYACUCHO,HUAMANGUILLA,4367
AYACUCHO,IGUAIN,3381
AYACUCHO,LURICOCHA,6474
AYACUCHO,SANTILLANA,4523
AYACUCHO,SIVIA,8923
AYACUCHO,SAN MIGUEL,11779
AYACUCHO,ANCO,8591
AYACUCHO,AYNA,8316
AYACUCHO,CHILCAS,1815
AYACUCHO,CHUNGUI,4441
AYACUCHO,LUIS CARRANZA,1215
AYACUCHO,TAMBO,11454
AYACUCHO,SANTA ROSA,10043
AYACUCHO,PUQUIO,2529
AYACUCHO,AUCARA,2137
AYACUCHO,CABANA,995
AYACUCHO,CARMEN SALCEDO,1082
AYACUCHO,CHAVIÑA,1906
AYACUCHO,CHIPAO,2475
AYACUCHO,HUAC-HUAS,1311
AYACUCHO,LARAMATE,1374
AYACUCHO,LEONCIO PRADO,881
AYACUCHO,LLAUTA,1307
AYACUCHO,LUCANAS,2529
AYACUCHO,OCAÑA,2202
AYACUCHO,OTOCA,1437
AYACUCHO,SAISA,354
AYACUCHO,SAN CRISTOBAL,1791
AYACUCHO,SAN JUAN,602
AYACUCHO,SAN PEDRO,2841
AYACUCHO,SAN PEDRO DE PALCO,1121
AYACUCHO,SANCOS,2655
AYACUCHO,SANTA ANA DE HUAYCAHUACHO,487
AYACUCHO,SANTA LUCIA,789
AYACUCHO,CORACORA,9865
AYACUCHO,CHUMPI,2076
AYACUCHO,CORONEL CASTAÑEDA,860
AYACUCHO,PACAPAUSA,712
AYACUCHO,PULLO,3757
AYACUCHO,PUYUSCA,1975
AYACUCHO,SAN FRANCISCO DE RAVACAYCO,856
AYACUCHO,UPAHUACHO,1334
AYACUCHO,PAUSA,2227
AYACUCHO,COLTA,417
AYACUCHO,CORCULLA,388
AYACUCHO,LAMPA,1647
AYACUCHO,MARCABAMBA,471
AYACUCHO,OYOLO,979
AYACUCHO,PARARCA,411
AYACUCHO,SAN JAVIER DEL ALPABAMBA,546
AYACUCHO,SAN JOSE DE USHUA,183
AYACUCHO,SARA SARA,511
AYACUCHO,QUEROBAMBA,2187
AYACUCHO,BELEN,259
AYACUCHO,CHALCOS,515
