FECHA_VACUNACION,DOSIS2
2021-03-31,1
2021-04-06,2
2021-04-07,3
2021-04-29,4
2021-04-30,6
2021-05-05,7
2021-05-11,9
2021-05-12,11
2021-05-22,13
2021-05-23,16
2021-05-24,19
2021-05-25,20
2021-05-26,26
2021-05-27,29
2021-05-28,31
2021-05-30,35
2021-05-31,37
2021-06-05,38
2021-06-12,39
2021-06-14,44
2021-06-17,45
2021-06-18,48
2021-06-20,49
2021-06-21,50
2021-06-22,52
2021-06-23,54
2021-06-26,56
2021-06-29,58
2021-06-30,61
2021-07-01,62
2021-07-02,63
2021-07-03,64
2021-07-05,65
2021-07-06,66
2021-07-07,68
2021-07-08,69
2021-07-09,82
2021-07-10,84
2021-07-12,94
2021-07-13,100
2021-07-14,101
2021-07-15,102
2021-07-16,105
2021-07-17,107
2021-07-18,108
2021-07-19,109
2021-07-20,110
2021-07-21,112
2021-07-22,116
2021-07-23,120
2021-07-24,123
2021-07-26,124
2021-07-27,128
2021-07-28,133
2021-07-29,137
2021-07-30,154
2021-07-31,162
2021-08-01,175
2021-08-02,183
2021-08-03,188
2021-08-04,197
2021-08-05,200
2021-08-06,203
2021-08-07,228
2021-08-08,235
2021-08-10,240
2021-08-11,249
2021-08-12,256
2021-08-13,287
2021-08-14,781
2021-08-15,1135
2021-08-16,1206
2021-08-17,1312
2021-08-18,1358
2021-08-19,1393
2021-08-20,1413
2021-08-21,1475
2021-08-22,1531
2021-08-23,1618
2021-08-24,1864
2021-08-25,1930
2021-08-26,1955
2021-08-27,2006
2021-08-28,2082
2021-08-29,2176
2021-08-30,2183
2021-08-31,2309
2021-09-01,2454
2021-09-02,2527
2021-09-03,2609
2021-09-04,2731
2021-09-05,2810
2021-09-06,2950
2021-09-07,3104
2021-09-08,3235
2021-09-09,3361
2021-09-10,3580
2021-09-11,4071
2021-09-12,4604
2021-09-13,4831
2021-09-14,5020
2021-09-15,5185
2021-09-16,5319
2021-09-17,5435
2021-09-18,5717
2021-09-19,5903
2021-09-20,5982
2021-09-21,6119
2021-09-22,6247
2021-09-23,6403
2021-09-24,6546
2021-09-25,6837
2021-09-26,7069
2021-09-27,7179
2021-09-28,7299
2021-09-29,7447
2021-09-30,7619
2021-10-01,7817
2021-10-02,18190
2021-10-03,31668
2021-10-04,31926
2021-10-05,32156
2021-10-06,34686
2021-10-07,36809
2021-10-08,38736
2021-10-09,44805
2021-10-10,45841
2021-10-11,47083
2021-10-12,48640
2021-10-13,50124
2021-10-14,51506
2021-10-15,52534
2021-10-16,53792
2021-10-17,54718
2021-10-18,55376
2021-10-19,55976
2021-10-20,56465
2021-10-21,56890
2021-10-22,57348
2021-10-23,58268
2021-10-24,58893
2021-10-25,59250
2021-10-26,59611
2021-10-27,59913
2021-10-28,60548
2021-10-29,60902
2021-10-30,61260
2021-10-31,61413
2021-11-01,61483
2021-11-02,61762
2021-11-03,62119
2021-11-04,62704
2021-11-05,63119
2021-11-06,65394
2021-11-07,71125
2021-11-08,79177
2021-11-09,100247
2021-11-10,109665
2021-11-11,115076
2021-11-12,116150
2021-11-13,128364
2021-11-14,135533
2021-11-15,139482
2021-11-16,141896
2021-11-17,143791
2021-11-18,145503
2021-11-19,147991
2021-11-20,198512
2021-11-21,265257
2021-11-22,298535
2021-11-23,337814
2021-11-24,379193
2021-11-25,453479
2021-11-26,557402
2021-11-27,721576
2021-11-28,839218
2021-11-29,910111
2021-11-30,969984
2021-12-01,1022716
2021-12-02,1070388
2021-12-03,1114795
2021-12-04,1173620
2021-12-05,1218667
2021-12-06,1253107
2021-12-07,1287357
2021-12-08,1310172
2021-12-09,1342481
2021-12-10,1379226
2021-12-11,1425964
2021-12-12,1463837
2021-12-13,1491873
2021-12-14,1524232
2021-12-15,1552494
2021-12-16,1577224
2021-12-17,1602275
2021-12-18,1628904
2021-12-19,1650781
2021-12-20,1670168
2021-12-21,1688703
2021-12-22,1705320
2021-12-23,1718355
2021-12-24,1722587
2021-12-25,1723695
2021-12-26,1732406
2021-12-27,1747132
2021-12-28,1763033
2021-12-29,1777290
2021-12-30,1788702
2021-12-31,1792726
2022-01-01,1793307
2022-01-02,1798325
2022-01-03,1808687
2022-01-04,1819910
2022-01-05,1832020
2022-01-06,1844166
2022-01-07,1856104
2022-01-08,1867586
2022-01-09,1875572
2022-01-10,1885174
2022-01-11,1894621
2022-01-12,1903728
2022-01-13,1912301
2022-01-14,1920046
2022-01-15,1926484
2022-01-16,1931101
2022-01-17,1937257
2022-01-18,1943235
2022-01-19,1949064
2022-01-20,1954083
2022-01-21,1959076
2022-01-22,1963582
2022-01-23,1967519
2022-01-24,1972219
2022-01-25,1976908
2022-01-26,1981849
2022-01-27,1986745
2022-01-28,1991469
2022-01-29,1996113
2022-01-30,1999831
2022-01-31,2004002
2022-02-01,2008219
2022-02-02,2012193
2022-02-03,2015691
2022-02-04,2017763
