FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2020-04-27,0,0,0,0,1
2020-09-09,0,0,0,0,18
2020-09-10,0,0,0,0,20
2020-09-11,0,0,0,0,24
2020-09-12,0,0,0,0,41
2020-09-14,0,0,0,0,47
2020-09-15,0,0,0,0,50
2020-09-16,0,0,0,0,57
2020-09-17,0,0,0,0,67
2020-09-18,0,0,0,0,77
2020-09-19,0,0,0,0,92
2020-09-21,0,0,0,0,102
2020-09-22,0,0,0,0,110
2020-09-23,0,0,0,0,121
2020-09-24,0,0,0,0,128
2020-09-25,0,0,0,0,144
2020-09-26,0,0,0,0,158
2020-09-28,0,0,0,0,167
2020-09-29,0,0,0,0,174
2020-09-30,0,0,0,0,204
2020-10-01,0,0,0,0,222
2020-10-02,0,0,0,0,249
2020-10-03,0,0,0,0,284
2020-10-05,0,0,0,0,303
2020-10-06,0,0,0,0,339
2020-10-07,0,0,0,0,358
2020-10-08,0,0,0,0,382
2020-10-09,0,0,0,0,414
2020-10-10,0,0,0,0,439
2020-10-12,0,0,0,0,462
2020-10-13,0,0,0,0,494
2020-10-14,0,0,0,0,513
2020-10-15,0,0,0,0,539
2020-10-16,0,0,0,0,565
2020-10-17,0,0,0,0,616
2020-10-18,0,0,0,0,625
2020-10-19,0,0,0,0,658
2020-10-20,0,0,0,0,686
2020-10-21,0,0,0,0,720
2020-10-22,0,0,0,0,754
2020-10-23,0,0,0,0,785
2020-10-24,0,0,0,0,833
2020-10-25,0,0,0,0,837
2020-10-26,0,0,0,0,864
2020-10-27,0,0,0,0,913
2020-10-28,0,0,0,0,938
2020-10-29,0,0,0,0,968
2020-10-30,0,0,0,0,993
2020-10-31,0,0,0,0,1030
2020-11-02,0,0,0,0,1050
2020-11-03,0,0,0,0,1082
2020-11-04,0,0,0,0,1104
2020-11-05,0,0,0,0,1125
2020-11-06,0,0,0,0,1145
2020-11-07,0,0,0,0,1170
2020-11-08,0,0,0,0,1180
2020-11-09,0,0,0,0,1212
2020-11-10,0,0,0,0,1246
2020-11-11,0,0,0,0,1270
2020-11-12,0,0,0,0,1304
2020-11-13,0,1,0,0,1339
2020-11-14,0,4,0,0,1375
2020-11-15,0,4,0,0,1381
2020-11-16,0,4,0,0,1406
2020-11-17,0,5,0,0,1432
2020-11-18,0,5,0,0,1446
2020-11-19,0,5,0,0,1459
2020-11-20,2,5,0,0,1476
2020-11-21,5,5,0,0,1509
2020-11-22,5,6,0,0,1509
2020-11-23,9,6,0,0,1532
2020-11-24,11,6,0,0,1558
2020-11-25,21,6,0,0,1583
2020-11-26,22,6,0,0,1614
2020-11-27,27,6,0,0,1633
2020-11-28,31,6,0,0,1659
2020-11-29,31,6,0,0,1660
2020-11-30,31,6,0,0,1685
2020-12-01,36,6,0,0,1707
2020-12-02,40,6,0,0,1731
2020-12-03,41,6,0,0,1753
2020-12-04,45,6,0,0,1769
2020-12-05,45,7,0,0,1799
2020-12-07,46,7,0,0,1820
2020-12-09,48,8,0,0,1841
2020-12-10,51,8,0,0,1865
2020-12-11,55,8,0,0,1892
2020-12-12,58,8,0,0,1892
