FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2020-04-27,1,0,0,0
2020-09-09,17,0,0,0
2020-09-10,19,0,0,0
2020-09-11,23,0,0,0
2020-09-12,30,0,0,0
2020-09-14,34,0,0,0
2020-09-15,37,0,0,0
2020-09-16,42,0,0,0
2020-09-17,50,0,0,0
2020-09-18,59,0,0,0
2020-09-19,69,0,0,0
2020-09-21,76,0,0,0
2020-09-22,82,0,0,0
2020-09-23,92,0,0,0
2020-09-24,99,0,0,0
2020-09-25,111,0,0,0
2020-09-26,123,0,0,0
2020-09-28,130,0,0,0
2020-09-29,135,0,0,0
2020-09-30,149,12,0,0
2020-10-01,162,15,0,0
2020-10-02,180,19,0,0
2020-10-03,196,25,0,0
2020-10-05,207,28,0,0
2020-10-06,235,32,0,0
2020-10-07,249,37,0,0
2020-10-08,268,42,0,0
2020-10-09,285,53,0,0
2020-10-10,300,58,0,0
2020-10-12,311,65,0,0
2020-10-13,331,71,0,0
2020-10-14,340,79,0,0
2020-10-15,349,90,0,0
2020-10-16,362,97,0,0
2020-10-17,383,111,0,0
2020-10-18,392,111,0,0
2020-10-19,413,119,0,0
2020-10-20,431,124,0,0
2020-10-21,448,140,0,0
2020-10-22,464,151,0,0
2020-10-23,476,165,0,0
2020-10-24,500,180,0,0
2020-10-25,504,180,0,0
2020-10-26,517,188,0,0
2020-10-27,532,214,0,0
2020-10-28,537,231,0,0
2020-10-29,543,252,0,0
2020-10-30,548,268,0,0
2020-10-31,562,283,0,0
2020-11-02,567,293,0,0
2020-11-03,576,310,0,0
2020-11-04,584,321,0,0
2020-11-05,594,327,0,0
2020-11-06,601,338,0,0
2020-11-07,606,354,0,0
2020-11-08,606,363,0,0
2020-11-09,614,381,0,0
2020-11-10,624,399,0,0
2020-11-11,633,412,0,0
2020-11-12,641,426,0,0
2020-11-13,648,447,0,0
2020-11-14,658,468,0,0
2020-11-15,658,474,0,0
2020-11-16,668,489,0,0
2020-11-17,673,505,0,0
2020-11-18,679,509,0,0
2020-11-19,685,513,0,0
2020-11-20,700,516,0,0
2020-11-21,721,527,0,0
2020-11-23,733,534,0,0
2020-11-24,744,545,0,0
2020-11-25,764,553,0,0
2020-11-26,778,564,0,0
2020-11-27,794,570,0,0
2020-11-28,808,576,0,0
2020-11-30,820,586,0,0
2020-12-01,831,599,0,0
2020-12-02,849,605,0,0
2020-12-03,858,613,0,0
2020-12-04,870,618,0,0
2020-12-05,882,632,0,0
2020-12-07,890,642,0,0
2020-12-09,904,649,0,0
2020-12-10,917,656,0,0
2020-12-11,939,665,0,0
2020-12-12,941,665,0,0
2020-12-14,943,665,0,0
2020-12-15,950,665,0,0
2020-12-16,954,670,0,0
2020-12-17,961,691,0,0
2020-12-18,975,712,0,0
2020-12-19,993,737,0,0
2020-12-20,993,738,0,0
2020-12-21,1002,756,0,0
2020-12-22,1015,769,0,0
2020-12-23,1022,785,0,0
2020-12-24,1028,787,0,0
2020-12-26,1037,821,0,0
2020-12-28,1055,839,0,0
2020-12-29,1064,842,0,0
2020-12-30,1066,853,0,0
2021-01-02,1066,872,0,0
2021-01-04,1067,887,0,0
2021-01-05,1068,895,0,0
2021-01-06,1069,899,0,0
2021-01-07,1071,901,0,0
2021-01-08,1073,912,0,0
2021-01-09,1075,930,0,0
2021-01-10,1075,931,0,0
2021-01-11,1076,935,0,0
2021-01-12,1092,941,0,0
2021-01-13,1101,950,0,0
2021-01-14,1112,953,0,0
2021-01-15,1131,959,0,0
2021-01-16,1141,961,0,0
2021-01-17,1141,964,0,0
2021-01-18,1144,978,0,0
2021-01-19,1149,993,0,0
2021-01-20,1150,999,0,0
2021-01-21,1152,1008,0,0
2021-01-22,1152,1011,0,0
2021-01-23,1153,1016,0,0
2021-01-24,1153,1021,0,0
2021-01-25,1153,1028,0,0
2021-01-26,1153,1036,0,0
2021-01-27,1154,1042,0,0
2021-01-28,1154,1049,0,0
2021-01-29,1154,1055,0,0
2021-01-30,1154,1057,0,0
2021-02-01,1155,1057,0,0
2021-02-02,1155,1067,0,0
2021-02-03,1161,1072,0,0
2021-02-04,1161,1085,0,0
2021-02-05,1161,1097,0,0
2021-02-06,1161,1102,0,0
2021-02-07,1175,1103,0,0
2021-02-08,1192,1106,2,1
2021-02-09,4947,1110,2,1
2021-02-10,21550,1130,3,1
2021-02-11,55680,1132,4,1
2021-02-12,88063,1132,5,1
2021-02-13,106976,1133,6,1
2021-02-14,112261,1134,6,1
2021-02-15,123753,1134,6,1
2021-02-16,131290,1135,6,1
2021-02-17,135243,1135,6,1
2021-02-18,142659,1136,6,1
2021-02-19,173203,1144,8,1
2021-02-20,199343,1144,8,1
2021-02-21,203901,1145,8,1
2021-02-22,234370,1155,8,1
2021-02-23,261641,1157,9,1
2021-02-24,284556,1161,9,1
2021-02-25,300375,1166,11,1
2021-02-26,316017,1170,12,1
2021-02-27,322841,1170,12,1
2021-02-28,323857,1171,12,1
2021-03-01,333159,1176,14,1
2021-03-02,340282,3324,14,1
2021-03-03,346692,15386,14,1
2021-03-04,350475,44640,14,1
2021-03-05,355102,76982,14,1
2021-03-06,358128,93995,14,1
2021-03-07,358268,96470,14,1
2021-03-08,376242,109162,14,1
2021-03-09,395845,116688,16,1
2021-03-10,408787,121770,17,1
2021-03-11,417349,127680,23,1
2021-03-12,426096,145458,27,1
2021-03-13,432316,174982,27,1
2021-03-14,433028,177696,27,1
2021-03-15,451184,207528,27,1
2021-03-16,473846,232486,27,1
2021-03-17,496263,256939,28,1
2021-03-18,522482,273575,28,1
2021-03-19,548158,289410,28,1
2021-03-20,566330,295806,28,1
2021-03-21,567016,296838,28,1
2021-03-22,575714,305601,28,1
2021-03-23,591360,314906,28,1
2021-03-24,606042,322304,30,1
2021-03-25,619003,327120,30,1
2021-03-26,635639,331888,30,1
2021-03-27,646939,335009,30,1
2021-03-28,649038,335213,31,1
2021-03-29,653950,347715,31,1
2021-03-30,658606,369687,31,1
2021-03-31,666264,387301,31,1
2021-04-01,668717,391613,31,1
2021-04-02,669871,394420,31,1
2021-04-03,672580,400619,31,1
2021-04-04,672858,401941,31,1
2021-04-05,679015,412358,31,1
2021-04-06,690795,431022,31,1
2021-04-07,704692,448038,32,1
2021-04-08,721698,476864,32,1
2021-04-09,738335,495286,32,1
2021-04-10,742529,504110,33,1
2021-04-11,742564,504189,33,1
2021-04-12,743477,517432,35,1
2021-04-13,745366,537561,35,1
2021-04-14,748098,558253,35,1
2021-04-15,749947,579812,35,1
2021-04-16,769649,601692,35,1
2021-04-17,799300,616331,35,1
2021-04-18,827237,619508,35,1
2021-04-19,834202,623529,35,1
2021-04-20,845483,628688,35,1
2021-04-21,855334,638976,35,1
2021-04-22,863577,641507,35,1
2021-04-23,889990,644111,35,1
2021-04-24,917676,646578,35,1
2021-04-25,933236,646718,35,1
2021-04-26,948601,651234,36,1
2021-04-27,968315,662068,37,1
2021-04-28,1007843,673924,39,1
2021-04-29,1052588,686827,41,1
2021-04-30,1133882,705161,42,1
2021-05-01,1197040,708159,42,1
2021-05-02,1245028,709244,42,1
2021-05-03,1304309,714297,42,1
2021-05-04,1327202,715810,42,1
2021-05-05,1347720,720396,42,1
2021-05-06,1386971,722465,42,1
2021-05-07,1420500,737298,42,1
2021-05-08,1481647,760049,42,1
2021-05-09,1514995,785524,42,1
2021-05-10,1562544,794576,42,1
2021-05-11,1605326,807150,42,1
2021-05-12,1663049,818561,43,1
2021-05-13,1736487,826996,43,1
2021-05-14,1824497,847949,43,1
2021-05-15,1877500,869961,43,1
2021-05-16,1901154,884512,43,1
2021-05-17,1952312,892836,43,1
2021-05-18,2011933,902747,43,1
2021-05-19,2072268,923126,43,1
2021-05-20,2142598,939573,43,1
2021-05-21,2251816,993323,43,1
2021-05-22,2331247,1045658,45,1
2021-05-23,2376694,1088704,47,1
2021-05-24,2446342,1141024,48,1
2021-05-25,2524169,1164694,50,1
2021-05-26,2607500,1177497,51,1
2021-05-27,2697880,1204590,51,1
2021-05-28,2822585,1232440,54,1
2021-05-29,2897981,1288636,54,1
2021-05-30,2931855,1320273,54,1
2021-05-31,3000864,1363745,55,1
2021-06-01,3076637,1401709,57,1
2021-06-02,3154931,1438199,59,1
2021-06-03,3193729,1465112,59,1
2021-06-04,3209914,1486715,59,1
2021-06-05,3217508,1500435,59,1
2021-06-06,3219383,1500741,59,1
2021-06-07,3227371,1524277,76,1
2021-06-08,3328960,1641125,84,1
2021-06-09,3444121,1733489,91,1
2021-06-10,3568827,1840215,104,1
2021-06-11,3659707,1975702,113,1
2021-06-12,3735294,2065029,118,1
2021-06-13,3772604,2112129,119,1
2021-06-14,3809039,2190894,123,1
2021-06-15,3851221,2280471,130,1
2021-06-16,3889448,2357769,148,1
2021-06-17,3930121,2458447,149,1
2021-06-18,3965874,2597902,190,1
2021-06-19,3988573,2689955,193,1
2021-06-20,3994827,2717275,198,1
2021-06-21,4039168,2786105,199,1
2021-06-22,4086250,2881223,199,1
2021-06-23,4127553,2969182,260,1
2021-06-24,4171833,3011312,261,1
2021-06-25,4264637,3046298,263,1
2021-06-26,4334251,3059281,264,1
2021-06-27,4381666,3063277,266,1
2021-06-28,4424279,3077295,269,1
2021-06-29,4455534,3147265,276,1
2021-06-30,4539635,3246073,300,1
2021-07-01,4640097,3348086,302,1
2021-07-02,4756924,3439946,305,1
2021-07-03,4881817,3513343,306,1
2021-07-04,4982293,3549103,307,1
2021-07-05,5133833,3586238,309,1
2021-07-06,5306599,3628226,311,1
2021-07-07,5444462,3662927,313,1
2021-07-08,5560328,3706759,323,1
2021-07-09,5683550,3748109,324,1
2021-07-10,5925600,3775331,332,1
2021-07-11,6096135,3786377,341,1
2021-07-12,6180956,3809310,345,1
2021-07-13,6267842,3834962,346,1
2021-07-14,6387509,3865234,351,1
2021-07-15,6529998,3923507,351,1
2021-07-16,6663637,4018928,357,1
2021-07-17,6891707,4100686,372,1
2021-07-18,7023704,4147774,380,1
2021-07-19,7081508,4188754,383,1
2021-07-20,7153251,4220796,385,1
2021-07-21,7240190,4293741,388,1
2021-07-22,7350867,4377850,401,1
2021-07-23,7498431,4479331,409,1
2021-07-24,7775128,4591770,413,1
2021-07-25,7982238,4693363,421,1
2021-07-26,8034843,4718935,423,1
2021-07-27,8075778,4933893,429,1
2021-07-28,8089923,5036208,436,1
2021-07-29,8105631,5085913,441,1
2021-07-30,8143280,5214846,449,1
2021-07-31,8202517,5432282,459,1
2021-08-01,8255329,5589310,466,1
2021-08-02,8296295,5697803,468,1
2021-08-03,8334736,5799663,472,1
2021-08-04,8384192,5912354,475,1
2021-08-05,8435628,6034093,477,1
2021-08-06,8591731,6163852,484,1
2021-08-07,8882376,6371011,488,1
2021-08-08,9104898,6511872,495,1
2021-08-09,9158523,6564398,495,1
2021-08-10,9219375,6628313,500,1
2021-08-11,9261500,6706542,501,1
2021-08-12,9299442,6787044,503,1
2021-08-13,9334111,6870696,508,2
2021-08-14,9374118,7066030,517,2
2021-08-15,9395376,7242492,526,2
2021-08-16,9428182,7290284,531,2
2021-08-17,9465823,7353879,534,2
2021-08-18,9500691,7408829,539,2
2021-08-19,9544169,7467794,542,2
2021-08-20,9626171,7537237,551,2
2021-08-21,9813095,7667918,561,2
2021-08-22,9965323,7748193,571,2
2021-08-23,10000286,7794526,583,2
2021-08-24,10038212,7834230,591,2
2021-08-25,10091868,7872465,603,2
2021-08-26,10162667,7909009,617,2
2021-08-27,10217917,8028018,628,2
2021-08-28,10449081,8261199,648,2
2021-08-29,10628789,8491128,657,2
2021-08-30,10636642,8501339,664,2
2021-08-31,10707883,8550583,673,2
2021-09-01,10789860,8621960,685,2
2021-09-02,10917261,8680983,692,2
2021-09-03,11063763,8749642,698,2
2021-09-04,11353967,8825350,709,2
2021-09-05,11592435,8859100,718,2
2021-09-06,11703878,8889378,722,2
2021-09-07,11879181,8927978,730,2
2021-09-08,12178691,8982720,736,2
2021-09-09,12478298,9033868,747,2
2021-09-10,12817664,9109682,765,2
2021-09-11,13301337,9229487,776,2
2021-09-12,13668740,9354068,783,2
2021-09-13,13840188,9393506,791,2
2021-09-14,14101553,9434662,808,2
2021-09-15,14301564,9488652,825,2
2021-09-16,14564959,9563380,842,2
2021-09-17,14819241,9617257,859,2
2021-09-18,15151187,9777051,877,2
2021-09-19,15339039,9894071,897,2
2021-09-20,15424759,9940475,923,2
2021-09-21,15543788,10023160,949,2
2021-09-22,15649039,10099872,968,2
2021-09-23,15743622,10175837,995,2
2021-09-24,15845403,10272224,1013,2
2021-09-25,16004824,10525729,1033,2
2021-09-26,16129138,10729993,1055,2
2021-09-27,16227130,10838831,1066,2
2021-09-28,16337151,10968117,1082,2
2021-09-29,16440403,11177295,1125,2
2021-09-30,16536487,11396972,1168,2
2021-10-01,16626877,11596353,1200,2
2021-10-02,16804751,11996324,1265,2
2021-10-03,16957787,12329094,1292,2
2021-10-04,17031757,12521890,1323,2
2021-10-05,17106271,12744588,1350,2
2021-10-06,17181698,12951711,1378,2
2021-10-07,17252251,13153438,1401,2
2021-10-08,17310563,13307141,1448,2
2021-10-09,17405710,13590360,1471,2
2021-10-10,17470847,13768534,1502,3
2021-10-11,17534608,13885683,1532,3
2021-10-12,17650561,14012100,1603,3
2021-10-13,17760785,14131013,1623,3
2021-10-14,17867812,14250317,1659,3
2021-10-15,17978539,14362384,22113,3
2021-10-16,18156284,14509186,47385,3
2021-10-17,18313421,14630584,58311,3
2021-10-18,18405834,14717557,85257,3
2021-10-19,18482385,14821560,111088,3
2021-10-20,18540581,14919904,136638,3
2021-10-21,18597898,15013138,153491,3
2021-10-22,18646755,15103519,169058,3
2021-10-23,18753754,15249959,176397,3
2021-10-24,18828343,15377239,178611,3
2021-10-25,18868855,15453782,185619,3
2021-10-26,18906876,15528328,191932,3
2021-10-27,18944594,15599181,197751,3
2021-10-28,18989492,15671591,209111,3
2021-10-29,19037290,15738979,224337,3
2021-10-30,19246299,15826125,238719,3
2021-10-31,19422967,15896264,247817,3
2021-11-01,19498744,15920930,252184,4
2021-11-02,19591698,15957970,258957,4
2021-11-03,19701940,16008615,268684,4
2021-11-04,19873782,16070006,278591,4
2021-11-05,20104798,16130060,287638,4
2021-11-06,20440644,16234228,296926,4
2021-11-07,20660646,16329934,303071,4
2021-11-08,20786085,16404843,310788,4
