FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-09,20,0,0,0
2021-02-10,1159,0,0,0
2021-02-11,795,0,0,0
2021-02-12,647,0,0,0
2021-02-13,89,0,0,0
2021-02-14,25,0,0,0
2021-02-15,171,0,0,0
2021-02-16,146,0,0,0
2021-02-17,54,0,0,0
2021-02-18,650,0,0,0
2021-02-19,1606,0,0,0
2021-02-20,776,0,0,0
2021-02-21,84,0,0,0
2021-02-22,323,0,0,0
2021-02-23,73,0,0,0
2021-02-24,164,0,0,0
2021-02-25,76,0,0,0
2021-02-26,307,0,0,0
2021-02-27,31,0,0,0
2021-02-28,4,0,0,0
2021-03-01,235,0,0,0
2021-03-02,50,1,0,0
2021-03-03,53,726,0,0
2021-03-04,138,671,0,0
2021-03-05,183,811,0,0
2021-03-06,21,105,0,0
2021-03-07,5,19,0,0
2021-03-08,31,123,0,0
2021-03-09,30,159,0,0
2021-03-10,12,106,0,0
2021-03-11,43,366,0,0
2021-03-12,50,1121,0,0
2021-03-13,31,910,0,0
2021-03-14,5,154,0,0
2021-03-15,48,340,0,0
2021-03-16,38,248,0,0
2021-03-17,13,209,0,0
2021-03-18,71,76,0,0
2021-03-19,38,329,0,0
2021-03-20,4,64,0,0
2021-03-21,1,13,0,0
2021-03-22,23,183,0,0
2021-03-23,9,178,0,0
2021-03-24,5,59,0,0
2021-03-25,14,137,0,0
2021-03-26,66,179,0,0
2021-03-27,5,15,0,0
2021-03-28,4,1,0,0
2021-03-29,7,57,0,0
2021-03-30,8,54,0,0
2021-03-31,202,50,0,0
2021-04-01,78,12,0,0
2021-04-02,126,26,0,0
2021-04-03,10,32,0,0
2021-04-04,1,4,0,0
2021-04-05,112,106,0,0
2021-04-06,223,57,0,0
2021-04-07,243,20,0,0
2021-04-08,251,50,0,0
2021-04-09,1,78,0,0
2021-04-10,0,9,0,0
2021-04-11,0,3,0,0
2021-04-12,1,18,0,0
2021-04-13,0,18,0,0
2021-04-14,0,11,0,0
2021-04-15,0,6,0,0
2021-04-16,1,63,0,0
2021-04-17,11,9,0,0
2021-04-18,1,3,0,0
2021-04-19,0,17,0,0
2021-04-20,2,12,0,0
2021-04-21,8,21,0,0
2021-04-22,1167,8,0,0
2021-04-23,37,334,0,0
2021-04-24,2,6,0,0
2021-04-25,9,3,0,0
2021-04-26,1528,68,0,0
2021-04-27,2139,13,0,0
2021-04-28,6519,4,0,0
2021-04-29,7264,745,0,0
2021-04-30,4700,22,0,0
2021-05-01,1052,15,0,0
2021-05-02,316,5,0,0
2021-05-03,647,30,0,0
2021-05-04,645,0,0,0
2021-05-05,493,13,0,0
2021-05-06,847,101,0,0
2021-05-07,852,22,0,0
2021-05-08,863,2,0,0
2021-05-09,312,0,0,0
2021-05-10,366,1,0,0
2021-05-11,533,1,0,0
2021-05-12,421,23,0,0
2021-05-13,474,0,0,0
2021-05-14,606,8,0,0
2021-05-15,437,0,0,0
2021-05-16,202,1,0,0
2021-05-17,367,3,0,0
2021-05-18,270,4,0,0
2021-05-19,504,668,0,0
2021-05-20,656,376,0,0
2021-05-21,443,6,0,0
2021-05-22,1041,71,0,0
2021-05-23,471,0,0,0
2021-05-24,3178,3,0,0
2021-05-25,1701,11,0,0
2021-05-26,1049,2,0,0
2021-05-27,1237,35,0,0
2021-05-28,828,22,0,0
2021-05-29,347,19,0,0
2021-05-30,96,8,0,0
2021-05-31,236,12,0,0
2021-06-01,391,14,0,0
2021-06-02,80,11,0,0
2021-06-03,209,8,0,0
2021-06-04,180,2,0,0
2021-06-05,52,1,0,0
2021-06-06,27,6,0,0
2021-06-07,20,0,0,0
2021-06-08,2457,1827,0,0
2021-06-09,2003,3129,0,0
2021-06-10,1469,4803,0,0
2021-06-11,828,5295,0,0
2021-06-12,793,2958,0,0
2021-06-13,237,736,0,0
2021-06-14,487,2760,0,0
2021-06-15,385,1896,0,0
2021-06-16,353,1376,0,0
2021-06-17,351,667,0,0
2021-06-18,626,674,0,0
2021-06-19,134,663,0,0
2021-06-20,30,119,0,0
2021-06-21,409,1462,0,0
2021-06-22,422,1118,0,0
2021-06-23,362,1467,0,0
2021-06-24,525,2048,0,0
2021-06-25,511,1161,0,0
2021-06-26,191,715,0,0
2021-06-27,61,338,0,0
2021-06-28,375,866,0,0
2021-06-29,130,599,0,0
2021-06-30,203,692,0,0
2021-07-01,222,224,0,0
2021-07-02,149,370,0,0
2021-07-03,155,140,0,0
2021-07-04,68,167,0,0
2021-07-05,150,232,0,0
2021-07-06,327,602,0,0
2021-07-07,4479,1826,0,0
2021-07-08,4021,1822,0,0
2021-07-09,3447,1447,0,0
2021-07-10,2526,781,0,0
2021-07-11,648,211,0,0
2021-07-12,638,625,0,0
2021-07-13,383,404,0,0
2021-07-14,1738,626,0,0
2021-07-15,1609,475,0,0
2021-07-16,1394,977,0,0
2021-07-17,1070,551,0,0
2021-07-18,590,203,0,0
2021-07-19,468,349,0,0
2021-07-20,571,366,0,0
2021-07-21,1132,287,1,0
2021-07-22,2357,387,0,0
2021-07-23,2320,556,0,0
2021-07-24,1837,397,0,0
2021-07-25,846,94,0,0
2021-07-26,1473,328,0,0
2021-07-27,1074,439,0,0
2021-07-28,1481,2737,0,0
2021-07-29,1088,2775,0,0
2021-07-30,1124,3243,0,0
2021-07-31,700,2114,0,0
2021-08-01,282,108,0,0
2021-08-02,696,1174,0,0
2021-08-03,795,1676,0,0
2021-08-04,1149,1322,0,0
2021-08-05,1099,1778,0,0
2021-08-06,1374,1677,0,0
2021-08-07,993,960,0,0
2021-08-08,332,448,0,0
2021-08-09,981,837,0,0
2021-08-10,3592,729,0,0
2021-08-11,3803,880,0,0
2021-08-12,3729,1309,0,0
2021-08-13,3032,1567,0,0
2021-08-14,2026,1465,0,0
2021-08-15,640,475,0,0
2021-08-16,1857,972,0,0
2021-08-17,1903,1174,0,0
2021-08-18,1865,1521,0,0
2021-08-19,1957,1071,0,0
2021-08-20,2409,1510,0,0
2021-08-21,4758,1860,0,0
2021-08-22,3850,1205,0,0
2021-08-23,1299,679,0,0
2021-08-24,1042,774,0,0
2021-08-25,943,947,0,0
2021-08-26,1043,1030,0,0
2021-08-27,1000,967,0,0
2021-08-28,3376,1247,0,0
2021-08-29,3019,625,0,0
2021-08-30,446,348,0,0
2021-08-31,1075,2292,0,0
2021-09-01,2991,2220,0,0
2021-09-02,3699,2828,0,0
2021-09-03,4651,2052,0,0
2021-09-04,5626,2171,0,0
2021-09-05,3636,1043,0,0
2021-09-06,3019,1774,0,0
2021-09-07,2293,1602,0,0
2021-09-08,2191,1450,0,0
2021-09-09,2074,1628,1,0
2021-09-10,3996,1610,0,0
2021-09-11,6434,2991,0,0
2021-09-12,5543,2594,0,0
2021-09-13,3570,1952,0,0
2021-09-14,2739,1445,0,0
2021-09-15,2159,1249,0,0
2021-09-16,1860,1045,0,0
2021-09-17,4253,1219,0,0
2021-09-18,5996,2294,0,0
2021-09-19,5905,2332,0,0
2021-09-20,3025,1265,0,0
2021-09-21,2743,1226,0,0
2021-09-22,2210,2080,0,0
2021-09-23,2073,2422,0,0
2021-09-24,3052,2766,0,0
2021-09-25,4573,3846,0,0
2021-09-26,3585,2843,0,0
2021-09-27,2937,2943,0,0
2021-09-28,2599,2425,0,0
2021-09-29,1844,1876,0,0
2021-09-30,1730,1699,0,0
2021-10-01,1609,2306,0,0
2021-10-02,2793,3833,0,0
2021-10-03,1913,3370,0,0
2021-10-04,2014,3112,0,0
2021-10-05,1758,2545,0,0
2021-10-06,1722,2550,7,0
2021-10-07,1338,2083,0,0
2021-10-08,1012,2464,1,0
2021-10-09,2083,3998,0,0
2021-10-10,1498,4170,0,0
2021-10-11,1223,2633,0,0
2021-10-12,1438,2981,0,0
2021-10-13,1389,2673,0,0
2021-10-14,1295,2103,1,0
2021-10-15,1468,2325,0,0
2021-10-16,2077,3784,10,0
2021-10-17,1257,2976,0,0
2021-10-18,1715,2573,423,0
2021-10-19,1625,2579,441,0
2021-10-20,1455,2193,356,0
2021-10-21,1265,1808,279,0
2021-10-22,1171,1734,357,0
2021-10-23,1692,2718,107,0
2021-10-24,1020,1819,52,0
2021-10-25,1155,1620,207,0
2021-10-26,962,1652,155,0
2021-10-27,1044,1729,315,0
2021-10-28,864,1455,338,0
2021-10-29,741,1234,374,0
2021-10-30,932,1413,91,0
2021-10-31,558,938,85,0
2021-11-01,259,379,108,0
2021-11-02,2074,726,126,0
2021-11-03,2144,1335,194,0
2021-11-04,2559,1242,130,0
2021-11-05,3578,1251,224,0
2021-11-06,3385,2047,117,0
2021-11-07,2102,1575,60,0
2021-11-08,2577,1660,135,0
2021-11-09,2976,1742,147,0
2021-11-10,2966,1655,154,0
2021-11-11,3115,1688,224,0
2021-11-12,3480,1510,195,0
2021-11-13,3578,1723,65,0
2021-11-14,2382,1346,23,0
2021-11-15,2623,1384,86,0
2021-11-16,2837,1352,60,0
2021-11-17,2481,1218,111,0
2021-11-18,2715,1235,89,0
2021-11-19,2182,876,71,0
2021-11-20,2858,1487,64,0
2021-11-21,2015,1042,31,0
2021-11-22,2470,1263,83,0
2021-11-23,2194,1701,48,0
2021-11-24,1965,1777,67,0
2021-11-25,1935,1998,74,0
2021-11-26,2442,2212,115,0
2021-11-27,3137,2524,273,0
2021-11-28,2610,1898,408,0
2021-11-29,2447,2281,723,0
2021-11-30,1759,2030,724,0
2021-12-01,1601,1763,720,0
2021-12-02,1792,1620,1343,0
2021-12-03,1988,1799,1185,0
2021-12-04,2349,2452,913,0
2021-12-05,1562,1712,495,0
2021-12-06,1827,2402,919,0
2021-12-07,1794,2253,911,0
2021-12-08,1490,1613,787,0
2021-12-09,1764,2118,1170,0
2021-12-10,2307,2406,1257,0
2021-12-11,3065,2775,1071,0
2021-12-12,2016,1924,693,0
2021-12-13,3640,3145,1247,0
2021-12-14,3433,3338,1096,0
2021-12-15,3247,2981,1033,0
2021-12-16,2726,2062,870,0
2021-12-17,2721,2690,839,0
2021-12-18,3502,3320,667,0
2021-12-19,1839,2234,531,0
2021-12-20,2385,2708,1160,0
2021-12-21,2067,2437,2219,0
2021-12-22,1830,2301,1785,0
2021-12-23,1534,2001,1648,0
2021-12-24,921,1246,685,0
2021-12-25,250,341,221,0
2021-12-26,672,1053,628,0
2021-12-27,1357,2213,1835,0
2021-12-28,1487,2287,1918,0
2021-12-29,1399,2038,1742,0
2021-12-30,1033,1666,1083,0
2021-12-31,634,959,522,0
2022-01-01,94,172,87,0
2022-01-02,318,534,396,0
2022-01-03,1045,1876,1252,0
2022-01-04,1008,2132,1469,0
2022-01-05,1008,1980,1884,0
2022-01-06,1003,2218,1746,0
2022-01-07,983,2117,1709,0
2022-01-08,994,2243,2124,0
2022-01-09,468,1245,893,0
2022-01-10,1113,2446,2481,0
2022-01-11,907,2063,2133,0
2022-01-12,813,1838,1790,0
2022-01-13,774,1805,1869,0
2022-01-14,698,1483,2048,0
2022-01-15,678,1410,2145,0
2022-01-16,342,696,979,0
2022-01-17,722,1655,1809,0
2022-01-18,607,1446,1650,0
2022-01-19,612,1380,1870,0
2022-01-20,532,1171,1343,0
2022-01-21,394,986,1211,0
2022-01-22,561,1085,1455,0
2022-01-23,260,543,597,0
2022-01-24,595,1250,1533,0
2022-01-25,507,1117,1496,0
2022-01-26,1173,819,1230,0
2022-01-27,1191,862,1204,0
2022-01-28,1566,947,1280,0
2022-01-29,1468,859,1100,0
2022-01-30,670,483,810,0
2022-01-31,1274,980,1142,0
2022-02-01,1091,816,1285,0
2022-02-02,1046,752,1030,0
2022-02-03,872,723,1036,0
2022-02-04,1029,756,1141,0
2022-02-05,906,637,1071,0
2022-02-06,454,398,632,0
2022-02-07,1081,820,1307,0
2022-02-08,1297,736,1437,0
2022-02-09,1331,661,1356,0
2022-02-10,1352,631,1623,0
2022-02-11,1488,673,1296,0
2022-02-12,1385,523,1171,0
2022-02-13,819,266,642,0
2022-02-14,1048,621,928,0
2022-02-15,1180,574,953,0
2022-02-16,1036,777,1041,0
2022-02-17,1020,807,865,0
2022-02-18,1221,1039,1139,0
2022-02-19,1166,925,903,0
2022-02-20,838,488,577,0
2022-02-21,1114,1149,1033,0
2022-02-22,1324,1218,1508,0
2022-02-23,1255,1067,1262,0
2022-02-24,1012,943,1162,0
2022-02-25,1189,1006,1097,0
2022-02-26,905,752,813,0
2022-02-27,391,328,398,0
2022-02-28,1100,1009,1097,0
2022-03-01,831,765,836,0
2022-03-02,1130,960,1331,0
2022-03-03,1128,1006,1346,0
2022-03-04,1294,1221,1407,0
2022-03-05,1177,952,1011,0
2022-03-06,713,560,620,0
2022-03-07,1181,1139,1280,0
2022-03-08,813,828,905,0
2022-03-09,712,809,856,0
2022-03-10,657,762,729,0
2022-03-11,1296,1252,835,0
2022-03-12,1254,1188,732,0
2022-03-13,745,711,363,0
2022-03-14,1187,909,965,0
2022-03-15,817,922,913,0
2022-03-16,714,904,979,0
2022-03-17,483,585,823,0
2022-03-18,555,929,911,0
2022-03-19,901,1231,1363,0
2022-03-20,710,795,1039,0
2022-03-21,466,703,759,0
2022-03-22,475,652,918,0
2022-03-23,348,632,996,0
2022-03-24,407,681,968,0
2022-03-25,441,718,981,0
2022-03-26,843,1431,2027,0
2022-03-27,631,1083,1596,0
2022-03-28,400,535,1092,0
2022-03-29,365,658,1196,0
2022-03-30,371,560,1138,0
2022-03-31,363,690,1475,0
2022-04-01,325,634,1629,0
2022-04-02,531,961,2294,0
2022-04-03,512,872,1747,0
2022-04-04,281,525,1390,0
2022-04-05,371,539,1429,0
2022-04-06,433,565,1368,0
2022-04-07,452,615,1237,0
2022-04-08,388,639,1351,0
