FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-07,1,0,0,0
2021-02-09,48,0,0,0
2021-02-10,1027,0,0,0
2021-02-11,2062,0,0,0
2021-02-12,1572,0,0,0
2021-02-13,786,0,0,0
2021-02-14,126,0,0,0
2021-02-15,548,0,0,0
2021-02-16,685,0,0,0
2021-02-17,264,0,0,0
2021-02-18,480,0,0,0
2021-02-19,1926,0,0,0
2021-02-20,1541,0,0,0
2021-02-21,1,0,0,0
2021-02-22,1503,0,0,0
2021-02-23,1191,0,0,0
2021-02-24,1080,0,0,0
2021-02-25,660,0,0,0
2021-02-26,477,0,0,0
2021-02-27,160,0,0,0
2021-03-01,694,0,0,0
2021-03-02,797,0,0,0
2021-03-03,521,757,0,0
2021-03-04,119,1683,0,0
2021-03-05,175,1567,0,0
2021-03-06,11,635,0,0
2021-03-08,4256,813,0,0
2021-03-09,4213,736,0,0
2021-03-10,1079,367,0,0
2021-03-11,418,414,0,0
2021-03-12,713,1710,0,0
2021-03-13,525,1415,0,0
2021-03-14,0,18,0,0
2021-03-15,6836,1115,0,0
2021-03-16,6442,1365,0,0
2021-03-17,2594,986,0,0
2021-03-18,2649,583,0,0
2021-03-19,2011,446,0,0
2021-03-20,1158,103,0,0
2021-03-21,1,1,0,0
2021-03-22,265,603,0,0
2021-03-23,1604,610,0,0
2021-03-24,2716,518,0,0
2021-03-25,417,174,0,0
2021-03-26,896,288,0,0
2021-03-27,138,15,0,0
2021-03-29,369,558,0,0
2021-03-30,9,4577,0,0
2021-03-31,47,3582,0,0
2021-04-01,6,214,0,0
2021-04-02,9,224,0,0
2021-04-03,1598,643,0,0
2021-04-05,517,380,0,0
2021-04-06,170,3312,0,0
2021-04-07,490,1641,0,0
2021-04-08,249,7890,0,0
2021-04-09,415,4135,0,0
2021-04-10,28,371,0,0
2021-04-11,1,0,0,0
2021-04-12,1,1198,0,0
2021-04-13,280,2703,0,0
2021-04-14,11,2737,0,0
2021-04-15,28,1880,0,0
2021-04-16,2144,1031,0,0
2021-04-17,3559,190,0,0
2021-04-18,3852,0,0,0
2021-04-19,670,626,0,0
2021-04-20,618,46,0,0
2021-04-21,242,162,0,0
2021-04-22,2,59,0,0
2021-04-23,1941,25,0,0
2021-04-24,2113,1538,0,0
2021-04-25,1356,1,0,0
2021-04-26,272,532,0,0
2021-04-27,177,157,0,0
2021-04-28,52,451,0,0
2021-04-29,1,269,0,0
2021-04-30,4306,555,0,0
2021-05-01,4620,76,0,0
2021-05-02,3788,0,0,0
2021-05-03,4169,38,0,0
2021-05-04,119,0,0,0
2021-05-05,93,19,0,0
2021-05-06,16,39,0,0
2021-05-07,4,1321,0,0
2021-05-08,4223,3164,0,0
2021-05-09,3407,3521,0,0
2021-05-10,3871,1093,0,0
2021-05-11,2699,1209,0,0
2021-05-12,1989,257,0,0
2021-05-13,3,179,0,0
2021-05-14,1949,1699,0,0
2021-05-15,1868,1988,0,0
2021-05-16,1763,1337,0,0
2021-05-17,1908,475,0,0
2021-05-18,2291,390,0,0
2021-05-19,1996,231,0,0
2021-05-20,0,19,0,0
2021-05-21,4733,4132,0,0
2021-05-22,4581,4356,0,0
2021-05-23,4162,3665,0,0
2021-05-24,3099,2930,0,0
2021-05-25,3584,728,0,0
2021-05-26,3068,409,0,0
2021-05-27,39,90,0,0
2021-05-28,3042,69,0,0
2021-05-29,2741,3927,0,0
2021-05-30,2332,3148,0,0
2021-05-31,3336,3049,0,0
2021-06-01,2788,2142,0,0
2021-06-02,2244,1549,0,0
2021-06-03,604,185,0,0
2021-06-04,390,1395,0,0
2021-06-05,214,1280,0,0
2021-06-06,6,1,0,0
2021-06-07,274,2090,0,0
2021-06-08,6645,1790,0,0
2021-06-09,5933,1418,0,0
2021-06-10,4884,106,0,0
2021-06-11,3495,4536,0,0
2021-06-12,2902,4434,0,0
2021-06-13,2568,4039,0,0
2021-06-14,781,3045,1,0
2021-06-15,536,3845,0,0
2021-06-16,492,3091,0,0
2021-06-17,1270,210,0,0
2021-06-18,478,2958,0,0
2021-06-19,474,2703,0,0
2021-06-20,246,2321,0,0
2021-06-21,580,3474,0,0
2021-06-22,544,2965,0,0
2021-06-23,647,2472,1,0
2021-06-24,1428,665,0,0
2021-06-25,4919,492,0,0
2021-06-26,4628,381,0,0
2021-06-27,4556,97,0,0
2021-06-28,3687,360,0,0
2021-06-29,3023,5825,0,0
2021-06-30,7515,4861,1,0
2021-07-01,10033,4713,0,0
2021-07-02,10887,3917,1,0
2021-07-03,8052,3483,0,0
2021-07-04,8324,2866,0,0
2021-07-05,10023,866,0,0
2021-07-06,9304,714,0,0
2021-07-07,6157,687,0,0
2021-07-08,1305,1212,0,0
2021-07-09,1104,583,0,0
2021-07-10,13457,509,1,0
2021-07-11,10506,440,0,0
2021-07-12,2827,506,0,0
2021-07-13,2322,547,0,0
2021-07-14,2147,599,0,0
2021-07-15,2371,1470,0,0
2021-07-16,800,4441,0,0
2021-07-17,9130,4138,0,0
2021-07-18,6579,4220,0,0
2021-07-19,1981,3434,0,0
2021-07-20,2078,2716,0,0
2021-07-21,1923,7120,0,0
2021-07-22,1683,8735,1,0
2021-07-23,1407,8420,0,0
2021-07-24,15187,7108,0,0
2021-07-25,14297,7530,1,0
2021-07-26,26,102,0,0
2021-07-27,525,13059,0,0
2021-07-28,246,7925,0,0
2021-07-29,435,2703,0,0
2021-07-30,352,2330,0,0
2021-07-31,239,11045,0,0
2021-08-01,122,9797,0,0
2021-08-02,978,4229,0,0
2021-08-03,1451,3173,0,0
2021-08-04,1423,2574,0,0
2021-08-05,1816,1864,0,0
2021-08-06,7863,1573,0,0
2021-08-07,8711,7056,0,0
2021-08-08,8614,6780,0,0
2021-08-09,270,2925,0,0
2021-08-10,62,2434,0,0
2021-08-11,55,2020,1,0
2021-08-12,47,1572,0,0
2021-08-13,48,1645,0,0
2021-08-14,36,12906,1,0
2021-08-15,7,13019,1,0
2021-08-16,471,2037,0,0
2021-08-17,1651,1084,0,0
2021-08-18,1822,646,0,0
2021-08-19,1557,475,0,0
2021-08-20,1524,611,0,0
2021-08-21,7814,1901,0,0
2021-08-22,7132,1466,0,0
2021-08-23,1436,1059,0,0
2021-08-24,2208,1238,0,0
2021-08-25,1984,1269,0,0
2021-08-26,2546,1461,0,0
2021-08-27,2041,4878,0,0
2021-08-28,7633,7772,0,0
2021-08-29,7832,7870,0,0
2021-08-30,5,10,0,0
2021-08-31,4244,1515,1,0
2021-09-01,4469,805,1,0
2021-09-02,3481,568,0,0
2021-09-03,3464,391,0,0
2021-09-04,13122,868,1,0
2021-09-05,13517,1070,1,0
2021-09-06,5587,587,0,0
2021-09-07,4655,1320,0,0
2021-09-08,3599,1537,0,0
2021-09-09,2920,1457,0,0
2021-09-10,4321,1245,0,0
2021-09-11,10989,5335,0,0
2021-09-12,12372,5611,0,0
2021-09-13,7622,1870,0,0
2021-09-14,6577,1713,0,0
2021-09-15,5598,1661,0,0
2021-09-16,4822,2291,0,0
2021-09-17,4256,1907,0,0
2021-09-18,7553,5694,0,0
2021-09-19,7344,6445,1,0
2021-09-20,3006,2027,0,0
2021-09-21,4276,3284,0,0
2021-09-22,3902,3513,0,0
2021-09-23,3499,3399,0,0
2021-09-24,2662,2931,0,0
2021-09-25,5891,9505,0,0
2021-09-26,6602,11169,1,0
2021-09-27,4330,4654,1,0
2021-09-28,4428,4565,1,0
2021-09-29,4151,4025,1,0
2021-09-30,3677,3237,3,0
2021-10-01,3470,3462,0,0
2021-10-02,6022,8372,0,0
2021-10-03,6714,10331,0,0
2021-10-04,2963,6026,0,0
2021-10-05,2480,6384,0,0
2021-10-06,2326,5381,0,0
2021-10-07,1961,4922,0,0
2021-10-08,1214,2805,0,0
2021-10-09,2045,6118,0,0
2021-10-10,2377,6910,2,0
2021-10-11,1476,3298,0,0
2021-10-12,3563,4089,0,0
2021-10-13,4082,3211,0,0
2021-10-14,4601,3390,1,0
2021-10-15,3355,2798,1405,0
2021-10-16,6080,4730,1934,0
2021-10-17,6185,5561,737,0
2021-10-18,4170,4157,1615,0
2021-10-19,2521,4182,1315,0
2021-10-20,1806,3512,866,0
2021-10-21,1550,2925,342,0
2021-10-22,1307,3260,357,0
2021-10-23,2061,5025,142,0
2021-10-24,2201,6043,63,0
2021-10-25,1275,2963,351,0
2021-10-26,1015,2430,288,0
2021-10-27,1006,2410,344,0
2021-10-28,1618,1980,668,0
2021-10-29,733,1434,895,0
2021-10-30,5480,1908,872,0
2021-10-31,5671,2203,648,0
2021-11-01,5095,1462,398,0
2021-11-02,5618,1661,528,0
2021-11-03,5859,1467,693,0
2021-11-04,6877,2272,585,0
2021-11-05,6882,1179,451,0
2021-11-06,10579,1654,397,0
2021-11-07,9680,2168,283,0
2021-11-08,6301,1921,454,0
2021-11-09,4222,2794,841,0
2021-11-10,3133,2878,729,0
2021-11-11,2833,2496,1394,0
2021-11-12,1981,2460,777,0
2021-11-13,3171,4107,1133,0
2021-11-14,3133,4688,1116,0
2021-11-15,2549,3156,679,0
2021-11-16,2782,2787,1076,0
2021-11-17,2652,2473,1105,0
2021-11-18,2693,2959,1238,0
2021-11-19,2415,2005,928,0
2021-11-20,3111,5177,671,0
2021-11-21,3367,6294,978,0
2021-11-22,2041,4234,1369,0
2021-11-23,2000,4905,1359,0
2021-11-24,1779,4978,1336,0
2021-11-25,1658,5766,1125,0
2021-11-26,1417,5547,2400,0
2021-11-27,1984,8568,4417,0
2021-11-28,1939,8546,3805,0
2021-11-29,1394,5349,5244,0
2021-11-30,1508,5065,5477,0
2021-12-01,1579,3998,5447,0
2021-12-02,1968,3529,4948,0
2021-12-03,1480,2893,4170,0
2021-12-04,1827,4133,4497,0
2021-12-05,1949,4777,3706,0
2021-12-06,1657,3088,3589,0
2021-12-07,1533,2945,3392,0
2021-12-08,1436,2748,2235,0
2021-12-09,1905,4121,2945,0
2021-12-10,2978,4721,2981,0
2021-12-11,3422,5742,3173,0
2021-12-12,2662,5270,2501,0
2021-12-13,2530,3955,3833,0
2021-12-14,2261,3697,2750,0
2021-12-15,1688,3182,2158,0
2021-12-16,896,2957,2409,0
2021-12-17,1478,3208,2594,0
2021-12-18,1381,3880,3057,0
2021-12-19,1386,4079,2849,0
2021-12-20,1097,2846,9143,0
2021-12-21,996,2622,14367,0
2021-12-22,874,2661,12290,0
2021-12-23,626,2223,7582,0
2021-12-24,263,759,3046,0
2021-12-25,105,364,4048,0
2021-12-26,597,2692,11448,0
2021-12-27,890,2987,14491,0
2021-12-28,826,2816,11771,0
2021-12-29,786,2519,9086,0
2021-12-30,632,2177,6002,0
2021-12-31,132,571,1560,0
2022-01-01,197,266,1628,0
2022-01-02,652,3010,9984,0
2022-01-03,914,3379,11195,0
2022-01-04,843,3041,11428,0
2022-01-05,860,2746,13542,0
2022-01-06,850,2391,12129,0
2022-01-07,698,2227,10781,0
2022-01-08,436,1305,11149,0
2022-01-09,375,1101,8334,0
2022-01-10,489,1183,6628,0
2022-01-11,433,1162,6250,0
2022-01-12,400,1041,5221,0
2022-01-13,296,838,5441,0
2022-01-14,264,656,4522,0
2022-01-15,298,562,6218,0
2022-01-16,233,536,5064,0
2022-01-17,361,804,4175,0
2022-01-18,315,716,3873,0
2022-01-19,281,680,3555,0
2022-01-20,265,641,3842,0
2022-01-21,213,553,3174,0
2022-01-22,213,550,4244,0
2022-01-23,177,482,3602,0
2022-01-24,2960,625,3347,0
2022-01-25,4307,671,3640,0
2022-01-26,4960,701,3469,0
2022-01-27,4654,636,3442,0
2022-01-28,4816,639,3304,0
2022-01-29,5168,525,4148,0
2022-01-30,4713,457,4266,0
2022-01-31,5583,633,4113,0
2022-02-01,4806,648,4082,0
2022-02-02,3998,614,3798,0
2022-02-03,3329,589,3569,0
2022-02-04,2957,495,4205,0
2022-02-05,2757,420,4539,0
2022-02-06,2814,454,3955,0
2022-02-07,3392,559,3722,0
2022-02-08,2875,562,3621,0
2022-02-09,2518,526,3557,0
2022-02-10,2205,551,3301,0
2022-02-11,2057,404,3304,0
2022-02-12,2009,374,4094,0
2022-02-13,1608,323,3334,0
2022-02-14,1756,1620,2726,0
2022-02-15,1697,2304,3068,0
2022-02-16,1881,2985,3180,0
2022-02-17,1847,3071,3260,0
2022-02-18,2036,3391,3640,0
2022-02-19,1757,3242,3672,0
2022-02-20,1339,2915,3348,0
2022-02-21,1917,3942,3340,0
2022-02-22,1724,4138,3042,0
2022-02-23,1676,3366,2884,0
2022-02-24,1334,3036,2589,0
2022-02-25,1221,2339,2378,0
2022-02-26,1270,2638,3018,0
2022-02-27,896,2210,2575,0
2022-02-28,1590,3308,3093,0
2022-03-01,1617,2966,2941,0
2022-03-02,1489,2473,2747,0
2022-03-03,1298,2317,2420,0
2022-03-04,1291,2193,2350,0
2022-03-05,1148,2389,2882,0
2022-03-06,950,1945,2715,0
2022-03-07,1166,2130,2594,0
2022-03-08,957,1731,1953,0
2022-03-09,952,1815,2283,0
2022-03-10,925,1780,2581,0
2022-03-11,1020,1996,2579,0
2022-03-12,1082,2396,2875,0
2022-03-13,896,1993,3202,0
2022-03-14,868,1499,2734,0
2022-03-15,596,1326,2975,0
2022-03-16,491,1279,2687,0
2022-03-17,446,923,2239,0
2022-03-18,433,1248,2400,0
2022-03-19,568,1858,2704,0
2022-03-20,469,1307,2920,0
2022-03-21,371,1055,2484,0
2022-03-22,360,994,2342,0
2022-03-23,351,1012,2358,0
2022-03-24,375,904,2920,0
2022-03-25,354,1030,3344,0
2022-03-26,499,1661,4672,0
2022-03-27,365,1268,4855,0
2022-03-28,322,972,5075,0
2022-03-29,301,837,4255,1
2022-03-30,284,796,4809,0
2022-03-31,282,747,5014,0
2022-04-01,277,808,5978,0
2022-04-02,388,1287,5984,52
2022-04-03,310,1001,5677,113
2022-04-04,223,646,4537,204
2022-04-05,9,41,262,1
2022-04-06,259,766,4712,186
2022-04-07,318,688,3995,260
2022-04-08,257,742,3776,379
2022-04-09,293,1046,3911,368
2022-04-10,239,810,3300,107
2022-04-11,214,704,3449,651
2022-04-12,221,669,3290,403
2022-04-13,255,722,3228,1480
2022-04-14,150,460,1850,124
2022-04-15,110,360,1509,129
2022-04-16,176,677,2845,529
2022-04-17,122,467,2191,166
2022-04-18,203,533,2898,1012
2022-04-19,232,578,2590,940
2022-04-20,182,633,2552,1225
2022-04-21,237,653,2694,1102
2022-04-22,285,662,2555,1173
2022-04-23,372,1017,2970,914
2022-04-24,306,869,2869,429
2022-04-25,282,700,2791,943
2022-04-26,334,745,2586,791
2022-04-27,277,774,2508,869
2022-04-28,274,682,2459,1011
2022-04-29,273,739,2375,1087
2022-04-30,292,740,3018,901
2022-05-01,115,360,1533,273
2022-05-02,285,578,2181,761
2022-05-03,242,453,2075,682
2022-05-04,179,385,1865,765
2022-05-05,122,333,1692,714
2022-05-06,141,274,1364,1092
2022-05-07,127,303,1328,1062
2022-05-08,25,82,402,170
2022-05-09,133,318,1762,1946
2022-05-10,144,315,1683,2060
2022-05-11,142,312,1621,1875
2022-05-12,117,347,1546,1616
2022-05-13,166,447,1571,1646
2022-05-14,106,320,1564,1559
2022-05-15,104,237,1312,810
2022-05-16,116,354,1658,1804
2022-05-17,150,368,1736,1700
2022-05-18,157,382,1826,1723
2022-05-19,140,400,1763,1604
2022-05-20,134,327,1547,1652
2022-05-21,148,343,1510,1897
2022-05-22,65,231,993,1059
2022-05-23,123,287,1257,2089
2022-05-24,112,262,1202,1860
2022-05-25,112,271,1094,1758
2022-05-26,98,256,1126,1735
2022-05-27,111,234,1175,1568
2022-05-28,109,306,1121,1835
2022-05-29,76,193,818,1101
2022-05-30,108,199,1117,1882
2022-05-31,80,173,847,1412
2022-06-01,86,173,880,1596
2022-06-02,74,199,920,1591
2022-06-03,73,219,996,1486
2022-06-04,81,253,1139,1737
2022-06-05,40,164,696,994
2022-06-06,94,207,1032,1932
2022-06-07,71,186,907,1893
2022-06-08,62,173,809,1588
2022-06-09,48,175,819,1693
2022-06-10,92,200,906,1572
2022-06-11,95,232,968,1529
2022-06-12,45,172,795,1090
2022-06-13,26,111,569,881
2022-06-14,68,172,825,1503
2022-06-15,57,160,799,1449
2022-06-16,57,109,669,1802
2022-06-17,46,131,495,1434
2022-06-18,25,76,366,1047
