FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-08,0,0,1,0
2021-02-11,1182,0,0,0
2021-02-12,1073,0,0,0
2021-02-13,978,0,0,0
2021-02-14,412,0,0,0
2021-02-15,434,0,0,0
2021-02-16,112,0,0,0
2021-02-18,159,0,0,0
2021-02-19,2102,0,0,0
2021-02-20,1312,0,0,0
2021-02-21,180,0,0,0
2021-02-22,1455,0,0,0
2021-02-23,458,0,0,0
2021-02-24,416,0,0,0
2021-02-25,366,0,0,0
2021-02-26,773,0,0,0
2021-02-27,99,0,0,0
2021-03-01,18,0,0,0
2021-03-02,2,0,0,0
2021-03-04,4,916,0,0
2021-03-05,320,932,0,0
2021-03-06,100,725,0,0
2021-03-07,66,206,0,0
2021-03-08,2,487,0,0
2021-03-09,438,204,0,0
2021-03-10,356,71,0,0
2021-03-11,1,33,0,0
2021-03-12,3,1497,0,0
2021-03-13,10,1138,0,0
2021-03-14,0,168,0,0
2021-03-15,29,1636,0,0
2021-03-16,164,483,0,0
2021-03-17,14,462,0,0
2021-03-18,14,302,0,0
2021-03-19,8,809,0,0
2021-03-20,296,135,0,0
2021-03-21,0,3,0,0
2021-03-22,1,35,0,0
2021-03-23,447,34,0,0
2021-03-24,30,53,0,0
2021-03-25,2,6,0,0
2021-03-26,72,291,0,0
2021-03-27,0,98,0,0
2021-03-28,1,66,0,0
2021-03-29,1,23,0,0
2021-03-30,5,398,0,0
2021-03-31,86,373,0,0
2021-04-03,0,6,0,0
2021-04-04,0,3,0,0
2021-04-05,6,35,0,0
2021-04-06,5,38,0,0
2021-04-07,1,64,0,0
2021-04-08,93,7,0,0
2021-04-09,102,15,0,0
2021-04-10,12,150,1,0
2021-04-11,1,0,0,0
2021-04-12,1,13,0,0
2021-04-13,17,862,0,0
2021-04-14,10,192,0,0
2021-04-15,0,1,0,0
2021-04-16,0,76,0,0
2021-04-17,0,2,0,0
2021-04-18,1,1,0,0
2021-04-19,906,2,0,0
2021-04-20,1434,10,0,0
2021-04-21,0,90,0,0
2021-04-22,0,10,0,0
2021-04-23,0,11,0,0
2021-04-24,0,10,0,0
2021-04-26,1,5,0,0
2021-04-27,2744,5,0,0
2021-04-28,2625,2,0,0
2021-04-29,1996,109,0,0
2021-04-30,1262,105,0,0
2021-05-01,279,270,0,0
2021-05-02,505,0,0,0
2021-05-03,5,2,0,0
2021-05-04,5,2,0,0
2021-05-05,20,27,0,0
2021-05-06,1714,0,0,0
2021-05-07,1533,0,0,0
2021-05-08,4677,1,0,0
2021-05-09,268,0,0,0
2021-05-10,3399,1,0,0
2021-05-11,2674,431,0,0
2021-05-12,5764,958,0,0
2021-05-13,5437,868,0,0
2021-05-14,5016,9,0,0
2021-05-15,1163,15,0,0
2021-05-16,10,1,0,0
2021-05-17,174,0,0,0
2021-05-18,8617,2297,0,0
2021-05-19,5863,2356,0,0
2021-05-20,3875,1957,0,0
2021-05-21,2945,1310,0,0
2021-05-22,417,205,0,0
2021-05-23,1,2,0,0
2021-05-24,287,420,0,0
2021-05-25,11299,83,0,0
2021-05-26,10270,46,0,0
2021-05-27,7462,961,0,0
2021-05-28,5049,1511,0,0
2021-05-29,1009,4746,0,0
2021-05-30,0,24,0,0
2021-05-31,4884,3135,0,0
2021-06-01,5489,2652,0,0
2021-06-02,3891,4476,0,0
2021-06-03,292,555,0,0
2021-06-04,366,615,0,0
2021-06-05,71,241,0,0
2021-06-06,5,2,0,0
2021-06-07,41,221,0,0
2021-06-08,3639,4794,0,0
2021-06-09,101,214,0,0
2021-06-10,6576,9857,0,0
2021-06-11,7008,8831,0,0
2021-06-12,4536,3753,0,0
2021-06-13,1,29,0,0
2021-06-14,319,1064,0,0
2021-06-15,2201,1813,0,0
2021-06-16,87,346,0,0
2021-06-17,2318,16590,0,0
2021-06-18,2660,12623,0,0
2021-06-19,1789,4065,0,0
2021-06-20,0,111,0,0
2021-06-21,53,167,0,0
2021-06-22,1196,8280,0,0
2021-06-23,1409,5525,0,0
2021-06-24,1078,1725,0,0
2021-06-25,1371,738,0,0
2021-06-26,553,63,0,0
2021-06-27,0,32,0,0
2021-06-28,121,89,0,0
2021-06-29,1,8,0,0
2021-06-30,69,121,0,0
2021-07-01,1124,7583,0,0
2021-07-02,1198,7714,0,0
2021-07-03,976,4521,0,0
2021-07-04,18,2,0,0
2021-07-05,181,125,0,0
2021-07-06,122,1681,0,0
2021-07-07,8702,1583,0,0
2021-07-08,7172,2192,0,0
2021-07-09,4779,2461,0,0
2021-07-10,4425,1460,0,0
2021-07-11,13,9,0,0
2021-07-12,180,359,0,0
2021-07-13,192,85,0,0
2021-07-14,11968,2128,0,0
2021-07-15,11117,1566,0,0
2021-07-16,7058,1278,0,0
2021-07-17,5396,1140,0,0
2021-07-18,599,53,0,0
2021-07-19,47,46,0,0
2021-07-20,55,106,0,0
2021-07-21,1783,134,1,0
2021-07-22,356,80,0,0
2021-07-23,14227,2057,0,0
2021-07-24,9338,1346,0,0
2021-07-25,1553,137,0,0
2021-07-26,59,29,0,0
2021-07-27,54,252,0,0
2021-07-28,2,13,0,0
2021-07-29,0,18,0,0
2021-07-30,4834,11104,2,0
2021-07-31,5526,8517,0,0
2021-08-01,2909,673,0,0
2021-08-02,59,150,0,0
2021-08-03,35,128,0,0
2021-08-04,108,10524,0,0
2021-08-05,134,11378,0,0
2021-08-06,7258,1211,0,0
2021-08-07,8992,1208,0,0
2021-08-08,6617,45,0,0
2021-08-09,24,49,0,0
2021-08-10,6,38,0,0
2021-08-11,35,8857,0,0
2021-08-12,15,4329,0,0
2021-08-13,84,447,0,0
2021-08-14,13846,129,0,0
2021-08-15,7407,44,0,0
2021-08-16,77,35,0,0
2021-08-17,87,36,0,0
2021-08-18,141,21,0,0
2021-08-19,10962,886,0,0
2021-08-20,8204,379,0,0
2021-08-21,170,9700,0,0
2021-08-22,75,42,0,0
2021-08-23,47,38,1,0
2021-08-24,21,14,0,0
2021-08-25,7,19,1,0
2021-08-26,7,108,0,0
2021-08-27,35,17398,0,0
2021-08-28,7170,10985,0,0
2021-08-29,7829,12519,0,0
2021-08-30,2,44,1,0
2021-08-31,14,103,0,0
2021-09-01,90,77,1,0
2021-09-02,953,406,0,0
2021-09-03,7586,638,1,0
2021-09-04,1974,2273,0,0
2021-09-05,1240,484,1,0
2021-09-06,20,20,0,0
2021-09-07,67,174,0,0
2021-09-08,2615,17144,0,0
2021-09-09,38276,12612,0,0
