FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-10,3,0,0,0
2021-02-11,251,0,0,0
2021-02-12,386,0,0,0
2021-02-13,376,0,0,0
2021-02-14,138,0,0,0
2021-02-15,55,0,0,0
2021-02-16,3,0,0,0
2021-02-19,260,0,0,0
2021-02-20,1039,0,0,0
2021-02-21,28,0,0,0
2021-02-22,171,0,0,0
2021-02-23,228,0,0,0
2021-02-24,453,0,0,0
2021-02-25,126,0,0,0
2021-02-26,23,0,0,0
2021-02-27,37,0,0,0
2021-03-01,16,0,0,0
2021-03-02,27,0,0,0
2021-03-03,22,4,0,0
2021-03-04,14,257,0,0
2021-03-05,0,404,0,0
2021-03-06,0,341,0,0
2021-03-08,9,105,0,0
2021-03-09,0,40,0,0
2021-03-10,2,8,0,0
2021-03-11,2,3,0,0
2021-03-12,4,246,0,0
2021-03-13,1,965,0,0
2021-03-14,0,29,0,0
2021-03-15,19,238,0,0
2021-03-16,0,248,0,0
2021-03-17,42,404,0,0
2021-03-18,16,121,0,0
2021-03-19,15,31,0,0
2021-03-20,43,39,0,0
2021-03-22,15,16,0,0
2021-03-23,110,48,0,0
2021-03-24,7,25,0,0
2021-03-25,38,21,0,0
2021-03-26,1,1,0,0
2021-03-29,26,11,0,0
2021-03-30,36,2,0,0
2021-03-31,49,9,0,0
2021-04-01,0,2,0,0
2021-04-05,100,5,0,0
2021-04-06,55,7,0,0
2021-04-07,1,41,0,0
2021-04-08,0,1,0,0
2021-04-09,17,28,0,0
2021-04-10,0,26,0,0
2021-04-12,1,21,0,0
2021-04-13,0,111,0,0
2021-04-14,0,9,0,0
2021-04-15,0,31,0,0
2021-04-16,0,4,0,0
2021-04-17,318,1,0,0
2021-04-18,383,0,0,0
2021-04-19,31,18,0,0
2021-04-20,1,40,0,0
2021-04-21,0,36,0,0
2021-04-22,0,3,0,0
2021-04-23,0,20,0,0
2021-04-24,8,5,0,0
2021-04-26,3,15,0,0
2021-04-27,1,29,0,0
2021-04-28,36,110,0,0
2021-04-29,930,3,0,0
2021-04-30,176,19,0,0
2021-05-03,0,4,0,0
2021-05-04,11,0,0,0
2021-05-05,1,0,0,0
2021-05-10,1,0,0,0
2021-05-12,4,216,0,0
2021-05-13,990,481,0,0
2021-05-14,121,6,0,0
2021-05-15,6,1,0,0
2021-05-17,1050,0,0,0
2021-05-18,1008,0,0,0
2021-05-19,0,6,0,0
2021-05-20,1914,4,0,0
2021-05-21,1845,0,0,0
2021-05-22,589,2,0,0
2021-05-24,80,709,0,0
2021-05-25,1,67,0,0
2021-05-26,236,8,0,0
2021-05-27,4088,1,0,0
2021-05-28,3670,1,0,0
2021-05-29,5,0,0,0
2021-06-01,85,1,0,0
2021-06-02,108,0,0,0
2021-06-03,52,3,0,0
2021-06-04,0,5,0,0
2021-06-05,2,1,0,0
2021-06-07,46,11,0,0
2021-06-08,3,694,0,0
2021-06-09,2,62,0,0
2021-06-10,689,1094,0,0
2021-06-11,538,1428,0,0
2021-06-12,130,505,0,0
2021-06-13,3,0,0,0
2021-06-14,0,12,0,0
2021-06-15,0,2345,0,0
2021-06-16,4,985,0,0
2021-06-17,89,90,0,0
2021-06-18,48,229,0,0
2021-06-19,0,54,0,0
2021-06-21,181,12,0,0
2021-06-22,34,4610,0,0
2021-06-23,18,3036,0,0
2021-06-24,589,161,0,0
2021-06-25,745,63,0,0
2021-06-26,27,24,0,0
2021-06-28,0,4,0,0
2021-06-30,65,0,0,0
2021-07-01,10,1,0,0
2021-07-02,42,0,0,0
2021-07-03,3,0,0,0
2021-07-05,614,311,0,0
2021-07-06,581,744,0,0
2021-07-07,40,374,0,0
2021-07-08,4079,75,0,0
2021-07-09,3657,43,0,0
2021-07-10,3789,34,0,0
2021-07-12,12,97,0,0
2021-07-13,986,33,0,0
2021-07-14,632,106,0,0
2021-07-15,205,319,0,0
2021-07-16,314,400,0,0
2021-07-17,111,19,0,0
2021-07-19,0,9,0,0
2021-07-20,2,481,0,0
2021-07-21,0,85,0,0
2021-07-22,78,10,0,0
2021-07-23,3623,39,0,0
2021-07-24,5525,31,0,0
2021-07-26,0,5,0,0
2021-07-27,0,7,0,0
2021-07-29,0,2,0,0
2021-07-30,67,4870,0,0
2021-07-31,0,4643,0,0
2021-08-01,0,2,0,0
2021-08-02,34,37,0,0
2021-08-03,875,976,0,0
2021-08-04,577,723,0,0
2021-08-05,158,161,0,0
2021-08-06,2939,399,0,0
2021-08-07,2585,127,0,0
2021-08-08,0,1,0,0
2021-08-09,65,100,0,0
2021-08-10,136,105,0,0
2021-08-11,97,90,0,0
2021-08-12,115,134,0,0
2021-08-13,132,145,0,0
2021-08-14,59,74,0,0
2021-08-15,457,1099,0,0
2021-08-16,838,418,0,0
2021-08-17,85,60,0,0
2021-08-18,81,40,0,0
2021-08-19,89,42,0,0
2021-08-20,163,91,0,0
2021-08-21,99,5141,0,0
2021-08-22,16,2325,0,0
2021-08-23,326,84,0,0
2021-08-24,134,91,0,0
2021-08-25,88,89,0,0
2021-08-26,92,73,0,0
2021-08-27,442,1055,0,0
2021-08-28,173,749,0,0
2021-08-29,1,13,0,0
2021-08-31,58,2596,0,0
2021-09-01,94,1885,0,0
2021-09-02,104,153,0,0
2021-09-03,3082,209,0,0
2021-09-04,2940,333,0,0
2021-09-05,36,9,0,0
2021-09-06,312,482,0,0
2021-09-07,319,348,0,0
2021-09-08,319,263,0,0
2021-09-09,354,132,0,0
2021-09-10,5395,191,0,0
2021-09-11,5702,310,0,0
2021-09-12,148,5,0,0
2021-09-13,1060,453,0,0
2021-09-14,684,210,0,0
2021-09-15,191,135,0,0
2021-09-16,65,106,0,0
2021-09-17,6542,126,0,0
2021-09-18,7552,107,0,0
2021-09-19,1,0,0,0
2021-09-20,403,155,0,0
2021-09-21,299,114,0,0
2021-09-22,221,89,1,0
2021-09-23,173,60,0,0
2021-09-24,1861,453,0,0
2021-09-25,566,3763,0,0
2021-09-26,0,4,0,0
2021-09-27,345,158,0,0
2021-09-28,219,232,0,0
2021-09-29,203,164,0,0
2021-09-30,194,270,2,0
2021-10-01,466,2066,0,0
2021-10-02,1017,7347,0,0
2021-10-03,21,336,0,0
2021-10-04,314,497,0,0
2021-10-05,272,627,0,0
2021-10-06,279,638,0,0
2021-10-07,199,289,0,0
2021-10-08,117,51,0,0
2021-10-09,2545,1326,0,0
2021-10-10,95,157,0,0
2021-10-11,681,6676,0,0
2021-10-12,1049,5877,0,0
2021-10-13,227,341,0,0
2021-10-14,199,346,0,0
2021-10-15,267,361,165,0
2021-10-16,168,289,75,0
2021-10-17,0,5,0,0
2021-10-18,313,421,675,0
2021-10-19,877,1868,325,0
2021-10-20,160,337,284,0
2021-10-21,194,247,172,0
2021-10-22,121,217,119,0
2021-10-23,490,534,0,0
2021-10-24,0,5,0,0
2021-10-25,128,296,42,0
2021-10-26,190,244,124,0
2021-10-27,226,256,49,0
2021-10-28,54,185,164,0
2021-10-29,524,414,73,0
2021-10-30,1932,924,55,0
2021-10-31,1533,125,24,0
2021-11-01,16,15,0,0
2021-11-02,110,203,79,0
2021-11-03,154,298,132,0
2021-11-04,804,538,58,0
2021-11-05,889,1823,17,0
2021-11-06,4935,450,11,0
2021-11-07,1019,174,0,0
2021-11-08,339,244,117,0
2021-11-09,286,268,32,0
2021-11-10,297,207,53,0
2021-11-11,258,245,45,0
2021-11-12,519,332,63,0
2021-11-13,96,125,9,0
2021-11-14,0,3,0,0
2021-11-15,322,344,86,0
2021-11-16,357,334,44,0
2021-11-17,306,267,14,0
2021-11-18,235,256,15,0
2021-11-19,308,235,17,0
2021-11-20,580,433,8,0
2021-11-21,1080,2205,37,0
2021-11-22,284,316,62,0
2021-11-23,273,250,2,0
2021-11-24,227,205,11,0
2021-11-25,149,116,19,0
2021-11-26,588,1099,59,0
2021-11-27,364,2546,13,0
2021-11-28,203,158,0,0
2021-11-29,231,391,80,0
2021-11-30,154,296,133,0
2021-12-01,153,208,649,0
2021-12-02,719,1795,1256,0
2021-12-03,676,1703,872,0
2021-12-04,350,532,4319,0
2021-12-05,158,233,2608,0
2021-12-06,241,306,606,0
2021-12-07,231,450,418,0
2021-12-08,85,203,112,0
2021-12-09,223,372,284,0
2021-12-10,683,613,339,0
2021-12-11,501,412,230,0
2021-12-12,104,156,85,0
2021-12-13,811,904,354,0
2021-12-14,935,1035,374,0
2021-12-15,682,740,320,0
2021-12-16,515,536,217,0
2021-12-17,678,735,335,0
2021-12-18,206,386,184,0
2021-12-19,8,21,29,0
2021-12-20,452,651,444,0
2021-12-21,387,572,2675,0
2021-12-22,266,427,1050,0
2021-12-23,199,354,607,0
2021-12-24,51,103,194,0
2021-12-25,1,8,32,0
2021-12-26,8,9,20,0
2021-12-27,267,412,871,0
2021-12-28,252,513,1004,0
2021-12-29,173,340,704,0
2021-12-30,163,277,616,0
2021-12-31,34,76,116,0
2022-01-01,15,23,53,0
2022-01-02,9,5,9,0
2022-01-03,133,321,711,0
2022-01-04,240,654,883,0
2022-01-05,220,516,1115,0
2022-01-06,223,531,1013,0
2022-01-07,174,551,1146,0
2022-01-08,85,207,781,0
2022-01-09,39,71,374,0
2022-01-10,200,470,856,0
2022-01-11,163,384,1039,0
2022-01-12,156,399,1142,0
2022-01-13,140,388,1072,0
2022-01-14,147,337,1040,0
2022-01-15,72,178,893,0
2022-01-16,20,15,223,0
2022-01-17,116,286,1096,0
2022-01-18,146,323,880,0
2022-01-19,91,172,862,0
2022-01-20,89,179,730,0
2022-01-21,97,244,662,0
2022-01-22,73,147,585,0
2022-01-23,1,11,87,0
2022-01-24,129,237,731,0
2022-01-25,76,151,495,0
2022-01-26,97,231,838,0
2022-01-27,42,109,633,0
2022-01-28,57,103,494,0
2022-01-29,1744,147,734,0
2022-01-30,1301,63,503,0
2022-01-31,250,220,554,0
2022-02-01,841,116,462,0
2022-02-02,721,166,417,0
2022-02-03,655,138,454,0
2022-02-04,308,209,509,0
2022-02-05,234,75,367,0
2022-02-06,47,19,78,0
2022-02-07,396,165,544,0
2022-02-08,437,112,577,0
2022-02-09,362,148,530,0
2022-02-10,275,147,502,0
2022-02-11,276,146,435,0
2022-02-12,294,97,445,0
2022-02-13,83,18,217,0
2022-02-14,197,76,322,0
2022-02-15,301,156,510,0
2022-02-16,285,102,452,0
2022-02-17,356,184,574,0
2022-02-18,353,175,463,0
2022-02-19,233,143,367,0
2022-02-20,448,989,406,0
2022-02-21,451,496,707,0
2022-02-22,283,351,564,0
2022-02-23,258,339,522,0
2022-02-24,180,280,440,0
2022-02-25,205,254,1877,0
2022-02-26,165,216,376,0
2022-02-27,40,37,106,0
2022-02-28,243,294,501,0
2022-03-01,273,265,459,0
2022-03-02,269,224,574,0
2022-03-03,281,283,638,0
2022-03-04,233,253,535,0
2022-03-05,224,349,503,0
2022-03-06,34,33,48,0
2022-03-07,229,246,498,0
2022-03-08,194,254,400,0
2022-03-09,213,246,1801,0
2022-03-10,244,341,676,0
2022-03-11,250,304,423,0
2022-03-12,176,250,469,0
2022-03-13,45,40,151,0
2022-03-14,124,192,364,0
2022-03-15,105,196,329,0
2022-03-16,158,260,534,0
2022-03-17,134,202,1427,0
2022-03-18,120,204,465,0
2022-03-19,271,812,455,0
2022-03-20,23,35,51,0
2022-03-21,116,189,438,0
2022-03-22,94,208,418,0
2022-03-23,100,211,435,0
2022-03-24,111,177,1138,0
2022-03-25,226,413,630,0
2022-03-26,178,365,610,0
2022-03-27,414,556,1325,0
2022-03-28,122,169,861,0
2022-03-29,122,173,718,0
2022-03-30,111,158,896,0
2022-03-31,60,105,1708,0
2022-04-01,129,213,1067,0
2022-04-02,104,221,1012,0
2022-04-03,49,67,308,0
2022-04-04,90,162,1067,0
2022-04-05,68,123,761,0
2022-04-06,76,158,822,0
2022-04-07,91,103,701,0
2022-04-08,135,212,614,0
2022-04-09,56,119,520,0
2022-04-10,173,294,922,0
2022-04-11,63,139,774,0
2022-04-12,75,155,800,0
2022-04-13,108,170,746,110
2022-04-14,18,33,194,0
2022-04-15,10,20,147,0
2022-04-16,28,68,461,50
2022-04-17,11,14,60,0
2022-04-18,96,134,820,60
2022-04-19,91,153,600,350
2022-04-20,70,138,524,178
2022-04-21,53,135,480,76
2022-04-22,72,158,556,130
2022-04-23,102,217,532,10
2022-04-24,180,349,896,9
2022-04-25,83,109,601,28
2022-04-26,54,112,465,20
2022-04-27,117,166,506,36
2022-04-28,87,215,470,44
2022-04-29,97,269,549,35
2022-04-30,54,166,453,36
2022-05-01,1,0,12,4
2022-05-02,9,27,397,14
2022-05-03,27,50,391,47
2022-05-04,18,31,380,37
2022-05-05,25,53,380,48
2022-05-06,20,33,324,125
2022-05-07,17,58,204,103
2022-05-08,1,1,12,0
2022-05-09,32,37,269,275
2022-05-10,17,45,367,299
2022-05-11,19,36,311,420
2022-05-12,27,63,287,294
2022-05-13,16,52,258,260
2022-05-14,31,59,278,170
2022-05-15,7,22,107,48
2022-05-16,44,92,337,143
2022-05-17,38,116,286,134
2022-05-18,32,106,319,221
2022-05-19,33,97,201,129
2022-05-20,35,101,230,131
2022-05-21,46,132,322,236
2022-05-22,9,17,79,37
2022-05-23,23,46,213,125
2022-05-24,21,53,185,194
2022-05-25,28,69,221,165
2022-05-26,18,45,213,64
2022-05-27,34,47,154,79
2022-05-28,75,163,305,248
2022-05-29,4,15,46,20
2022-05-30,33,51,175,136
2022-05-31,13,29,182,125
2022-06-01,22,60,228,147
2022-06-02,27,58,223,192
2022-06-03,31,82,211,197
2022-06-04,22,89,199,212
2022-06-05,2,12,96,59
2022-06-06,10,54,279,189
2022-06-07,16,36,149,170
2022-06-08,12,30,165,121
2022-06-09,18,48,206,106
2022-06-10,41,61,231,206
2022-06-11,45,73,198,165
2022-06-12,74,132,307,259
2022-06-13,4,18,96,87
2022-06-14,18,47,197,141
2022-06-15,13,38,160,182
2022-06-16,31,52,168,121
2022-06-17,19,44,126,174
2022-06-18,30,64,123,153
2022-06-19,4,5,17,13
2022-06-20,11,27,155,149
2022-06-21,11,36,135,249
2022-06-22,4,5,42,117
