FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-09,3,0,0,0
2021-02-10,189,0,0,0
2021-02-11,371,0,0,0
2021-02-12,237,0,0,0
2021-02-13,146,0,0,0
2021-02-14,53,0,0,0
2021-02-15,166,0,0,0
2021-02-16,64,0,0,0
2021-02-17,23,0,0,0
2021-02-19,11,0,0,0
2021-02-20,218,0,0,0
2021-02-21,21,0,0,0
2021-02-22,338,3,0,0
2021-02-23,420,0,0,0
2021-02-24,255,0,0,0
2021-02-25,273,0,0,0
2021-02-26,187,0,0,0
2021-02-27,24,0,0,0
2021-02-28,7,0,0,0
2021-03-01,30,0,0,0
2021-03-02,18,0,0,0
2021-03-03,13,158,0,0
2021-03-04,63,293,0,0
2021-03-05,34,236,0,0
2021-03-06,11,129,0,0
2021-03-07,0,36,0,0
2021-03-08,18,157,0,0
2021-03-09,122,111,0,0
2021-03-10,35,27,0,0
2021-03-11,45,24,0,0
2021-03-12,17,24,0,0
2021-03-13,6,183,0,0
2021-03-14,7,23,0,0
2021-03-15,10,223,0,0
2021-03-16,7,423,0,0
2021-03-17,5,256,0,0
2021-03-18,7,283,0,0
2021-03-19,22,186,0,0
2021-03-20,1,28,0,0
2021-03-21,0,5,0,0
2021-03-22,5,43,0,0
2021-03-23,3,67,0,0
2021-03-24,4,19,0,0
2021-03-25,2,53,0,0
2021-03-26,5,22,0,0
2021-03-27,0,24,0,0
2021-03-28,1,0,0,0
2021-03-29,0,12,0,0
2021-03-30,10,136,0,0
2021-03-31,20,62,0,0
2021-04-01,2,5,0,0
2021-04-02,1,3,0,0
2021-04-03,3,9,0,0
2021-04-04,0,1,0,0
2021-04-05,1,23,0,0
2021-04-06,4,13,0,0
2021-04-07,21,8,0,0
2021-04-08,32,17,0,0
2021-04-09,83,62,0,0
2021-04-10,0,5,0,0
2021-04-12,0,6,0,0
2021-04-13,0,5,0,0
2021-04-14,0,3,0,0
2021-04-15,0,8,0,0
2021-04-16,2,9,0,0
2021-04-17,2,4,0,0
2021-04-19,0,6,0,0
2021-04-20,0,12,0,0
2021-04-21,252,29,0,0
2021-04-22,258,3,0,0
2021-04-23,276,1,0,0
2021-04-24,0,3,0,0
2021-04-26,590,1,0,0
2021-04-27,848,1,0,0
2021-04-28,537,25,0,0
2021-04-29,660,23,0,0
2021-04-30,613,89,0,0
2021-05-01,153,0,0,0
2021-05-02,80,1,0,0
2021-05-03,1214,1,0,0
2021-05-04,1244,3,0,0
2021-05-05,962,1,0,0
2021-05-06,576,1,0,0
2021-05-07,501,3,0,0
2021-05-08,217,1,0,0
2021-05-09,12,0,0,0
2021-05-10,181,2,0,0
2021-05-11,145,96,0,0
2021-05-12,119,1,0,0
2021-05-13,289,0,0,0
2021-05-14,154,1,0,0
2021-05-15,26,0,0,0
2021-05-16,18,0,0,0
2021-05-17,38,0,0,0
2021-05-18,21,0,0,0
2021-05-19,62,0,0,0
2021-05-20,71,0,0,0
2021-05-21,757,0,0,0
2021-05-22,773,2,0,0
2021-05-23,35,3,0,0
2021-05-24,368,0,0,0
2021-05-25,575,7,0,0
2021-05-26,673,0,0,0
2021-05-27,324,650,0,0
2021-05-28,196,110,0,0
2021-05-29,84,1,0,0
2021-05-30,8,0,0,0
2021-05-31,76,1,0,0
2021-06-01,140,2,0,0
2021-06-02,48,0,0,0
2021-06-03,31,0,0,0
2021-06-04,29,0,0,0
2021-06-05,1,0,0,0
2021-06-06,4,0,0,0
2021-06-07,12,41,0,0
2021-06-08,453,1760,0,0
2021-06-09,563,1325,0,0
2021-06-10,510,1804,0,0
2021-06-11,586,1199,0,0
2021-06-12,795,717,0,0
2021-06-13,299,290,0,0
2021-06-14,340,502,0,0
2021-06-15,220,269,0,0
2021-06-16,273,178,0,0
2021-06-17,187,132,0,0
2021-06-18,91,304,0,0
2021-06-19,102,305,0,0
2021-06-20,17,28,0,0
2021-06-21,66,615,0,0
2021-06-22,496,554,0,0
2021-06-23,330,265,0,0
2021-06-24,264,293,0,0
2021-06-25,617,222,0,0
2021-06-26,692,96,0,0
2021-06-27,681,24,0,0
2021-06-28,663,810,0,0
2021-06-29,1193,404,0,0
2021-06-30,726,124,0,0
2021-07-01,516,168,0,0
2021-07-02,530,90,0,0
2021-07-03,798,101,0,0
2021-07-04,443,28,0,0
2021-07-05,893,57,0,0
2021-07-06,431,309,0,0
2021-07-07,609,339,0,0
2021-07-08,1149,489,0,0
2021-07-09,1656,295,0,0
2021-07-10,1242,383,0,0
2021-07-11,647,264,0,0
2021-07-12,694,514,0,0
2021-07-13,1422,399,0,0
2021-07-14,1446,450,0,0
2021-07-15,1273,310,0,0
2021-07-16,1634,770,0,0
2021-07-17,1753,461,0,0
2021-07-18,1569,247,0,0
2021-07-19,983,363,0,0
2021-07-20,3510,714,0,0
2021-07-21,3804,732,0,0
2021-07-22,3619,475,0,0
2021-07-23,2741,392,0,0
2021-07-24,1407,215,0,0
2021-07-25,699,211,0,0
2021-07-26,1021,439,0,0
2021-07-27,832,309,0,0
2021-07-28,318,507,0,0
2021-07-29,419,869,0,0
2021-07-30,379,1329,0,0
2021-07-31,354,1152,0,0
2021-08-01,122,409,0,0
2021-08-02,353,612,0,0
2021-08-03,391,568,0,0
2021-08-04,473,949,0,0
2021-08-05,275,983,0,0
2021-08-06,613,1437,0,0
2021-08-07,936,1431,0,0
2021-08-08,1687,1070,0,0
2021-08-09,1373,1171,0,0
2021-08-10,2905,2249,0,0
2021-08-11,2493,3940,0,0
2021-08-12,2264,4045,0,0
2021-08-13,1428,3368,0,0
2021-08-14,1220,2540,0,0
2021-08-15,901,1211,0,0
2021-08-16,883,1338,0,0
2021-08-17,568,1033,0,0
2021-08-18,457,929,0,0
2021-08-19,557,843,0,0
2021-08-20,333,801,0,0
2021-08-21,454,638,0,0
2021-08-22,268,427,0,0
2021-08-23,364,551,0,0
2021-08-24,207,475,0,0
2021-08-25,301,600,0,0
2021-08-26,165,424,0,0
2021-08-27,200,634,0,0
2021-08-28,114,787,0,0
2021-08-29,144,932,0,0
2021-08-30,217,1223,0,0
2021-08-31,170,1119,0,0
2021-09-01,1184,2165,0,0
2021-09-02,1897,2355,0,0
2021-09-03,1737,1683,0,0
2021-09-04,1584,1387,0,0
2021-09-05,553,694,0,0
2021-09-06,896,993,0,0
2021-09-07,747,691,0,0
2021-09-08,1036,600,0,0
2021-09-09,509,632,0,0
2021-09-10,2589,777,0,0
2021-09-11,4209,705,0,0
2021-09-12,3789,515,0,0
2021-09-13,3647,503,0,0
2021-09-14,2350,416,0,0
2021-09-15,1775,398,0,0
2021-09-16,2391,321,0,0
2021-09-17,2631,391,0,0
2021-09-18,2489,408,0,0
2021-09-19,66,26,0,0
2021-09-20,23,11,0,0
2021-09-21,1074,379,0,0
2021-09-22,783,774,0,0
2021-09-23,866,1369,0,0
2021-09-24,647,1123,0,0
2021-09-25,576,1286,0,0
2021-09-26,450,797,0,0
2021-09-27,552,901,0,0
2021-09-28,556,786,0,0
2021-09-29,402,1031,0,0
2021-09-30,480,633,0,0
2021-10-01,689,1490,0,0
2021-10-02,1059,2064,0,0
2021-10-03,818,2279,0,0
2021-10-04,1083,2970,0,0
2021-10-05,722,2129,0,0
2021-10-06,816,1787,0,0
2021-10-07,542,1743,0,0
2021-10-08,399,1619,0,0
2021-10-09,499,1571,0,0
2021-10-10,390,996,1,0
2021-10-11,503,1236,0,0
2021-10-12,467,1161,0,0
2021-10-13,556,1277,0,0
2021-10-14,462,1198,0,0
2021-10-15,477,913,309,0
2021-10-16,402,816,415,0
2021-10-17,202,533,111,0
2021-10-18,485,882,420,0
2021-10-19,372,750,356,0
2021-10-20,333,609,140,0
2021-10-21,283,634,122,0
2021-10-22,388,808,68,0
2021-10-23,430,907,19,0
2021-10-24,166,496,6,0
2021-10-25,330,901,52,0
2021-10-26,289,1000,57,0
2021-10-27,270,851,33,0
2021-10-28,290,650,39,0
2021-10-29,213,730,171,0
2021-10-30,1764,539,79,0
2021-10-31,854,521,22,0
2021-11-01,1313,300,20,0
2021-11-02,916,405,36,0
2021-11-03,1137,593,44,0
2021-11-04,870,471,62,0
2021-11-05,1873,425,43,0
2021-11-06,2542,411,15,0
2021-11-07,1558,395,8,0
2021-11-08,1605,412,32,0
2021-11-09,1659,482,56,0
2021-11-10,1545,420,32,0
2021-11-11,1166,417,32,0
2021-11-12,811,370,18,0
2021-11-13,747,367,7,0
2021-11-14,399,257,4,0
2021-11-15,869,386,10,0
2021-11-16,1129,474,26,0
2021-11-17,1043,526,13,0
2021-11-18,1082,476,13,0
2021-11-19,814,410,21,0
2021-11-20,815,953,17,0
2021-11-21,625,878,4,0
2021-11-22,830,938,15,0
2021-11-23,789,1037,17,0
2021-11-24,409,740,18,0
2021-11-25,479,683,26,0
2021-11-26,351,1151,43,0
2021-11-27,388,1370,157,0
2021-11-28,350,1198,157,0
2021-11-29,398,973,144,0
2021-11-30,460,1335,284,0
2021-12-01,722,1513,403,0
2021-12-02,486,1031,824,0
2021-12-03,508,939,723,0
2021-12-04,481,931,421,0
2021-12-05,245,498,247,0
2021-12-06,586,1091,429,0
2021-12-07,605,1045,343,0
2021-12-08,416,932,310,0
2021-12-09,594,1014,698,0
2021-12-10,834,963,553,0
2021-12-11,663,1012,462,0
2021-12-12,310,569,219,0
2021-12-13,668,882,420,0
2021-12-14,580,772,320,0
2021-12-15,613,925,407,0
2021-12-16,456,840,537,0
2021-12-17,813,716,344,0
2021-12-18,513,728,276,0
2021-12-19,214,430,145,0
2021-12-20,647,792,562,0
2021-12-21,593,824,1341,0
2021-12-22,414,929,1951,0
2021-12-23,471,784,1739,0
2021-12-24,246,361,676,0
2021-12-25,55,170,219,0
2021-12-26,158,322,549,0
2021-12-27,515,753,1820,0
2021-12-28,540,736,2854,0
2021-12-29,451,589,1896,0
2021-12-30,444,601,1624,0
2021-12-31,211,390,456,0
2022-01-01,32,38,100,0
2022-01-02,93,171,325,0
2022-01-03,252,599,1363,0
2022-01-04,175,480,1370,0
2022-01-05,229,533,2280,0
2022-01-06,331,553,2256,0
2022-01-07,231,698,1938,0
2022-01-08,190,560,2411,0
2022-01-09,117,264,1220,0
2022-01-10,200,535,1884,0
2022-01-11,198,599,1944,0
2022-01-12,134,472,1780,0
2022-01-13,163,495,1346,0
2022-01-14,151,418,1460,0
2022-01-15,167,306,1974,0
2022-01-16,95,168,906,0
2022-01-17,187,348,1572,0
2022-01-18,152,514,1389,0
2022-01-19,311,586,1787,0
2022-01-20,248,538,1538,0
2022-01-21,275,401,1535,0
2022-01-22,170,322,1225,0
2022-01-23,98,145,546,0
2022-01-24,444,323,975,0
2022-01-25,716,315,919,0
2022-01-26,435,218,730,0
2022-01-27,617,274,675,0
2022-01-28,508,226,722,0
2022-01-29,1037,199,1510,0
2022-01-30,481,84,428,0
2022-01-31,878,291,870,0
2022-02-01,722,200,861,0
2022-02-02,640,229,834,0
2022-02-03,764,162,757,0
2022-02-04,1384,184,853,0
2022-02-05,1111,160,918,0
2022-02-06,653,124,593,0
2022-02-07,1091,236,882,0
2022-02-08,930,262,968,0
2022-02-09,1109,283,1133,0
2022-02-10,1082,321,1177,0
2022-02-11,1085,320,1080,0
2022-02-12,547,207,865,0
2022-02-13,339,143,516,0
2022-02-14,422,272,698,0
2022-02-15,468,394,698,0
2022-02-16,408,440,768,0
2022-02-17,458,442,719,0
2022-02-18,535,453,702,0
2022-02-19,482,614,835,0
2022-02-20,480,459,480,0
2022-02-21,478,579,733,0
2022-02-22,481,646,711,0
2022-02-23,437,587,975,0
2022-02-24,269,602,723,0
2022-02-25,407,671,621,0
2022-02-26,241,421,559,0
2022-02-27,188,505,355,0
2022-02-28,367,518,737,0
2022-03-01,154,300,514,0
2022-03-02,177,342,426,0
2022-03-03,334,591,452,0
2022-03-04,279,561,475,0
2022-03-05,442,884,591,0
2022-03-06,206,425,350,0
2022-03-07,341,758,588,0
2022-03-08,290,697,527,0
2022-03-09,165,410,453,0
2022-03-10,230,571,551,0
2022-03-11,495,803,385,0
2022-03-12,565,814,518,0
2022-03-13,306,453,230,0
2022-03-14,410,579,515,0
2022-03-15,291,511,507,0
2022-03-16,293,494,356,0
2022-03-17,301,497,492,0
2022-03-18,433,661,453,0
2022-03-19,364,659,480,0
2022-03-20,141,354,291,0
2022-03-21,248,392,452,0
2022-03-22,238,381,484,0
2022-03-23,186,246,321,0
2022-03-24,183,226,345,0
2022-03-25,177,300,321,0
2022-03-26,193,392,371,0
2022-03-27,81,208,229,0
2022-03-28,154,301,513,0
2022-03-29,126,285,480,0
2022-03-30,72,183,412,0
2022-03-31,96,210,337,0
2022-04-01,100,200,390,1
2022-04-02,130,323,431,0
2022-04-03,45,207,234,0
2022-04-04,126,252,427,0
2022-04-05,110,249,502,0
2022-04-06,151,265,562,1
2022-04-07,197,344,561,0
2022-04-08,215,311,564,0
2022-04-09,218,387,454,30
2022-04-10,154,223,336,50
2022-04-11,216,352,602,120
2022-04-12,155,302,593,110
2022-04-13,203,298,681,100
2022-04-14,132,273,458,10
2022-04-15,65,84,214,20
