FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-01-25,1,0,0,0
2021-02-08,0,0,0,1
2021-02-10,1,0,0,0
2021-02-11,860,0,0,0
2021-02-12,1002,0,0,0
2021-02-13,309,0,0,0
2021-02-14,181,0,0,0
2021-02-15,778,1,0,0
2021-02-16,252,0,0,0
2021-02-17,192,1,0,0
2021-02-18,197,0,0,0
2021-02-19,905,0,0,0
2021-02-20,692,0,0,0
2021-02-21,110,0,0,0
2021-02-22,972,0,0,0
2021-02-23,1051,0,0,0
2021-02-24,470,0,0,0
2021-02-25,256,0,0,0
2021-02-26,383,0,0,0
2021-02-27,119,0,0,0
2021-02-28,32,0,0,0
2021-03-01,235,1,0,0
2021-03-02,114,0,0,0
2021-03-03,111,1,0,0
2021-03-04,82,606,0,0
2021-03-05,98,678,0,0
2021-03-06,15,262,0,0
2021-03-07,12,70,0,0
2021-03-08,35,607,0,0
2021-03-09,21,441,0,0
2021-03-10,53,196,0,0
2021-03-11,225,185,0,0
2021-03-12,37,508,0,0
2021-03-13,8,353,0,0
2021-03-14,3,124,0,0
2021-03-15,51,948,0,0
2021-03-16,35,837,0,0
2021-03-17,55,820,0,0
2021-03-18,66,322,0,0
2021-03-19,50,399,0,0
2021-03-20,8,112,0,0
2021-03-21,4,29,0,0
2021-03-22,78,323,0,0
2021-03-23,26,122,0,0
2021-03-24,45,151,0,0
2021-03-25,17,115,0,0
2021-03-26,10,99,0,0
2021-03-27,1,29,0,0
2021-03-28,6,37,0,0
2021-03-29,33,94,0,0
2021-03-30,37,83,0,0
2021-03-31,95,113,0,0
2021-04-01,13,15,0,0
2021-04-02,6,19,0,0
2021-04-03,105,4,0,0
2021-04-04,3,7,0,0
2021-04-05,62,227,0,0
2021-04-06,113,83,0,0
2021-04-07,706,90,0,0
2021-04-08,225,87,0,0
2021-04-09,796,53,0,0
2021-04-10,5,5,0,0
2021-04-11,2,1,0,0
2021-04-12,8,76,0,0
2021-04-13,15,40,0,0
2021-04-14,48,42,0,0
2021-04-15,12,35,0,0
2021-04-16,7,52,0,0
2021-04-17,7,1,0,0
2021-04-18,2,8,0,0
2021-04-19,3,40,0,0
2021-04-20,1,10,0,0
2021-04-21,2,80,0,0
2021-04-22,978,38,0,0
2021-04-23,980,24,0,0
2021-04-24,387,93,0,0
2021-04-25,0,17,0,0
2021-04-26,874,38,0,0
2021-04-27,967,72,0,0
2021-04-28,833,216,0,0
2021-04-29,865,530,0,0
2021-04-30,546,903,0,0
2021-05-01,126,21,0,0
2021-05-02,162,3,0,0
2021-05-03,468,42,0,0
2021-05-04,851,24,0,0
2021-05-05,197,69,0,0
2021-05-06,148,34,0,0
2021-05-07,1359,22,0,0
2021-05-08,547,4,0,0
2021-05-09,90,1,0,0
2021-05-10,2237,7,0,0
2021-05-11,2455,8,0,0
2021-05-12,5971,4,0,0
2021-05-13,5962,12,0,0
2021-05-14,4557,17,0,0
2021-05-15,1352,18,0,0
2021-05-16,1036,3,0,0
2021-05-17,1695,15,0,0
2021-05-18,1516,1931,0,0
2021-05-19,2768,287,0,0
2021-05-20,1886,76,0,0
2021-05-21,1818,7,0,0
2021-05-22,531,6,0,0
2021-05-23,433,1,0,0
2021-05-24,924,565,0,0
2021-05-25,614,693,0,0
2021-05-26,745,496,0,0
2021-05-27,525,389,0,0
2021-05-28,864,358,0,0
2021-05-29,151,100,0,0
2021-05-30,111,26,0,0
2021-05-31,497,173,0,0
2021-06-01,439,189,0,0
2021-06-02,498,282,0,0
2021-06-03,335,926,0,0
2021-06-04,167,969,0,0
2021-06-05,32,33,0,0
2021-06-06,47,15,0,0
2021-06-07,191,372,0,0
2021-06-08,760,1906,0,0
2021-06-09,2258,3031,0,0
2021-06-10,2769,3631,0,0
2021-06-11,3366,3560,1,0
2021-06-12,2087,1486,0,0
2021-06-13,1592,867,0,0
2021-06-14,1913,3640,0,0
2021-06-15,2044,2405,1,0
2021-06-16,2557,1833,0,0
2021-06-17,1976,1730,0,0
2021-06-18,2372,1304,0,0
2021-06-19,1218,466,0,0
2021-06-20,401,190,0,0
2021-06-21,1543,1346,0,1
2021-06-22,1507,1717,0,0
2021-06-23,1651,1684,0,0
2021-06-24,1541,1302,0,0
2021-06-25,1191,863,0,0
2021-06-26,575,257,0,0
2021-06-27,459,157,0,0
2021-06-28,610,902,1,0
2021-06-29,877,258,0,0
2021-06-30,843,704,0,0
2021-07-01,1099,509,0,0
2021-07-02,467,424,0,0
2021-07-03,327,135,0,0
2021-07-04,208,166,0,0
2021-07-05,222,550,0,0
2021-07-06,537,388,0,0
2021-07-07,605,1491,0,0
2021-07-08,703,1329,0,0
2021-07-09,847,1865,0,0
2021-07-10,102,998,0,0
2021-07-11,15,1057,1,0
2021-07-12,242,1922,0,0
2021-07-13,97,1484,0,0
2021-07-14,78,1627,0,0
2021-07-15,83,1641,0,0
2021-07-16,122,1935,0,0
2021-07-17,44,1087,0,0
2021-07-18,22,812,0,0
2021-07-19,51,1171,0,0
2021-07-20,1305,1502,0,0
2021-07-21,3533,1388,0,0
2021-07-22,2733,1400,4,0
2021-07-23,3394,1441,3,0
2021-07-24,760,878,0,0
2021-07-25,240,791,1,0
2021-07-26,943,931,0,0
2021-07-27,794,1210,0,0
2021-07-28,174,957,0,0
2021-07-29,107,1047,0,0
2021-07-30,250,1210,0,0
2021-07-31,1416,615,0,0
2021-08-01,388,427,0,0
2021-08-02,2345,875,0,0
2021-08-03,1558,479,0,0
2021-08-04,1419,364,0,0
2021-08-05,1511,573,0,0
2021-08-06,1909,469,0,0
2021-08-07,3762,301,0,0
2021-08-08,3468,287,1,0
2021-08-09,6630,490,0,0
2021-08-10,8815,1397,0,0
2021-08-11,10883,3066,0,0
2021-08-12,5929,2470,0,0
2021-08-13,5321,2717,0,0
2021-08-14,3728,1032,0,0
2021-08-15,1789,580,0,0
2021-08-16,5460,1254,0,0
2021-08-17,5665,1242,1,0
2021-08-18,6031,690,0,0
2021-08-19,4229,569,0,0
2021-08-20,6071,530,0,0
2021-08-21,7034,779,0,0
2021-08-22,8700,718,1,0
2021-08-23,3449,1895,0,0
2021-08-24,3124,1587,0,0
2021-08-25,3007,1433,1,0
2021-08-26,2388,1323,0,0
2021-08-27,1787,1305,0,0
2021-08-28,6384,2671,0,0
2021-08-29,7033,2286,1,0
2021-08-30,720,837,0,0
2021-08-31,2976,5150,2,0
2021-09-01,3225,5338,1,0
2021-09-02,1579,4120,1,0
2021-09-03,3466,3359,1,0
2021-09-04,2789,1930,1,0
2021-09-05,1755,1153,0,0
2021-09-06,2697,2128,2,0
2021-09-07,2369,2724,0,0
2021-09-08,9095,3174,0,0
2021-09-09,8234,2153,2,0
2021-09-10,9640,2063,1,0
2021-09-11,7769,1410,0,0
2021-09-12,6715,1366,1,0
2021-09-13,5935,1398,0,0
2021-09-14,5901,1008,1,0
2021-09-15,4980,1067,4,0
2021-09-16,5613,3681,0,0
2021-09-17,5659,4498,0,0
2021-09-18,4457,6079,1,0
2021-09-19,2917,5136,0,0
2021-09-20,5270,5802,2,0
2021-09-21,5155,6304,0,0
2021-09-22,4580,6518,5,0
2021-09-23,3550,4030,0,0
2021-09-24,3976,4603,0,0
2021-09-25,3252,3832,2,0
2021-09-26,2134,2695,2,0
2021-09-27,4658,4475,1,0
2021-09-28,4753,4673,2,0
2021-09-29,4231,7122,2,0
2021-09-30,3706,6446,4,0
2021-10-01,3772,6845,3,0
2021-10-02,3761,5679,2,0
2021-10-03,1921,3351,0,0
2021-10-04,3559,5722,1,0
2021-10-05,3204,5950,4,0
2021-10-06,3646,5330,0,0
2021-10-07,3040,5236,2,0
2021-10-08,2110,3073,1,0
2021-10-09,2866,4588,1,0
2021-10-10,1749,2345,1,0
2021-10-11,2448,3896,1,0
2021-10-12,2753,3900,0,0
2021-10-13,2900,3338,6,0
2021-10-14,2452,2664,2,0
2021-10-15,2433,2982,192,0
2021-10-16,2144,2873,421,0
2021-10-17,1245,1790,381,0
2021-10-18,2324,3172,750,0
2021-10-19,2379,3665,812,0
2021-10-20,2462,4564,530,0
2021-10-21,2007,3889,328,0
2021-10-22,2060,4170,269,0
2021-10-23,1945,3780,123,0
2021-10-24,1310,2543,68,0
2021-10-25,1892,3639,303,0
2021-10-26,1682,3436,347,0
2021-10-27,1880,3315,223,0
2021-10-28,1711,3144,282,0
2021-10-29,1047,2296,171,0
2021-10-30,1851,2013,70,0
2021-10-31,1233,959,52,1
2021-11-01,385,330,9,0
2021-11-02,495,476,15,0
2021-11-03,2463,2570,126,0
2021-11-04,2765,2854,129,0
2021-11-05,2911,2658,152,0
2021-11-06,3178,2317,82,0
2021-11-07,2463,1790,31,0
2021-11-08,3435,2405,84,0
2021-11-09,3169,2289,83,0
2021-11-10,3616,2134,56,0
2021-11-11,3634,2062,108,0
2021-11-12,3454,2041,89,0
2021-11-13,2833,1873,95,0
2021-11-14,3021,1754,42,0
2021-11-15,4388,2314,236,0
2021-11-16,5176,2541,159,0
2021-11-17,5429,2408,107,0
2021-11-18,5285,2241,161,0
2021-11-19,6926,2728,256,0
2021-11-20,4428,2109,53,0
2021-11-21,3108,1582,28,0
2021-11-22,4712,2112,104,0
2021-11-23,5442,2117,102,0
2021-11-24,5471,2371,141,0
2021-11-25,5234,2226,204,0
2021-11-26,4029,1936,214,0
2021-11-27,3461,2221,276,0
2021-11-28,2552,1898,210,0
2021-11-29,3419,2510,649,0
2021-11-30,3277,2694,1128,0
2021-12-01,3612,2374,547,0
2021-12-02,3418,2032,617,0
2021-12-03,3345,2316,633,0
2021-12-04,3103,2291,452,0
2021-12-05,2948,1938,305,0
2021-12-06,3612,2666,503,0
2021-12-07,4163,2978,548,0
2021-12-08,3143,2397,401,0
2021-12-09,4180,3021,607,0
2021-12-10,6748,4078,745,0
2021-12-11,7316,4017,545,0
2021-12-12,6706,3285,465,0
2021-12-13,10606,5359,864,0
2021-12-14,11583,6037,871,0
2021-12-15,10729,6803,848,0
2021-12-16,8437,6036,650,0
2021-12-17,6845,5695,716,0
2021-12-18,5940,5077,416,0
2021-12-19,4106,3392,301,0
2021-12-20,5816,5535,659,0
2021-12-21,5690,5679,1404,0
2021-12-22,4237,4504,1043,3
2021-12-23,3638,3936,1204,2
2021-12-24,1972,2097,471,0
2021-12-25,546,556,146,0
2021-12-26,1520,1720,343,0
2021-12-27,3942,4528,1114,0
2021-12-28,4031,4856,1207,0
2021-12-29,3522,3897,1059,0
2021-12-30,3009,3563,810,0
2021-12-31,1307,1952,315,0
2022-01-01,1072,521,102,0
2022-01-02,1279,1664,294,0
2022-01-03,3568,5716,1108,0
2022-01-04,3881,6886,1444,0
2022-01-05,3862,7350,1712,0
2022-01-06,3507,6631,1479,0
2022-01-07,3313,5983,1595,0
2022-01-08,2582,5052,2102,0
2022-01-09,2848,4782,1379,0
2022-01-10,3269,6127,2402,0
2022-01-11,2629,5299,2068,0
2022-01-12,2873,5427,2441,0
2022-01-13,2257,4371,2216,0
2022-01-14,2326,4191,2899,1
2022-01-15,1557,2392,1755,0
2022-01-16,1219,2104,1024,0
2022-01-17,1989,3479,2140,0
2022-01-18,1688,3241,1902,0
2022-01-19,1607,3050,1640,0
2022-01-20,1413,2932,1433,0
2022-01-21,1198,2221,1280,0
2022-01-22,919,2014,1241,0
2022-01-23,702,1553,663,0
2022-01-24,1473,2804,1805,0
2022-01-25,1354,2766,1540,0
2022-01-26,1847,2823,1722,0
2022-01-27,1734,2581,1585,0
2022-01-28,1667,2512,1496,0
2022-01-29,1844,2127,1423,0
2022-01-30,1488,1695,997,0
2022-01-31,2097,2919,2214,1
2022-02-01,2411,2651,1811,1
2022-02-02,2089,2584,2110,0
2022-02-03,2136,2285,1796,0
2022-02-04,2215,2293,1832,0
2022-02-05,1834,1873,1497,2
2022-02-06,1198,1387,1018,0
2022-02-07,2323,2487,2168,0
2022-02-08,2197,2304,2186,1
2022-02-09,2480,2342,2229,0
2022-02-10,2582,2196,2295,0
2022-02-11,2328,1986,2292,0
2022-02-12,1815,1558,1619,1
2022-02-13,1520,1172,1156,0
2022-02-14,2486,2023,2110,0
2022-02-15,2303,1950,2327,0
2022-02-16,2554,1911,2315,0
2022-02-17,2625,1973,2421,0
2022-02-18,2729,1892,2213,1
2022-02-19,2488,1660,2232,3
2022-02-20,2390,1559,2270,0
2022-02-21,2605,2226,2352,0
2022-02-22,2946,2719,3174,0
2022-02-23,2653,2387,2471,1
2022-02-24,2397,2202,3091,0
2022-02-25,1938,2119,1917,0
2022-02-26,1900,1819,1869,1
2022-02-27,1606,1299,1463,0
2022-02-28,1669,2078,1804,2
2022-03-01,2485,1906,2218,1
2022-03-02,1666,1587,1991,0
2022-03-03,1596,1555,1733,0
2022-03-04,1462,1569,1667,0
2022-03-05,1183,1338,1252,0
2022-03-06,999,1021,997,0
2022-03-07,1911,2280,1872,0
2022-03-08,2085,2444,1960,0
2022-03-09,2157,2597,2087,0
2022-03-10,2499,2427,2112,1
2022-03-11,2372,2449,1949,0
2022-03-12,1975,2048,1733,1
2022-03-13,1736,1628,1310,0
2022-03-14,2092,2068,1889,0
2022-03-15,1692,1850,1816,1
2022-03-16,1578,1881,1896,0
