FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2021-02-08,1,0,0,0
2021-02-10,1,0,0,0
2021-02-11,241,0,0,0
2021-02-12,510,0,0,0
2021-02-13,114,0,0,0
2021-02-14,8,0,0,0
2021-02-15,111,0,0,0
2021-02-16,53,0,0,0
2021-02-17,1,0,0,0
2021-02-19,833,0,0,0
2021-02-20,339,0,0,0
2021-02-22,98,0,0,0
2021-02-23,51,0,0,0
2021-02-24,4,0,0,0
2021-02-25,32,0,0,0
2021-02-26,57,0,0,0
2021-02-27,205,0,0,0
2021-03-01,105,0,0,0
2021-03-02,3,0,0,0
2021-03-03,95,0,0,0
2021-03-04,14,153,0,0
2021-03-05,10,457,0,0
2021-03-06,13,120,0,0
2021-03-08,96,86,0,0
2021-03-09,28,70,0,0
2021-03-10,67,4,0,0
2021-03-11,102,0,0,0
2021-03-12,7,225,0,0
2021-03-13,24,563,0,0
2021-03-14,4,5,0,0
2021-03-15,13,188,0,0
2021-03-16,18,220,0,0
2021-03-17,13,23,0,0
2021-03-18,6,44,0,0
2021-03-19,4,32,0,0
2021-03-20,4,3,0,0
2021-03-22,26,253,0,0
2021-03-23,1634,46,0,0
2021-03-24,138,93,0,0
2021-03-25,0,10,0,0
2021-03-26,6,5,0,0
2021-03-27,5,15,0,0
2021-03-29,13,79,0,0
2021-03-30,58,28,0,0
2021-03-31,11,62,0,0
2021-04-01,3,0,0,0
2021-04-03,0,2,0,0
2021-04-05,8,16,0,0
2021-04-06,49,41,0,0
2021-04-07,0,12,0,0
2021-04-08,48,14,0,0
2021-04-09,54,12,0,0
2021-04-10,0,5,0,0
2021-04-11,0,1,0,0
2021-04-12,0,9,0,0
2021-04-13,61,1014,0,0
2021-04-14,9,566,0,0
2021-04-15,0,11,0,0
2021-04-16,0,15,0,0
2021-04-17,0,13,0,0
2021-04-19,198,13,0,0
2021-04-20,456,55,0,0
2021-04-21,517,66,0,0
2021-04-22,0,6,0,0
2021-04-23,0,19,0,0
2021-04-24,1,0,0,0
2021-04-26,0,11,0,0
2021-04-27,192,47,0,0
2021-04-28,1097,21,0,0
2021-04-29,860,34,0,0
2021-04-30,1481,15,0,0
2021-05-01,259,101,0,0
2021-05-02,0,1,0,0
2021-05-03,1462,0,0,0
2021-05-04,713,1,0,0
2021-05-05,445,66,0,0
2021-05-06,539,11,0,0
2021-05-07,455,3,0,0
2021-05-08,143,0,0,0
2021-05-09,6,0,0,0
2021-05-10,269,0,0,0
2021-05-11,307,375,0,0
2021-05-12,222,667,0,0
2021-05-13,441,75,0,0
2021-05-14,227,19,0,0
2021-05-15,224,3,0,0
2021-05-16,22,0,0,0
2021-05-17,106,3,0,0
2021-05-18,101,1,0,0
2021-05-19,67,2,0,0
2021-05-20,141,0,0,0
2021-05-21,54,1,0,0
2021-05-22,60,0,0,0
2021-05-24,105,0,0,0
2021-05-25,93,9,0,0
2021-05-26,66,2,0,0
2021-05-27,41,3,0,0
2021-05-28,24,4,0,0
2021-05-29,1418,4,0,0
2021-05-30,212,0,0,0
2021-05-31,64,5,0,0
2021-06-01,50,6,0,0
2021-06-02,294,1,0,0
2021-06-03,538,5,0,0
2021-06-04,365,3,0,0
2021-06-05,174,3,0,0
2021-06-06,2,10,0,0
2021-06-07,117,136,0,0
2021-06-08,155,3343,0,0
2021-06-09,579,2087,0,0
2021-06-10,2455,1084,0,0
2021-06-11,1338,761,0,0
2021-06-12,798,374,0,0
2021-06-13,19,103,0,0
2021-06-14,593,273,0,0
2021-06-15,265,132,0,0
2021-06-16,390,157,0,0
2021-06-17,338,141,0,0
2021-06-18,246,113,0,0
2021-06-19,62,51,0,0
2021-06-20,2,1,0,0
2021-06-21,274,232,0,0
2021-06-22,393,376,0,0
2021-06-23,289,98,0,0
2021-06-24,224,64,0,0
2021-06-25,198,49,0,0
2021-06-26,73,191,0,0
2021-06-28,92,496,0,0
2021-06-29,3,2,0,0
2021-06-30,85,557,0,0
2021-07-01,241,364,0,0
2021-07-02,280,252,0,0
2021-07-03,240,384,0,0
2021-07-04,113,52,0,0
2021-07-05,284,318,0,0
2021-07-06,984,190,0,0
2021-07-07,186,414,0,0
2021-07-08,305,812,0,0
2021-07-09,231,825,0,0
2021-07-10,187,1080,0,0
2021-07-11,17,684,0,0
2021-07-12,199,1088,0,0
2021-07-13,9,547,0,0
2021-07-14,51,729,0,0
2021-07-15,50,417,0,0
2021-07-16,30,411,0,0
2021-07-17,5036,127,0,0
2021-07-18,5256,18,0,0
2021-07-19,71,371,0,0
2021-07-20,27,270,0,0
2021-07-21,46,229,0,0
2021-07-22,420,150,0,0
2021-07-23,318,276,0,0
2021-07-24,1095,194,0,0
2021-07-25,1124,1,0,0
2021-07-26,1512,277,0,0
2021-07-27,1254,661,0,0
2021-07-28,635,160,0,0
2021-07-29,2,1,0,0
2021-07-30,622,234,0,0
2021-07-31,761,107,0,0
2021-08-01,464,63,0,0
2021-08-02,314,133,0,0
2021-08-03,465,197,0,0
2021-08-04,400,116,0,0
2021-08-05,220,137,0,0
2021-08-06,487,255,0,0
2021-08-07,499,4156,0,0
2021-08-08,2370,5812,0,0
2021-08-09,304,173,0,0
2021-08-10,326,202,0,0
2021-08-11,3104,144,0,0
2021-08-12,2239,188,0,0
2021-08-13,2610,145,0,0
2021-08-14,195,76,0,0
2021-08-15,31,37,0,0
2021-08-16,192,141,0,0
2021-08-17,147,207,0,0
2021-08-18,355,1620,0,0
2021-08-19,233,2232,0,0
2021-08-20,293,1364,0,0
2021-08-21,31,555,0,0
2021-08-22,19,530,0,0
2021-08-23,119,1097,0,0
2021-08-24,54,356,0,0
2021-08-25,59,397,0,0
2021-08-26,10,446,0,0
2021-08-27,1813,356,0,0
2021-08-28,25,283,0,0
2021-08-29,3,13,0,0
2021-08-30,1,8,0,0
2021-08-31,209,595,0,0
2021-09-01,217,654,0,0
2021-09-02,6814,3021,0,0
2021-09-03,5119,3393,0,0
2021-09-04,3044,2316,0,0
2021-09-05,1058,88,0,0
2021-09-06,380,422,0,0
2021-09-07,2364,339,0,0
2021-09-08,2266,155,0,0
2021-09-09,2196,175,0,0
2021-09-10,7614,189,0,0
2021-09-11,10713,182,0,0
2021-09-12,9832,143,0,0
2021-09-13,850,183,0,0
2021-09-14,8156,22,0,0
2021-09-15,1137,74,0,0
2021-09-16,4521,191,0,0
2021-09-17,5190,436,0,0
2021-09-18,1760,96,0,0
2021-09-19,102,62,0,0
2021-09-20,1569,134,1,0
2021-09-21,2084,423,0,0
2021-09-22,1199,1076,0,0
2021-09-23,1868,465,0,0
2021-09-24,945,232,0,0
2021-09-25,569,1550,0,0
2021-09-26,142,15,0,0
2021-09-27,204,548,0,0
2021-09-28,193,645,0,0
2021-09-29,278,1379,0,0
2021-09-30,197,1598,1,0
2021-10-01,148,1081,0,0
2021-10-02,111,15172,0,0
2021-10-03,38,14739,0,0
2021-10-04,374,696,1,0
2021-10-05,91,530,0,0
2021-10-06,187,407,0,0
2021-10-07,460,515,0,0
2021-10-08,32,9,0,0
2021-10-09,55,8310,0,0
2021-10-10,125,476,0,0
2021-10-11,286,698,0,0
2021-10-12,297,990,0,0
2021-10-13,309,958,0,0
2021-10-14,557,2433,0,0
2021-10-15,502,2884,1,0
2021-10-16,452,1520,1,0
2021-10-17,554,747,0,0
2021-10-18,352,1254,1,0
2021-10-19,858,1541,197,0
2021-10-20,550,1282,533,0
2021-10-21,478,839,320,0
2021-10-22,476,1126,111,0
2021-10-23,374,1185,18,0
2021-10-24,20,306,0,0
2021-10-25,410,758,56,0
2021-10-26,245,514,19,0
2021-10-27,307,660,22,0
2021-10-28,213,606,36,0
2021-10-29,274,554,30,0
2021-10-30,374,392,5,0
2021-10-31,94,126,1,0
2021-11-01,9,2,0,0
2021-11-02,43,49,2,0
2021-11-03,47,132,91,0
2021-11-04,32,129,70,0
2021-11-05,49,90,47,0
2021-11-06,9210,129,10,0
2021-11-07,4321,116,3,0
2021-11-08,719,206,27,0
2021-11-09,537,149,43,0
2021-11-10,435,152,44,0
2021-11-11,470,154,131,0
2021-11-12,605,172,248,0
2021-11-13,758,145,133,0
2021-11-14,311,63,16,0
2021-11-15,598,116,93,0
2021-11-16,366,87,559,0
2021-11-17,336,93,32,0
2021-11-18,337,134,38,0
2021-11-19,423,147,71,0
2021-11-20,302,89,13,0
2021-11-21,3,17,1,0
2021-11-22,691,180,49,0
2021-11-23,775,253,50,0
2021-11-24,641,744,51,0
2021-11-25,545,184,61,0
2021-11-26,441,138,156,0
2021-11-27,590,5368,434,0
2021-11-28,559,4159,1230,0
2021-11-29,333,1024,523,0
2021-11-30,309,672,657,0
2021-12-01,191,366,445,0
2021-12-02,411,1847,714,0
2021-12-03,356,1584,561,0
2021-12-04,251,989,364,0
2021-12-05,3,35,5,0
2021-12-06,325,1067,458,0
2021-12-07,255,821,493,0
2021-12-08,194,670,439,0
2021-12-09,324,1008,944,0
2021-12-10,454,972,833,0
2021-12-11,715,1265,673,0
2021-12-12,600,1042,707,0
2021-12-13,750,1042,567,0
