DEPARTAMENTO,DOSIS1,DOSIS2,DOSIS3,DOSIS4,POBLACION,INDICE3
AMAZONAS,42152,40598,32220,7148,54524,59093
ANCASH,156835,155392,144614,50417,186422,77573
APURIMAC,56812,55273,44875,6814,64410,69671
AREQUIPA,193562,190172,166387,30347,223909,74310
AYACUCHO,75782,72537,51935,5069,90929,57116
CAJAMARCA,168047,163242,117763,12617,213109,55260
CALLAO,149779,145034,138833,57833,161120,86167
CUSCO,153706,149493,115892,15230,181937,63699
HUANCAVELICA,46151,44113,31269,2969,59476,52574
HUANUCO,83856,80199,62922,9267,104925,59969
ICA,110281,109436,106325,42025,124673,85283
JUNIN,151715,149253,133304,27907,185322,71931
LA LIBERTAD,237605,234314,207600,56666,279440,74291
LAMBAYEQUE,167700,165882,146365,40118,198682,73668
LIMA,1449536,1432121,1365084,452200,1643835,83043
LORETO,88210,82977,64871,11626,118323,54825
MADRE DE DIOS,11629,10909,7599,792,14608,52019
MOQUEGUA,25678,25190,22133,5736,30213,73257
PASCO,26110,25717,21639,4878,34196,63279
PIURA,226104,222394,192836,45063,269868,71456
PUNO,144057,135018,84035,4002,179319,46863
SAN MARTIN,87015,84881,67357,9607,107269,62793
TACNA,39527,38899,31912,5307,47369,67369
TUMBES,26227,25630,22716,5070,30215,75181
UCAYALI,49036,46582,36083,5237,60554,59588
