,FECHA_CORTE,DEPARTAMENTO,DOSIS2_M,DOSIS2_F,POB_M,POB_F,INDICE_M,INDICE_F
0,20210521,AMAZONAS,3205,3369,219801,207005,751,789
1,20210521,ANCASH,11991,13402,594832,585806,1016,1135
2,20210521,APURIMAC,2794,4814,220370,210366,649,1118
3,20210521,AREQUIPA,16516,16946,735707,761731,1103,1132
4,20210521,AYACUCHO,3867,5870,341951,326262,579,878
5,20210521,CAJAMARCA,6761,10670,727265,726446,465,734
6,20210521,CALLAO,45904,31622,550046,579808,4063,2799
7,20210521,CUSCO,7614,9437,686543,670532,561,695
8,20210521,HUANCAVELICA,3250,3844,184121,181196,890,1052
9,20210521,HUANUCO,3426,5928,384345,375922,451,780
10,20210521,ICA,8513,11417,488836,486346,873,1171
11,20210521,JUNIN,8813,12209,678494,682973,647,897
12,20210521,LA LIBERTAD,18400,22275,1000002,1016769,912,1104
13,20210521,LAMBAYEQUE,9284,12216,638228,672557,708,932
14,20210521,LIMA,229630,246292,5119560,5508910,2161,2317
15,20210521,LORETO,8927,8297,531000,496559,869,807
16,20210521,MADRE DE DIOS,931,1483,98215,75596,536,853
17,20210521,MOQUEGUA,2216,2960,102855,89885,1150,1536
18,20210521,PASCO,1388,2308,140252,131652,510,849
19,20210521,PIURA,12948,16575,1030975,1016979,632,809
20,20210521,PUNO,5425,7101,611616,626381,438,574
21,20210521,SAN MARTIN,7814,8514,474458,425190,869,946
22,20210521,TACNA,4674,4285,188152,182822,1260,1155
23,20210521,TUMBES,3330,2122,135675,115846,1324,844
24,20210521,UCAYALI,2548,3520,307596,281514,433,598
