,DEPARTAMENTO,DISTRITO,DOSIS2,POBLACION,INDICE
0,AYACUCHO,ACCOMARCA,263,1211,21.72
1,AYACUCHO,ACOCRO,1622,8204,19.77
2,AYACUCHO,ACOS VINCHOS,1370,4756,28.81
3,AYACUCHO,ALCAMENCA,723,1704,42.43
4,AYACUCHO,ANCO,4183,8591,48.69
5,AYACUCHO,APONGO,638,770,82.86
6,AYACUCHO,ASQUIPATA,260,430,60.47
7,AYACUCHO,AUCARA,1283,2137,60.04
8,AYACUCHO,AYACUCHO,60812,89170,68.2
9,AYACUCHO,AYAHUANCO,540,7971,6.77
10,AYACUCHO,AYNA,5518,8316,66.35
11,AYACUCHO,BELEN,158,259,61.0
12,AYACUCHO,CABANA,804,995,80.8
13,AYACUCHO,CANARIA,1936,2570,75.33
14,AYACUCHO,CANGALLO,3310,5464,60.58
15,AYACUCHO,CARAPO,940,2132,44.09
16,AYACUCHO,CARHUANCA,325,822,39.54
17,AYACUCHO,CARMEN ALTO,12950,21879,59.19
18,AYACUCHO,CARMEN SALCEDO,684,1082,63.22
19,AYACUCHO,CAYARA,528,1139,46.36
20,AYACUCHO,CHALCOS,272,515,52.82
21,AYACUCHO,CHAVIÑA,1561,1906,81.9
22,AYACUCHO,CHIARA,2144,5571,38.49
23,AYACUCHO,CHILCAS,719,1815,39.61
24,AYACUCHO,CHILCAYOC,414,549,75.41
25,AYACUCHO,CHIPAO,1008,2475,40.73
26,AYACUCHO,CHUMPI,1303,2076,62.76
27,AYACUCHO,CHUNGUI,1472,4441,33.15
28,AYACUCHO,CHUSCHI,2179,6806,32.02
29,AYACUCHO,COLCA,583,1198,48.66
30,AYACUCHO,COLTA,264,417,63.31
31,AYACUCHO,CONCEPCION,771,2289,33.68
32,AYACUCHO,CORACORA,9123,9865,92.48
33,AYACUCHO,CORCULLA,203,388,52.32
34,AYACUCHO,CORONEL CASTAÑEDA,767,860,89.19
35,AYACUCHO,HUAC-HUAS,932,1311,71.09
36,AYACUCHO,HUACAÑA,163,367,44.41
37,AYACUCHO,HUAMANGUILLA,2388,4367,54.68
38,AYACUCHO,HUAMANQUIQUIA,499,1006,49.6
39,AYACUCHO,HUAMBALPA,365,1747,20.89
40,AYACUCHO,HUANCAPI,1328,1777,74.73
41,AYACUCHO,HUANCARAYLLA,922,1613,57.16
42,AYACUCHO,HUANTA,26680,37130,71.86
43,AYACUCHO,HUAYA,1075,1994,53.91
44,AYACUCHO,IGUAIN,1221,3381,36.11
45,AYACUCHO,INDEPENDENCIA,510,1331,38.32
46,AYACUCHO,JESUS NAZARENO,13192,10098,130.64
47,AYACUCHO,LAMPA,849,1647,51.55
48,AYACUCHO,LARAMATE,1113,1374,81.0
49,AYACUCHO,LEONCIO PRADO,754,881,85.58
50,AYACUCHO,LLAUTA,388,1307,29.69
51,AYACUCHO,LOS MOROCHUCOS,3669,7780,47.16
52,AYACUCHO,LUCANAS,1486,2529,58.76
53,AYACUCHO,LUIS CARRANZA,636,1215,52.35
54,AYACUCHO,LURICOCHA,2039,6474,31.5
55,AYACUCHO,MARCABAMBA,417,471,88.54
56,AYACUCHO,MARIA PARADO DE BELLIDO,1220,2091,58.35
57,AYACUCHO,MORCOLLA,370,1244,29.74
58,AYACUCHO,OCAÑA,1341,2202,60.9
59,AYACUCHO,OCROS,3084,5595,55.12
60,AYACUCHO,OTOCA,1159,1437,80.65
61,AYACUCHO,OYOLO,596,979,60.88
62,AYACUCHO,PACAPAUSA,377,712,52.95
63,AYACUCHO,PACAYCASA,1363,2845,47.91
64,AYACUCHO,PAICO,363,603,60.2
65,AYACUCHO,PARARCA,358,411,87.1
66,AYACUCHO,PARAS,1031,4831,21.34
67,AYACUCHO,PAUSA,2799,2227,125.68
68,AYACUCHO,PULLO,2815,3757,74.93
69,AYACUCHO,PUQUIO,10574,2529,418.11
70,AYACUCHO,PUYUSCA,1684,1975,85.27
71,AYACUCHO,QUEROBAMBA,2537,2187,116.0
72,AYACUCHO,QUINUA,1811,5604,32.32
73,AYACUCHO,SACSAMARCA,810,1506,53.78
74,AYACUCHO,SAISA,229,354,64.69
75,AYACUCHO,SAN CRISTOBAL,780,1791,43.55
76,AYACUCHO,SAN FRANCISCO DE RAVACAYCO,304,856,35.51
77,AYACUCHO,SAN JOSE DE TICLLAS,590,2278,25.9
78,AYACUCHO,SAN JOSE DE USHUA,110,183,60.11
79,AYACUCHO,SAN JUAN,434,602,72.09
80,AYACUCHO,SAN JUAN BAUTISTA,28133,41135,68.39
81,AYACUCHO,SAN MIGUEL,6270,11779,53.23
82,AYACUCHO,SAN PEDRO,1132,2841,39.85
83,AYACUCHO,SAN PEDRO DE LARCAY,419,768,54.56
84,AYACUCHO,SAN PEDRO DE PALCO,707,1121,63.07
85,AYACUCHO,SAN SALVADOR DE QUIJE,337,1135,29.69
86,AYACUCHO,SANCOS,5646,2897,194.89
87,AYACUCHO,SANCOS,5646,2655,212.66
88,AYACUCHO,SANTA ANA DE HUAYCAHUACHO,432,487,88.71
89,AYACUCHO,SANTA LUCIA,1278,789,161.98
90,AYACUCHO,SANTA ROSA,4881,10043,48.6
91,AYACUCHO,SANTIAGO DE LUCANAMARCA,775,2382,32.54
92,AYACUCHO,SANTIAGO DE PAUCARAY,390,622,62.7
93,AYACUCHO,SANTIAGO DE PISCHA,582,1455,40.0
94,AYACUCHO,SANTILLANA,1075,4523,23.77
95,AYACUCHO,SARA SARA,275,511,53.82
96,AYACUCHO,SARHUA,1194,2676,44.62
97,AYACUCHO,SAURAMA,605,1141,53.02
98,AYACUCHO,SIVIA,4902,8923,54.94
99,AYACUCHO,SOCOS,1352,7520,17.98
100,AYACUCHO,SORAS,535,799,66.96
101,AYACUCHO,TAMBILLO,1210,5487,22.05
102,AYACUCHO,TAMBO,4336,11454,37.86
103,AYACUCHO,TOTOS,1255,3436,36.53
104,AYACUCHO,UPAHUACHO,548,1334,41.08
105,AYACUCHO,VILCANCHOS,1139,2689,42.36
106,AYACUCHO,VILCAS HUAMAN,4931,6412,76.9
107,AYACUCHO,VINCHOS,2740,16108,17.01
108,AYACUCHO,VISCHONGO,1384,3780,36.61
