,DEPARTAMENTO,DISTRITO,DOSIS3,POBLACION,INDICE
0,HUANCAVELICA,ACOBAMBA,3092,8706,35.52
1,HUANCAVELICA,ACOBAMBILLA,542,2258,24.0
2,HUANCAVELICA,ACORIA,3700,20378,18.16
3,HUANCAVELICA,ACOSTAMBO,1023,3925,26.06
4,HUANCAVELICA,ACRAQUIA,1288,4118,31.28
5,HUANCAVELICA,AHUAYCHA,1435,4338,33.08
6,HUANCAVELICA,ANCHONGA,447,6911,6.47
7,HUANCAVELICA,ANCO,840,5424,15.49
8,HUANCAVELICA,ANDABAMBA,60,3411,1.76
9,HUANCAVELICA,ANTA,241,5582,4.32
10,HUANCAVELICA,ARMA,574,1440,39.86
11,HUANCAVELICA,AURAHUA,470,1732,27.14
12,HUANCAVELICA,AYAVI,315,796,39.57
13,HUANCAVELICA,CAJA,455,2129,21.37
14,HUANCAVELICA,CALLANMARCA,74,744,9.95
15,HUANCAVELICA,CAPILLAS,516,1332,38.74
16,HUANCAVELICA,CASTROVIRREYNA,980,3014,32.51
17,HUANCAVELICA,CCOCHACCASA,390,3130,12.46
18,HUANCAVELICA,CHINCHIHUASI,677,2338,28.96
19,HUANCAVELICA,CHINCHO,310,1102,28.13
20,HUANCAVELICA,CHUPAMARCA,329,1027,32.04
21,HUANCAVELICA,CHURCAMPA,2628,4851,54.17
22,HUANCAVELICA,COCAS,133,914,14.55
23,HUANCAVELICA,COLCABAMBA,2429,12585,19.3
24,HUANCAVELICA,CONAYCA,248,838,29.59
25,HUANCAVELICA,CONGALLA,664,3769,17.62
26,HUANCAVELICA,CORDOVA,533,1318,40.44
27,HUANCAVELICA,CUENCA,315,1816,17.35
28,HUANCAVELICA,DANIEL HERNANDEZ,2363,9080,26.02
29,HUANCAVELICA,EL CARMEN,707,2447,28.89
30,HUANCAVELICA,HUACHOCOLPA,1415,2103,67.28
31,HUANCAVELICA,HUACHOCOLPA,1415,2980,47.48
32,HUANCAVELICA,HUACHOS,596,1624,36.7
33,HUANCAVELICA,HUAMATAMBO,158,594,26.6
34,HUANCAVELICA,HUANCA-HUANCA,117,1398,8.37
35,HUANCAVELICA,HUANCAVELICA,11635,35341,32.92
36,HUANCAVELICA,HUARIBAMBA,800,4262,18.77
37,HUANCAVELICA,HUAYACUNDO ARMA,125,433,28.87
38,HUANCAVELICA,HUAYLLAHUARA,233,688,33.87
39,HUANCAVELICA,HUAYLLAY GRANDE,116,1230,9.43
40,HUANCAVELICA,HUAYTARA,1690,1894,89.23
41,HUANCAVELICA,IZCUCHACA,577,1041,55.43
42,HUANCAVELICA,JULCAMARCA,200,1048,19.08
43,HUANCAVELICA,LA MERCED,207,693,29.87
44,HUANCAVELICA,LARAMARCA,146,597,24.46
45,HUANCAVELICA,LARIA,182,853,21.34
46,HUANCAVELICA,LIRCAY,7196,22111,32.54
47,HUANCAVELICA,LOCROJA,693,3680,18.83
48,HUANCAVELICA,MANTA,304,887,34.27
49,HUANCAVELICA,MARCAS,477,1951,24.45
50,HUANCAVELICA,MARISCAL CACERES,199,904,22.01
51,HUANCAVELICA,MOLLEPAMPA,241,1157,20.83
52,HUANCAVELICA,MOYA,493,1158,42.57
53,HUANCAVELICA,NUEVO OCCORO,391,1846,21.18
54,HUANCAVELICA,OCOYO,361,1069,33.77
55,HUANCAVELICA,PACHAMARCA,763,2294,33.26
56,HUANCAVELICA,PALCA,640,2661,24.05
57,HUANCAVELICA,PAMPAS,5417,8519,63.59
58,HUANCAVELICA,PAUCARA,697,10352,6.73
59,HUANCAVELICA,PAUCARBAMBA,1417,4852,29.2
60,HUANCAVELICA,PAZOS,930,5845,15.91
61,HUANCAVELICA,PILCHACA,218,659,33.08
62,HUANCAVELICA,PILPICHACA,743,4121,18.03
63,HUANCAVELICA,POMACOCHA,390,2945,13.24
64,HUANCAVELICA,QUERCO,317,844,37.56
65,HUANCAVELICA,QUISHUAR,266,759,35.05
66,HUANCAVELICA,QUITO-ARMA,244,807,30.24
67,HUANCAVELICA,ROBLE,140,1078,12.99
