,DEPARTAMENTO,DISTRITO,DOSIS2,POBLACION,INDICE
0,HUANUCO,AMARILIS,61326,71157,86.18
1,HUANUCO,AMBO,16200,16204,99.98
2,HUANUCO,APARICIO POMARES,2289,6196,36.94
3,HUANUCO,ARANCAY,1255,1827,68.69
4,HUANUCO,BAÑOS,1904,2763,68.91
5,HUANUCO,CAHUAC,666,2262,29.44
6,HUANUCO,CANCHABAMBA,1943,2767,70.22
7,HUANUCO,CAYNA,1388,3310,41.93
8,HUANUCO,CHACABAMBA,534,2498,21.38
9,HUANUCO,CHAGLLA,4888,9828,49.74
10,HUANUCO,CHAVIN DE PARIARCA,2544,3755,67.75
11,HUANUCO,CHAVINILLO,3890,6261,62.13
12,HUANUCO,CHINCHAO,7536,15587,48.35
13,HUANUCO,CHOLON,3275,5797,56.49
14,HUANUCO,CHUQUIS,1231,3806,32.34
15,HUANUCO,CHURUBAMBA,5471,17886,30.59
16,HUANUCO,COCHABAMBA,738,1555,47.46
17,HUANUCO,CODO DEL POZUZO,3028,6578,46.03
18,HUANUCO,COLPAS,890,2556,34.82
19,HUANUCO,CONCHAMARCA,2766,5433,50.91
20,HUANUCO,HERMILIO VALDIZAN,2404,3941,61.0
21,HUANUCO,HONORIA,3877,5639,68.75
22,HUANUCO,HUACAR,2713,7617,35.62
23,HUANUCO,HUACAYBAMBA,4004,5224,76.65
24,HUANUCO,HUACRACHUCO,8679,12908,67.24
25,HUANUCO,HUANUCO,90671,77336,117.24
26,HUANUCO,JACAS CHICO,436,2347,18.58
27,HUANUCO,JACAS GRANDE,3318,5934,55.92
28,HUANUCO,JESUS,2501,4331,57.75
29,HUANUCO,JIRCAN,936,1555,60.19
30,HUANUCO,JIVIA,567,1855,30.57
31,HUANUCO,JOSE CRESPO Y CASTILLO,15258,22329,68.33
32,HUANUCO,LA MORADA,1796,2502,71.78
33,HUANUCO,LA UNION,5993,4498,133.24
34,HUANUCO,LLATA,10106,11649,86.75
35,HUANUCO,LUYANDO,4739,8844,53.58
36,HUANUCO,MARGOS,2168,6420,33.77
37,HUANUCO,MARIANO DAMASO BERAUN,4935,11428,43.18
38,HUANUCO,MARIAS,1346,5623,23.94
39,HUANUCO,MIRAFLORES,2094,3199,65.46
40,HUANUCO,MOLINO,4759,11407,41.72
41,HUANUCO,MONZON,7423,12797,58.01
42,HUANUCO,OBAS,2182,5395,40.44
43,HUANUCO,PACHAS,3626,6064,59.8
44,HUANUCO,PAMPAMARCA,474,1831,25.89
45,HUANUCO,PANAO,7594,18174,41.78
46,HUANUCO,PILLCO MARCA,29740,27827,106.87
47,HUANUCO,PINRA,3778,6003,62.94
48,HUANUCO,PUERTO INCA,5879,11039,53.26
49,HUANUCO,PUNCHAO,1278,1973,64.77
50,HUANUCO,PUÑOS,2069,4606,44.92
51,HUANUCO,QUEROPALCA,354,753,47.01
52,HUANUCO,QUISQUI,2413,5274,45.75
53,HUANUCO,QUIVILLA,660,1101,59.95
54,HUANUCO,RIPAN,2647,5413,48.9
55,HUANUCO,RONDOS,2270,4893,46.39
56,HUANUCO,RUPA-RUPA,37914,51633,73.43
57,HUANUCO,SAN BUENAVENTURA,1528,2289,66.75
58,HUANUCO,SAN FRANCISCO,1173,2175,53.93
59,HUANUCO,SAN FRANCISCO DE ASIS,902,2290,39.39
60,HUANUCO,SAN FRANCISCO DE CAYRAN,2124,5006,42.43
61,HUANUCO,SAN MIGUEL DE CAURI,2155,4883,44.13
62,HUANUCO,SAN PEDRO DE CHAULAN,1231,3832,32.12
63,HUANUCO,SAN RAFAEL,4071,9511,42.8
64,HUANUCO,SANTA MARIA DEL VALLE,7132,20388,34.98
65,HUANUCO,SHUNQUI,821,2006,40.93
66,HUANUCO,SILLAPATA,917,3119,29.4
67,HUANUCO,SINGA,1955,3070,63.68
68,HUANUCO,TANTAMAYO,1095,2074,52.8
69,HUANUCO,TOMAY KICHWA,2102,3711,56.64
70,HUANUCO,TOURNAVISTA,2729,5186,52.62
71,HUANUCO,UMARI,3564,10613,33.58
72,HUANUCO,YANAS,1017,2662,38.2
73,HUANUCO,YARUMAYO,1081,2694,40.13
74,HUANUCO,YUYAPICHIS,3212,5355,59.98
