,DEPARTAMENTO,DISTRITO,DOSIS2,POBLACION,INDICE
0,JUNIN,ACO,1172,1653,70.9
1,JUNIN,ACOBAMBA,8184,8813,92.86
2,JUNIN,ACOLLA,2966,6626,44.76
3,JUNIN,AHUAC,3259,6765,48.17
4,JUNIN,ANDAMARCA,1230,4735,25.98
5,JUNIN,APATA,2786,4585,60.76
6,JUNIN,ATAURA,592,1254,47.21
7,JUNIN,CANCHAYLLO,754,4452,16.94
8,JUNIN,CARHUACALLANGA,74,411,18.0
9,JUNIN,CARHUAMAYO,4381,4666,93.89
10,JUNIN,CHACAPALPA,532,826,64.41
11,JUNIN,CHACAPAMPA,646,1023,63.15
12,JUNIN,CHAMBARA,1747,2586,67.56
13,JUNIN,CHANCHAMAYO,27139,28248,96.07
14,JUNIN,CHICCHE,560,996,56.22
15,JUNIN,CHILCA,108315,84883,127.61
16,JUNIN,CHONGOS ALTO,1190,1376,86.48
17,JUNIN,CHONGOS BAJO,2793,4475,62.41
18,JUNIN,CHUPACA,24083,24555,98.08
19,JUNIN,CHUPURO,593,2260,26.24
20,JUNIN,COCHAS,603,1869,32.26
21,JUNIN,COLCA,774,1156,66.96
22,JUNIN,COMAS,3297,6157,53.55
23,JUNIN,CONCEPCION,18945,14656,129.26
24,JUNIN,COVIRIALI,2161,4127,52.36
25,JUNIN,CULLHUAS,915,2430,37.65
26,JUNIN,CURICACA,637,1277,49.88
27,JUNIN,EL MANTARO,1531,2434,62.9
28,JUNIN,EL TAMBO,150419,154888,97.11
29,JUNIN,HEROINAS TOLEDO,737,1234,59.72
30,JUNIN,HUACHAC,2832,2954,95.87
31,JUNIN,HUACRAPUQUIO,735,1395,52.69
32,JUNIN,HUALHUAS,1664,4762,34.94
33,JUNIN,HUAMALI,788,1614,48.82
34,JUNIN,HUAMANCACA CHICO,7060,5704,123.77
35,JUNIN,HUANCAN,2807,15757,17.81
36,JUNIN,HUANCAYO,149462,122724,121.79
37,JUNIN,HUARICOLCA,1237,2043,60.55
38,JUNIN,HUARIPAMPA,528,990,53.33
39,JUNIN,HUASAHUASI,7273,9151,79.48
40,JUNIN,HUASICANCHA,511,800,63.88
41,JUNIN,HUAY-HUAY,1743,1167,149.36
42,JUNIN,HUAYUCACHI,2891,9340,30.95
43,JUNIN,HUERTAS,848,2015,42.08
44,JUNIN,INGENIO,1345,2402,56.0
45,JUNIN,JANJAILLO,334,757,44.12
46,JUNIN,JAUJA,26442,14841,178.17
47,JUNIN,JULCAN,401,968,41.43
48,JUNIN,JUNIN,9115,9738,93.6
49,JUNIN,LA OROYA,10753,14786,72.72
50,JUNIN,LA UNION,1280,2911,43.97
51,JUNIN,LEONOR ORDOÑEZ,853,1506,56.64
52,JUNIN,LLAYLLA,895,3721,24.05
53,JUNIN,LLOCLLAPAMPA,778,1302,59.75
54,JUNIN,MANZANARES,1144,1469,77.88
55,JUNIN,MARCAPOMACOCHA,615,869,70.77
56,JUNIN,MARCO,856,1629,52.55
57,JUNIN,MARISCAL CASTILLA,465,1741,26.71
58,JUNIN,MASMA,1328,1881,70.6
59,JUNIN,MASMA CHICCHE,477,793,60.15
60,JUNIN,MATAHUASI,2449,4755,51.5
61,JUNIN,MAZAMARI,11140,20944,53.19
62,JUNIN,MITO,769,1287,59.75
63,JUNIN,MOLINOS,898,1713,52.42
64,JUNIN,MONOBAMBA,935,1328,70.41
65,JUNIN,MOROCOCHA,4159,3964,104.92
66,JUNIN,MUQUI,580,941,61.64
67,JUNIN,MUQUIYAUYO,1476,2163,68.24
68,JUNIN,NUEVE DE JULIO,1383,1724,80.22
69,JUNIN,ONDORES,568,1593,35.66
70,JUNIN,ORCOTUNA,2983,4148,71.91
71,JUNIN,PACA,513,1022,50.2
