,DEPARTAMENTO,DISTRITO,DOSIS3,POBLACION,INDICE
0,LAMBAYEQUE,CAYALTI,9333,14076,66.3
1,LAMBAYEQUE,CAÑARIS,806,12804,6.29
2,LAMBAYEQUE,CHICLAYO,282071,282222,99.95
3,LAMBAYEQUE,CHOCHOPE,517,1698,30.45
4,LAMBAYEQUE,CHONGOYAPE,7422,16708,44.42
5,LAMBAYEQUE,ETEN,9377,10631,88.2
6,LAMBAYEQUE,ETEN PUERTO,306,2344,13.05
7,LAMBAYEQUE,FERREÑAFE,6307,32583,19.36
8,LAMBAYEQUE,ILLIMO,4797,9074,52.87
9,LAMBAYEQUE,INCAHUASI,1597,14191,11.25
10,LAMBAYEQUE,JAYANCA,10322,15358,67.21
11,LAMBAYEQUE,JOSE LEONARDO ORTIZ,65013,159033,40.88
12,LAMBAYEQUE,LA VICTORIA,45911,79450,57.79
13,LAMBAYEQUE,LAGUNAS,2781,8467,32.85
14,LAMBAYEQUE,LAMBAYEQUE,45483,64401,70.62
15,LAMBAYEQUE,MOCHUMI,7042,17690,39.81
16,LAMBAYEQUE,MONSEFU,9149,32688,27.99
17,LAMBAYEQUE,MORROPE,10430,41204,25.31
18,LAMBAYEQUE,MOTUPE,14440,25146,57.42
19,LAMBAYEQUE,NUEVA ARICA,957,2326,41.14
20,LAMBAYEQUE,OLMOS,20520,40244,50.99
21,LAMBAYEQUE,OYOTUN,4103,6977,58.81
22,LAMBAYEQUE,PACORA,2268,6870,33.01
23,LAMBAYEQUE,PATAPO,10768,19147,56.24
24,LAMBAYEQUE,PICSI,854,7811,10.93
25,LAMBAYEQUE,PIMENTEL,17642,26343,66.97
26,LAMBAYEQUE,PITIPO,6741,17992,37.47
27,LAMBAYEQUE,POMALCA,6736,22640,29.75
28,LAMBAYEQUE,PUCALA,3801,7248,52.44
29,LAMBAYEQUE,PUEBLO NUEVO,34374,12131,283.36
30,LAMBAYEQUE,REQUE,7835,13448,58.26
31,LAMBAYEQUE,SALAS,4103,13549,30.28
32,LAMBAYEQUE,SAN JOSE,3632,13329,27.25
33,LAMBAYEQUE,SANTA ROSA,3057,10929,27.97
34,LAMBAYEQUE,SANTA ROSA,3057,10929,27.97
35,LAMBAYEQUE,SAÑA,6223,8312,74.87
36,LAMBAYEQUE,TUCUME,6480,21808,29.71
37,LAMBAYEQUE,TUMAN,9044,25397,35.61
