,DEPARTAMENTO,DISTRITO,DOSIS3,POBLACION,INDICE
0,LORETO,ALTO NANAY,1326,3765,35.22
1,LORETO,ALTO TAPICHE,194,1786,10.86
2,LORETO,ANDOAS,613,10472,5.85
3,LORETO,BALSAPUERTO,925,15494,5.97
4,LORETO,BARRANCA,4871,13763,35.39
5,LORETO,BELEN,36965,61068,60.53
6,LORETO,CAHUAPANAS,214,7574,2.83
7,LORETO,CAPELO,645,2979,21.65
8,LORETO,CONTAMANA,8018,22974,34.9
9,LORETO,EMILIO SAN MARTIN,734,6161,11.91
10,LORETO,FERNANDO LORES,3894,14773,26.36
11,LORETO,INAHUAYA,405,2687,15.07
12,LORETO,INDIANA,3695,11507,32.11
13,LORETO,IQUITOS,99013,141038,70.2
14,LORETO,JEBEROS,629,4216,14.92
15,LORETO,JENARO HERRERA,811,4303,18.85
16,LORETO,LAGUNAS,3459,12105,28.57
17,LORETO,LAS AMAZONAS,1356,9773,13.87
18,LORETO,MANSERICHE,807,8966,9.0
19,LORETO,MAQUIA,634,7364,8.61
20,LORETO,MAZAN,2546,13713,18.57
21,LORETO,MORONA,570,7841,7.27
22,LORETO,NAPO,2894,13664,21.18
23,LORETO,NAUTA,8972,29082,30.85
24,LORETO,PADRE MARQUEZ,674,5648,11.93
25,LORETO,PAMPA HERMOSA,364,5938,6.13
26,LORETO,PARINARI,1551,6182,25.09
27,LORETO,PASTAZA,536,7917,6.77
28,LORETO,PEBAS,2296,12884,17.82
29,LORETO,PUINAHUA,310,4865,6.37
30,LORETO,PUNCHANA,27998,77177,36.28
31,LORETO,PUTUMAYO,1917,3,63900.0
32,LORETO,RAMON CASTILLA,4772,20549,23.22
33,LORETO,REQUENA,8458,24134,35.05
34,LORETO,SAN JUAN BAUTISTA,49690,101097,49.15
35,LORETO,SAN PABLO,1113,14091,7.9
36,LORETO,SANTA CRUZ,349,4336,8.05
37,LORETO,SAQUENA,322,3467,9.29
38,LORETO,SARAYACU,925,12384,7.47
39,LORETO,SOPLIN,109,876,12.44
40,LORETO,TAPICHE,3,1152,0.26
41,LORETO,TENIENTE CESAR LOPEZ ROJAS,518,5896,8.79
42,LORETO,TORRES CAUSANA,668,5370,12.44
43,LORETO,TROMPETEROS,622,8314,7.48
44,LORETO,URARINAS,1505,12359,12.18
45,LORETO,VARGAS GUERRA,1913,8736,21.9
46,LORETO,YAQUERANA,254,2526,10.06
47,LORETO,YAVARI,1804,13813,13.06
48,LORETO,YURIMAGUAS,26908,71905,37.42
