,DEPARTAMENTO,DISTRITO,DOSIS3,POBLACION,INDICE
0,PIURA,AMOTAPE,1885,2105,89.55
1,PIURA,ARENAL,545,1148,47.47
2,PIURA,AYABACA,5800,32333,17.94
3,PIURA,BELLAVISTA,20061,37159,53.99
4,PIURA,BERNAL,3281,6264,52.38
5,PIURA,BUENOS AIRES,4666,8527,54.72
6,PIURA,CANCHAQUE,3023,7442,40.62
7,PIURA,CASTILLA,101624,131184,77.47
8,PIURA,CATACAOS,30515,64314,47.45
9,PIURA,CHALACO,2290,7484,30.6
10,PIURA,CHULUCANAS,40870,78650,51.96
11,PIURA,COLAN,8203,13070,62.76
12,PIURA,CRISTO NOS VALGA,1535,3768,40.74
13,PIURA,CURA MORI,3241,15737,20.59
14,PIURA,EL ALTO,5341,7445,71.74
15,PIURA,EL CARMEN DE LA FRONTERA,2214,11630,19.04
16,PIURA,EL TALLAN,1467,4773,30.74
17,PIURA,FRIAS,4112,20283,20.27
18,PIURA,HUANCABAMBA,8453,27012,31.29
19,PIURA,HUARMACA,3184,33695,9.45
20,PIURA,IGNACIO ESCUDERO,10006,17570,56.95
21,PIURA,JILILI,849,2684,31.63
22,PIURA,LA ARENA,11347,34028,33.35
23,PIURA,LA BREA,8164,11636,70.16
24,PIURA,LA HUACA,7588,10744,70.63
25,PIURA,LA MATANZA,6156,13694,44.95
26,PIURA,LA UNION,12840,34941,36.75
27,PIURA,LAGUNAS,382,6126,6.24
28,PIURA,LALAQUIZ,996,4477,22.25
29,PIURA,LANCONES,7581,12026,63.04
30,PIURA,LAS LOMAS,11958,27031,44.24
31,PIURA,LOBITOS,720,1289,55.86
32,PIURA,LOS ORGANOS,5503,8752,62.88
33,PIURA,MANCORA,7845,9527,82.34
34,PIURA,MARCAVELICA,12921,24872,51.95
35,PIURA,MIGUEL CHECA,5795,7498,77.29
36,PIURA,MONTERO,2305,6045,38.13
37,PIURA,MORROPON,5537,11790,46.96
38,PIURA,PACAIPAMPA,1375,20991,6.55
39,PIURA,PAIMAS,3613,9003,40.13
40,PIURA,PAITA,47798,72073,66.32
41,PIURA,PARIÑAS,53345,86077,61.97
42,PIURA,PIURA,74056,172220,43.0
43,PIURA,QUERECOTILLO,14611,22948,63.67
44,PIURA,RINCONADA LLICUAR,1750,2939,59.54
45,PIURA,SALITRAL,7194,8011,89.8
46,PIURA,SALITRAL,7194,6105,117.84
47,PIURA,SAN JUAN DE BIGOTE,2318,6715,34.52
48,PIURA,SAN MIGUEL DE EL FAIQUE,2642,8667,30.48
49,PIURA,SANTA CATALINA DE MOSSA,1740,3512,49.54
50,PIURA,SANTO DOMINGO,2847,6743,42.22
51,PIURA,SAPILLICA,2920,10296,28.36
52,PIURA,SECHURA,18470,34921,52.89
53,PIURA,SICCHEZ,633,2294,27.59
54,PIURA,SONDOR,1168,6840,17.08
55,PIURA,SONDORILLO,1199,9629,12.45
56,PIURA,SULLANA,102197,155756,65.61
57,PIURA,SUYO,3765,11213,33.58
58,PIURA,TAMARINDO,3330,4350,76.55
59,PIURA,TAMBO GRANDE,46750,91574,51.05
60,PIURA,VICE,6581,14207,46.32
61,PIURA,VICHAYAL,3416,4645,73.54
62,PIURA,YAMANGO,1948,8737,22.3
