,DEPARTAMENTO,DISTRITO,DOSIS3,POBLACION,INDICE
0,PUNO,ACHAYA,11,3819,0.29
1,PUNO,ACORA,4477,20762,21.56
2,PUNO,AJOYANI,467,2227,20.97
3,PUNO,ALTO INAMBARI,492,5792,8.49
4,PUNO,AMANTANI,429,4574,9.38
5,PUNO,ANANEA,1484,4178,35.52
6,PUNO,ANAPIA,128,1083,11.82
7,PUNO,ANTAUTA,1900,5156,36.85
8,PUNO,ARAPA,1007,7345,13.71
9,PUNO,ASILLO,1545,14400,10.73
10,PUNO,ATUNCOLLA,793,4693,16.9
11,PUNO,AYAPATA,725,5445,13.31
12,PUNO,AYAVIRI,6854,22621,30.3
13,PUNO,AZANGARO,7004,28903,24.23
14,PUNO,CABANILLA,1528,5377,28.42
15,PUNO,CABANILLAS,10,4385,0.23
16,PUNO,CAPACHICA,2267,8931,25.38
17,PUNO,CAPAZO,280,713,39.27
18,PUNO,CHUCUITO,1485,7391,20.09
19,PUNO,CHUPA,882,6954,12.68
20,PUNO,COASA,196,5886,3.33
21,PUNO,COATA,877,7016,12.5
22,PUNO,COJATA,598,4225,14.15
23,PUNO,CONDURIRI,241,2631,9.16
24,PUNO,CONIMA,743,3429,21.67
25,PUNO,COPANI,362,4680,7.74
26,PUNO,CORANI,571,3803,15.01
27,PUNO,CRUCERO,1126,7356,15.31
28,PUNO,CUPI,343,1827,18.77
29,PUNO,CUTURAPI,138,1067,12.93
30,PUNO,CUYOCUYO,487,5648,8.62
31,PUNO,DESAGUADERO,3339,10105,33.04
32,PUNO,HUACULLANI,1110,4211,26.36
33,PUNO,HUANCANE,10085,19708,51.17
34,PUNO,HUATA,692,3180,21.76
35,PUNO,HUATASANI,527,2513,20.97
36,PUNO,HUAYRAPATA,402,3332,12.06
37,PUNO,ILAVE,13628,43493,31.33
38,PUNO,INCHUPALLA,430,3086,13.93
39,PUNO,ITUATA,376,4990,7.54
40,PUNO,JOSE DOMINGO CHOQUEHUANCA,1272,4063,31.31
41,PUNO,JULI,5871,19857,29.57
42,PUNO,JULIACA,114373,213592,53.55
43,PUNO,KELLUYO,546,4471,12.21
44,PUNO,LAMPA,5322,11308,47.06
45,PUNO,LIMBANI,331,2623,12.62
46,PUNO,LLALLI,424,2714,15.62
47,PUNO,MACARI,515,6462,7.97
48,PUNO,MACUSANI,7797,11419,68.28
49,PUNO,MAÑAZO,1622,4953,32.75
50,PUNO,MOHO,2986,14390,20.75
51,PUNO,MUÑANI,978,6051,16.16
52,PUNO,NUÑOA,1512,8322,18.17
53,PUNO,OCUVIRI,194,2172,8.93
54,PUNO,OLLACHEA,1307,5130,25.48
55,PUNO,OLLARAYA,260,2217,11.73
56,PUNO,ORURILLO,717,7609,9.42
57,PUNO,PALCA,512,1863,27.48
58,PUNO,PARATIA,380,2220,17.12
59,PUNO,PATAMBUCO,180,4475,4.02
60,PUNO,PAUCARCOLLA,914,4604,19.85
61,PUNO,PEDRO VILCA APAZA,390,1922,20.29
62,PUNO,PHARA,406,4541,8.94
63,PUNO,PICHACANI,1262,5806,21.74
64,PUNO,PILCUYO,1721,9999,17.21
65,PUNO,PISACOMA,334,2360,14.15
66,PUNO,PLATERIA,1826,6853,26.65
67,PUNO,POMATA,3057,13392,22.83
68,PUNO,POTONI,394,3494,11.28
69,PUNO,PUCARA,1017,5440,18.69
70,PUNO,PUNO,68078,118815,57.3
71,PUNO,PUTINA,2955,14116,20.93
72,PUNO,QUIACA,91,2171,4.19
73,PUNO,QUILCAPUNCU,577,4777,12.08
74,PUNO,ROSASPATA,1030,5183,19.87
75,PUNO,SAN ANTON,1389,6974,19.92
76,PUNO,SAN ANTONIO,279,1323,21.09
77,PUNO,SAN GABAN,2165,6291,34.41
78,PUNO,SAN JOSE,355,4778,7.43
79,PUNO,SAN JUAN DE SALINAS,317,3453,9.18
80,PUNO,SAN JUAN DEL ORO,760,3697,20.56
81,PUNO,SAN MIGUEL,641,23761,2.7
82,PUNO,SANDIA,4294,10771,39.87
83,PUNO,SANTA LUCIA,2396,6473,37.02
84,PUNO,SANTA ROSA,1821,3235,56.29
85,PUNO,SANTA ROSA,1821,5538,32.88
86,PUNO,SANTIAGO DE PUPUJA,647,4532,14.28
87,PUNO,SINA,348,1527,22.79
88,PUNO,TARACO,30,12872,0.23
89,PUNO,TILALI,395,2772,14.25
90,PUNO,TINICACHI,159,642,24.77
91,PUNO,TIQUILLACA,409,2425,16.87
92,PUNO,TIRAPATA,191,2703,7.07
93,PUNO,UMACHIRI,505,3248,15.55
94,PUNO,UNICACHI,115,1072,10.73
95,PUNO,USICAYOS,460,2981,15.43
96,PUNO,VILAVILA,195,998,19.54
97,PUNO,VILQUE,580,2775,20.9
98,PUNO,VILQUE CHICO,1572,9265,16.97
99,PUNO,YANAHUAYA,206,2031,10.14
100,PUNO,YUNGUYO,6496,23751,27.35
101,PUNO,ZEPITA,2179,14762,14.76
