,DEPARTAMENTO,DISTRITO,DOSIS2,POBLACION,INDICE
0,UCAYALI,CAMPOVERDE,7107,15986,44.46
1,UCAYALI,CURIMANA,2790,9405,29.67
2,UCAYALI,IPARIA,1689,12588,13.42
3,UCAYALI,IRAZOLA,3931,12627,31.13
4,UCAYALI,MASISEA,3147,13031,24.15
5,UCAYALI,NUEVA REQUENA,3572,6270,56.97
6,UCAYALI,PADRE ABAD,12178,29131,41.8
7,UCAYALI,PURUS,1053,3793,27.76
8,UCAYALI,RAYMONDI,10112,33044,30.6
9,UCAYALI,SEPAHUA,2357,6246,37.74
10,UCAYALI,TAHUANIA,1241,9055,13.71
11,UCAYALI,YARINACOCHA,20974,92639,22.64
12,UCAYALI,YURUA,206,1883,10.94
