,FECHA_CORTE,FECHA_VACUNACION,DOSIS,TOTAL,ACUMULADO
0,20210419,20210209,1,3844,3844
1,20210419,20210210,1,16585,20429
2,20210419,20210211,1,33852,54281
3,20210419,20210212,1,32358,86639
4,20210419,20210213,1,18924,105563
5,20210419,20210214,1,5194,110757
6,20210419,20210215,1,11591,122348
7,20210419,20210216,1,7359,129707
8,20210419,20210217,1,3816,133523
9,20210419,20210218,1,6935,140458
10,20210419,20210219,1,29497,169955
11,20210419,20210220,1,25708,195663
12,20210419,20210221,1,4372,200035
13,20210419,20210222,1,27940,227975
14,20210419,20210223,1,26586,254561
15,20210419,20210224,1,22209,276770
16,20210419,20210225,1,15472,292242
17,20210419,20210226,1,15561,307803
18,20210419,20210227,1,6845,314648
19,20210419,20210228,1,1009,315657
20,20210419,20210301,1,9114,324771
21,20210419,20210302,1,6763,331534
22,20210419,20210303,1,6460,337994
23,20210419,20210304,1,3752,341746
24,20210419,20210305,1,4653,346399
25,20210419,20210306,1,2824,349223
26,20210419,20210307,1,139,349362
27,20210419,20210308,1,16275,365637
28,20210419,20210309,1,18703,384340
29,20210419,20210310,1,12261,396601
30,20210419,20210311,1,8296,404897
31,20210419,20210312,1,8745,413642
32,20210419,20210313,1,6125,419767
33,20210419,20210314,1,609,420376
34,20210419,20210315,1,15208,435584
35,20210419,20210316,1,18599,454183
36,20210419,20210317,1,19614,473797
37,20210419,20210318,1,25874,499671
38,20210419,20210319,1,25339,525010
39,20210419,20210320,1,17935,542945
40,20210419,20210321,1,665,543610
41,20210419,20210322,1,8203,551813
42,20210419,20210323,1,11554,563367
43,20210419,20210324,1,12358,575725
44,20210419,20210325,1,11316,587041
45,20210419,20210326,1,14702,601743
46,20210419,20210327,1,11161,612904
47,20210419,20210328,1,2067,614971
48,20210419,20210329,1,4284,619255
49,20210419,20210330,1,4141,623396
50,20210419,20210331,1,5762,629158
51,20210419,20210401,1,1770,630928
52,20210419,20210402,1,919,631847
53,20210419,20210403,1,2362,634209
54,20210419,20210404,1,222,634431
55,20210419,20210405,1,4402,638833
56,20210419,20210406,1,9264,648097
57,20210419,20210407,1,10134,658231
58,20210419,20210408,1,11012,669243
59,20210419,20210409,1,11642,680885
60,20210419,20210410,1,3426,684311
61,20210419,20210411,1,39,684350
62,20210419,20210412,1,838,685188
63,20210419,20210413,1,983,686171
64,20210419,20210414,1,561,686732
65,20210419,20210415,1,217,686949
66,20210419,20210416,1,13454,700403
67,20210419,20210417,1,21625,722028
68,20210419,20210418,1,20527,742555
69,20210419,20210419,1,3979,746534
