FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3,DOSIS4
2022-01-01,11586,5585,14770,7
2022-01-02,13944,31103,76532,5
2022-01-03,30445,73376,150267,1
2022-01-04,29149,78915,170680,4
2022-01-05,32284,80458,208779,1
2022-01-06,30658,77279,216643,4
2022-01-07,29294,76532,218895,5
2022-01-08,26503,72103,240626,4
2022-01-09,17160,47009,141406,0
2022-01-10,29134,70497,183268,7
2022-01-11,25231,63151,176038,2
2022-01-12,24819,60525,161831,2
2022-01-13,23403,56363,171272,4
2022-01-14,21863,49722,162253,5
2022-01-15,18346,38941,171038,3
2022-01-16,11253,26294,95704,0
2022-01-17,20291,43146,123104,6
2022-01-18,16706,38596,115594,3
2022-01-19,17062,37748,111386,4
2022-01-20,15817,35123,97881,4
2022-01-21,14396,32062,96095,7
2022-01-22,13436,31705,109046,1
2022-01-23,10264,25202,83651,8
2022-01-24,54033,32388,89313,2
2022-01-25,57134,30336,89952,4
2022-01-26,74485,30491,84455,5
2022-01-27,87866,29354,84107,2
2022-01-28,96703,27982,82604,3
2022-01-29,150275,25905,100530,3
2022-01-30,113335,18281,80452,2
2022-01-31,118223,27598,94830,4
2022-02-01,111991,26670,100739,4
2022-02-02,95748,26795,98329,4
2022-02-03,106653,26288,98255,5
2022-02-04,112303,25996,100152,3
2022-02-05,110874,25019,117902,5
2022-02-06,63858,16221,76381,7
2022-02-07,92604,26014,98825,2
2022-02-08,88960,25029,103319,4
2022-02-09,85260,23888,104365,6
2022-02-10,78431,24300,101613,4
2022-02-11,90442,24366,102448,3
2022-02-12,74703,21002,104983,6
2022-02-13,43864,13250,66180,4
2022-02-14,50675,35563,68650,5
2022-02-15,56103,42179,89385,5
2022-02-16,60605,49900,92480,7
2022-02-17,55527,57999,92087,3
2022-02-18,54707,70862,95159,4
2022-02-19,55107,90079,102999,9
2022-02-20,40906,64576,75968,5
2022-02-21,51909,84818,90590,5
2022-02-22,51420,94007,93645,4
2022-02-23,46517,79682,93754,5
2022-02-24,45112,84953,83512,5
2022-02-25,45544,95609,81346,7
2022-02-26,41137,84226,83729,11
2022-02-27,29636,55195,58862,6
2022-02-28,46140,82388,81689,13
2022-03-01,41952,63921,71701,9
2022-03-02,42524,66180,72550,9
2022-03-03,41567,67597,69659,6
2022-03-04,43072,77813,69058,6
2022-03-05,47879,79717,77973,12
2022-03-06,29302,43715,51697,3
2022-03-07,37672,56295,65192,6
2022-03-08,33082,52902,55847,4
2022-03-09,36015,55403,61326,8
2022-03-10,39650,54361,63470,10
2022-03-11,47686,58070,60463,2
2022-03-12,49255,65941,78438,6
2022-03-13,28493,43783,59462,4
2022-03-14,30096,39693,59504,6
2022-03-15,25736,39587,64144,9
2022-03-16,23572,38436,64616,10
2022-03-17,22082,37226,63571,13
2022-03-18,29831,43617,64352,17
2022-03-19,29603,56207,75403,13
2022-03-20,20368,36641,59408,7
2022-03-21,18969,32436,58322,17
2022-03-22,18934,34766,68543,7
2022-03-23,18611,34181,67967,8
2022-03-24,17750,33018,83594,10
2022-03-25,20986,38796,94277,20
2022-03-26,27515,60740,138379,16
2022-03-27,20117,40255,125662,9
2022-03-28,14966,29092,111619,8
2022-03-29,15403,28146,113586,8
2022-03-30,14046,27422,120733,14
2022-03-31,12560,27605,131167,58
2022-04-01,17499,31741,148090,90
2022-04-02,19623,47995,175571,1461
2022-04-03,16400,35012,160424,1474
2022-04-04,9698,20368,107769,2078
2022-04-05,8546,16718,65072,725
2022-04-06,13033,26813,129850,3156
2022-04-07,13412,27020,120889,4821
2022-04-08,15937,31676,119103,4975
2022-04-09,17392,41416,130226,5836
2022-04-10,12980,29621,110958,2942
2022-04-11,11862,24389,109491,10298
2022-04-12,12833,25271,111475,10496
2022-04-13,14672,27374,112434,13714
2022-04-14,8205,16827,62871,2715
2022-04-15,4881,10745,40263,1759
2022-04-16,10518,26503,97550,5314
2022-04-17,8402,19132,67114,2592
2022-04-18,10257,22657,95220,12866
2022-04-19,11254,23753,92672,13090
2022-04-20,12193,24235,91164,13863
2022-04-21,12350,25127,90799,13876
2022-04-22,16508,33763,97858,13938
2022-04-23,17717,38239,113770,8721
2022-04-24,14079,30034,94283,5086
2022-04-25,13588,25059,95040,8238
2022-04-26,15291,26628,95411,10004
2022-04-27,15430,27336,91751,11467
2022-04-28,14997,26670,88419,11637
2022-04-29,16855,29882,88526,12974
2022-04-30,14039,29063,100040,13455
2022-05-01,3980,5453,27239,4178
2022-05-02,5193,9455,54476,10274
2022-05-03,5692,10282,66229,12118
2022-05-04,5832,11081,64877,12167
2022-05-05,5773,10478,63493,12652
2022-05-06,5465,9547,54955,17318
2022-05-07,4472,9365,50002,17327
2022-05-08,1031,1951,10551,3272
2022-05-09,4794,8902,52732,24314
2022-05-10,5338,10221,56762,30494
2022-05-11,5408,10434,55461,28320
2022-05-12,5825,11533,54556,25706
2022-05-13,6344,13041,55683,25206
2022-05-14,6303,14466,58397,27411
2022-05-15,3718,9037,39399,16437
2022-05-16,5122,11139,51684,23403
2022-05-17,5592,12311,52582,25789
2022-05-18,5617,12429,51675,27393
2022-05-19,5940,12550,50026,25601
2022-05-20,6743,14655,53105,26626
2022-05-21,6915,16086,57032,33604
2022-05-22,4607,11222,41061,22997
2022-05-23,5769,11851,48549,30475
2022-05-24,5825,12453,50190,31704
2022-05-25,6196,12936,49678,31059
2022-05-26,6332,13145,49591,28206
2022-05-27,7238,14598,51299,30412
2022-05-28,7491,15465,53438,36782
2022-05-29,4903,9969,39760,27889
2022-05-30,5541,10601,45990,29495
2022-05-31,5226,10419,43882,26729
2022-06-01,4903,7920,36293,23224
2022-06-02,4513,8466,36897,26166
2022-06-03,5078,9556,37943,27914
2022-06-04,5354,10766,41468,33455
2022-06-05,3677,6877,28036,22311
2022-06-06,4530,8657,37366,27875
2022-06-07,4794,8938,36664,29711
2022-06-08,5231,9721,38929,30964
2022-06-09,5199,9418,38580,31482
2022-06-10,5707,10109,39326,31742
2022-06-11,5652,11017,40799,35719
2022-06-12,4162,7852,29876,26620
2022-06-13,3293,6177,24313,18339
2022-06-14,4928,8997,35983,30087
2022-06-15,4818,8994,35910,32951
2022-06-16,4851,8700,35209,39260
2022-06-17,4802,8904,33069,38871
2022-06-18,4453,8881,31406,38402
2022-06-19,1652,3349,11477,13922
2022-06-20,4262,7844,32228,37957
2022-06-21,4661,8610,33127,44999
2022-06-22,4632,9245,33924,48865
2022-06-23,4245,7845,31718,46009
2022-06-24,3699,7206,27613,45041
2022-06-25,4620,9323,33171,56132
2022-06-26,3452,6794,25324,43278
2022-06-27,4058,7696,30739,54266
2022-06-28,4792,8910,34393,61904
2022-06-29,3354,6425,23365,40772
2022-06-30,4125,7579,32298,50218
2022-07-01,3523,5706,24660,40271
2022-07-02,4076,7363,30223,50966
2022-07-03,2344,4310,18224,31159
2022-07-04,2733,4918,23751,35989
2022-07-05,3427,6014,27511,45587
2022-07-06,3890,6915,30525,45772
2022-07-07,3765,6872,29322,46767
2022-07-08,5034,8578,33401,49625
2022-07-09,5682,10030,39592,62685
2022-07-10,3857,6703,27129,42033
2022-07-11,4476,7577,33651,47292
2022-07-12,5085,8541,36676,55971
2022-07-13,5485,9317,38846,54608
2022-07-14,5730,9288,37909,64875
2022-07-15,7092,10840,41510,69172
2022-07-16,7183,10944,41774,78433
2022-07-17,4228,6905,28423,55702
2022-07-18,5323,8661,36099,61464
2022-07-19,5919,9148,36880,65304
2022-07-20,6110,9980,38885,64084
2022-07-21,6486,10265,39047,61790
2022-07-22,6870,10745,39762,60848
2022-07-23,6143,9569,37665,67576
2022-07-24,4025,6584,26208,47039
2022-07-25,4973,7566,32698,50309
2022-07-26,5098,7949,33734,52746
2022-07-27,4526,7331,34195,46210
2022-07-28,2487,3905,17578,23581
2022-07-29,2377,3798,17095,21737
2022-07-30,3627,6220,29468,39953
2022-07-31,2388,4156,19734,25707
2022-08-01,3108,4158,23698,26275
2022-08-02,3026,4610,26974,30310
2022-08-03,3575,5353,29668,33785
2022-08-04,3462,5528,30106,33569
2022-08-05,3646,5974,32644,35420
2022-08-06,3226,5394,29492,33306
2022-08-07,2385,4049,19919,23493
2022-08-08,3541,5802,26859,33069
2022-08-09,4031,6178,28399,36109
2022-08-10,4018,6291,30547,36456
2022-08-11,3988,6615,31319,38237
2022-08-12,5037,7853,37925,37953
2022-08-13,5125,7850,42153,40663
2022-08-14,3181,5208,26130,26798
2022-08-15,3933,6285,30230,33596
2022-08-16,4572,7526,34477,38554
2022-08-17,4926,7687,35856,38779
2022-08-18,4841,7802,36337,39380
2022-08-19,5077,8455,41719,38168
2022-08-20,5031,7704,40760,41273
2022-08-21,3449,5410,25608,27747
2022-08-22,4363,7297,33329,33796
2022-08-23,4588,7676,34837,36181
2022-08-24,4400,6983,33330,35231
2022-08-25,4201,6790,33507,32196
2022-08-26,4729,7547,38223,32789
2022-08-27,4133,6610,35480,34719
2022-08-28,2588,4379,21780,23288
2022-08-29,2771,4579,23092,23778
2022-08-30,1401,2417,11420,11179
2022-08-31,2855,4852,24774,23554
2022-09-01,2002,3166,15853,16012
2022-09-02,2516,4004,20105,17410
2022-09-03,2239,3709,20318,19447
2022-09-04,1171,2078,9701,10833
2022-09-05,2167,3426,17582,17009
2022-09-06,2112,3621,17834,18280
2022-09-07,2375,3986,18599,19143
2022-09-08,2395,4016,18817,17053
2022-09-09,2905,4774,23783,19057
2022-09-10,2484,3946,21150,21746
2022-09-11,1380,2438,11019,14041
2022-09-12,2152,3716,17172,20780
2022-09-13,2425,4109,19335,21942
2022-09-14,2342,4172,19276,21451
2022-09-15,2443,4316,19200,21486
2022-09-16,2587,4406,22076,22664
2022-09-17,2169,3691,18616,23710
2022-09-18,1290,2156,9439,12978
2022-09-19,2127,3706,16519,20133
2022-09-20,2115,3719,17176,19724
2022-09-21,2171,3641,15838,18958
2022-09-22,1959,3486,16243,18690
2022-09-23,2214,3689,17512,21992
2022-09-24,2258,4014,20024,25246
2022-09-25,2325,3194,15865,22784
2022-09-26,2076,3025,13745,16718
2022-09-27,2259,3467,15190,17019
2022-09-28,2265,3271,14307,15952
2022-09-29,2082,3243,13576,15926
2022-09-30,1930,2762,12684,14629
2022-10-01,1294,1122,6521,11782
2022-10-02,258,372,1725,4098
2022-10-03,1115,911,4700,9481
2022-10-04,1222,1158,5517,10550
2022-10-05,1525,1126,5324,10138
2022-10-06,1846,1239,6202,10280
2022-10-07,2221,1415,6957,10120
2022-10-08,1341,812,3668,6731
2022-10-09,873,568,2986,5488
2022-10-10,2982,1413,7692,11904
2022-10-11,3198,1359,7436,11568
2022-10-12,3319,1347,6885,10889
2022-10-13,3019,1263,6625,11775
2022-10-14,3672,1510,7391,11752
2022-10-15,3224,1283,6637,11357
2022-10-16,1158,646,2587,5624
2022-10-17,3798,1349,6096,11598
2022-10-18,3872,1298,5976,10507
2022-10-19,4321,1405,6365,10754
2022-10-20,4336,1349,6195,10369
2022-10-21,5112,1754,7716,11034
2022-10-22,4271,1332,6383,10019
2022-10-23,1449,623,2941,5335
2022-10-24,4207,1226,5450,8890
2022-10-25,3573,1273,5899,11029
2022-10-26,3747,1188,5791,8939
2022-10-27,2663,1113,4957,8439
2022-10-28,3714,1279,5528,8849
2022-10-29,2477,962,4333,6569
2022-10-30,1123,505,2337,4257
