DEPARTAMENTO,DOSIS1_x,DOSIS2_x,DOSIS3_x,DOSIS4_x,POBLACION_x,INDICE2,DOSIS1_y,DOSIS2_y,DOSIS3_y,DOSIS4_y,POBLACION_y,INDICE3
AMAZONAS,294858,274076,200844,39160,381935,71760,42553,41124,34181,14640,54524,62690
ANCASH,951076,935580,813538,238767,1043294,89676,157112,155803,147416,86131,186422,79077
APURIMAC,367022,347568,261532,41942,385220,90226,56965,55563,47633,18124,64410,73953
AREQUIPA,1226149,1176609,917848,142339,1312448,89650,193768,190533,170652,64486,223909,76215
AYACUCHO,501880,461002,301967,39427,571423,80676,76135,73183,56706,16749,90929,62363
CAJAMARCA,1111166,1051429,701309,97406,1325736,79309,168805,164288,125890,35038,213109,59073
CALLAO,915594,903776,799450,229556,955873,94550,149873,145195,140421,97135,161120,87153
CUSCO,1060019,1002548,727468,104421,1214687,82536,154060,150159,122885,42043,181937,67543
HUANCAVELICA,272163,250242,160746,22161,362867,68962,46400,44628,33941,10149,59476,57067
HUANUCO,596984,558257,427038,75494,711285,78486,85014,81784,68563,24982,104925,65345
ICA,788968,771145,688324,193160,768555,100337,110370,109608,108212,68507,124673,86797
JUNIN,1058569,1016077,801273,145837,1167696,87016,152122,149800,137708,59118,185322,74307
LA LIBERTAD,1571215,1523428,1229029,245909,1695977,89826,238046,234950,213177,104349,279440,76287
LAMBAYEQUE,1031947,1003545,831050,166595,1150472,87229,168133,166465,151254,73974,198682,76129
LIMA,9345270,9093877,7698150,1872610,9501334,95712,1450563,1434448,1384754,780565,1643835,84239
LORETO,705563,641662,459253,92165,902747,71079,88783,83976,69864,29902,118323,59045
MADRE DE DIOS,142001,122705,76680,10586,143868,85290,11778,11094,8521,2682,14608,58331
MOQUEGUA,161977,157410,131157,22903,170284,92440,25742,25288,22815,9964,30213,75514
PASCO,206859,199882,154448,32498,245243,81504,26175,25820,22364,10506,34196,65399
PIURA,1544769,1494359,1194846,218749,1685936,88637,226514,223077,199317,87634,269868,73857
PUNO,896158,816985,507777,38467,1076258,75910,145960,137848,96654,13750,179319,53901
SAN MARTIN,659152,620216,436658,78121,784828,79026,87357,85370,71375,28645,107269,66538
TACNA,290124,274683,202289,34243,325369,84422,39628,39062,33318,12625,47369,70337
TUMBES,204626,190004,153037,29834,201573,94261,26281,25783,23477,10465,30215,77700
UCAYALI,436021,400140,288580,43624,494500,80918,49429,47129,38532,13922,60554,63632
