,PROVINCIA,DOSIS1,DOSIS2,DOSIS3,POBLACION,INDICE
0,ABANCAY,120884,113296,72403,96323,75.17
1,ACOBAMBA,27647,22956,9513,40278,23.62
2,ACOMAYO,18346,16763,8251,23121,35.69
3,AIJA,5404,5133,3756,6904,54.4
4,ALTO AMAZONAS,110668,92079,37795,113952,33.17
5,AMBO,42426,37404,19625,50517,38.85
6,ANDAHUAYLAS,142390,126322,73000,135157,54.01
7,ANGARAES,40465,34298,15027,46216,32.51
8,ANTA,47113,43373,25961,55863,46.47
9,ANTABAMBA,10866,9664,4576,11325,40.41
10,ANTONIO RAYMONDI,11778,11255,6961,13142,52.97
11,AREQUIPA,1038434,975734,665293,1010463,65.84
12,ASCOPE,106763,102973,73642,107981,68.2
13,ASUNCION,6897,6780,5169,7057,73.25
14,ATALAYA,34939,26826,10400,50228,20.71
15,AYABACA,92009,81389,33094,121268,27.29
16,AYMARAES,23501,21994,13335,25329,52.65
17,AZANGARO,69355,57292,18402,113316,16.24
18,BAGUA,53790,45816,23263,76437,30.43
19,BARRANCA,159993,154853,112636,133550,84.34
20,BELLAVISTA,51661,46906,22547,51058,44.16
21,BOLIVAR,12717,11249,5236,14173,36.94
22,BOLOGNESI,20065,19451,12381,21623,57.26
23,BONGARA,23102,22150,13418,24429,54.93
24,CAJABAMBA,73868,67668,35910,69711,51.51
25,CAJAMARCA,337099,317853,186095,319399,58.26
26,CAJATAMBO,6428,6094,3647,6615,55.13
27,CALCA,55158,48870,23096,63468,36.39
28,CALLAO,1028981,994966,737036,937313,78.63
29,CAMANA,67311,62203,46591,55061,84.62
30,CANAS,22800,19555,7255,35186,20.62
31,CANCHIS,84021,75878,36317,92822,39.13
32,CANDARAVE,2304,2134,1440,6927,20.79
33,CANGALLO,21463,17858,6214,30408,20.44
34,CANTA,12835,12220,8471,12834,66.0
35,CARABAYA,47628,39272,16872,55528,30.38
36,CARAVELI,46904,40431,24348,30272,80.43
37,CARHUAZ,36163,33369,16302,44235,36.85
38,CASMA,50820,48711,33508,43295,77.39
39,CASTILLA,32005,30192,18649,30086,61.99
40,CASTROVIRREYNA,13032,11900,6347,17319,36.65
41,CAYLLOMA,75692,65853,30391,87395,34.77
42,CAÑETE,239456,229297,170432,206932,82.36
43,CELENDIN,68692,60496,23975,80246,29.88
44,CHACHAPOYAS,61746,59322,44419,47370,93.77
45,CHANCHAMAYO,153047,137667,73238,148541,49.3
46,CHEPEN,81607,76471,49404,76314,64.74
47,CHICLAYO,795119,761801,527797,762197,69.25
48,CHINCHA,231880,217054,156615,199187,78.63
49,CHINCHEROS,41959,38463,18997,43364,43.81
50,CHOTA,131822,119569,51427,141787,36.27
51,CHUCUITO,54801,46016,18623,69158,26.93
52,CHUMBIVILCAS,57491,46668,15354,68148,22.53
53,CHUPACA,59772,57060,32460,55679,58.3
54,CHURCAMPA,28762,25990,12867,33089,38.89
55,CONDESUYOS,15875,13740,6236,14112,44.19
56,CONDORCANQUI,22882,16250,4378,52246,8.38
57,CONTRALMIRANTE VILLAR,20976,18769,12291,17944,68.5
58,CONTUMAZA,24761,23066,13964,24900,56.08
59,CORONEL PORTILLO,393205,350459,199879,364852,54.78
60,CORONGO,6690,6427,4550,6586,69.09
61,COTABAMBAS,49186,42387,18589,44916,41.39
62,CUSCO,483423,461013,306725,402178,76.27
63,CUTERVO,108207,101064,44642,116602,38.29
64,DATEM DEL MARAÑON,31406,24149,8672,56533,15.34
65,DOS DE MAYO,25966,22933,12388,34292,36.13
66,EL COLLAO,53183,44577,19678,60071,32.76
67,EL DORADO,31487,29060,14330,35071,40.86
68,ESPINAR,44334,37107,15336,55175,27.8
69,FERREÑAFE,84785,77287,53488,93488,57.21
70,GENERAL SANCHEZ CERRO,12735,11939,7106,14362,49.48
71,GRAN CHIMU,23996,22575,14447,25874,55.84
72,GRAU,19867,18307,10611,21830,48.61
73,HUACAYBAMBA,14178,13402,7513,15549,48.32
74,HUALGAYOC,71277,65959,29214,83310,35.07
75,HUALLAGA,23758,21636,11411,26423,43.19
76,HUAMALIES,45987,42027,22402,52439,42.72
77,HUAMANGA,248175,218907,105163,248286,42.36
78,HUANCA SANCOS,7218,6439,2666,8917,29.9
79,HUANCABAMBA,80134,74384,28712,109392,26.25
80,HUANCANE,36864,33454,17377,61650,28.19
81,HUANCAVELICA,100570,90575,42847,112603,38.05
82,HUANCAYO,553034,525071,351204,505798,69.44
83,HUANTA,85842,74635,33968,84668,40.12
84,HUANUCO,282143,256107,161836,262909,61.56
85,HUARAL,190934,183605,134504,171712,78.33
86,HUARAZ,190429,187581,136886,145916,93.81
87,HUARI,61525,59573,45172,68588,65.86
88,HUARMEY,31925,31448,23644,27166,87.04
89,HUAROCHIRI,92366,83994,51840,96996,53.45
90,HUAURA,235969,226140,158901,200994,79.06
91,HUAYLAS,54794,53077,36401,50258,72.43
92,HUAYTARA,16147,14829,8349,20763,40.21
93,ICA,427279,409511,308651,343027,89.98
94,ILO,72585,67977,48422,71783,67.46
95,ISLAY,49197,47086,34601,50989,67.86
96,JAEN,177534,159141,72740,185669,39.18
97,JAUJA,75689,73500,52540,79449,66.13
98,JORGE BASADRE,15420,8992,4266,10049,42.45
99,JULCAN,24118,21951,11159,30209,36.94
100,JUNIN,21326,20718,14148,20600,68.68
101,LA CONVENCION,165341,148541,79768,176874,45.1
102,LA MAR,62953,52774,20302,69431,29.24
103,LAMAS,69069,63398,32189,77940,41.3
104,LAMBAYEQUE,290779,259171,141050,270434,52.16
105,LAMPA,34956,29902,12747,40641,31.36
106,LAURICOCHA,14652,13216,6482,21768,29.78
107,LEONCIO PRADO,108172,97651,52939,119145,44.43
108,LIMA,9406451,8921566,6359183,8472439,75.06
109,LORETO,51865,37667,14740,63789,23.11
110,LUCANAS,46004,41668,22166,41497,53.42
111,LUYA,38890,36527,22477,41701,53.9
112,MANU,20112,15970,4095,15930,25.71
113,MARAÑON,23541,20471,9132,25491,35.82
114,MARISCAL CACERES,57398,50376,24112,58511,41.21
115,MARISCAL LUZURIAGA,17342,16991,12297,19657,62.56
116,MARISCAL NIETO,90225,85550,62091,81422,76.26
117,MAYNAS,483778,439595,249341,452948,55.05
118,MELGAR,50920,43328,15191,63497,23.92
119,MOHO,15935,12680,5457,23923,22.81
120,MORROPON,155373,145541,82424,153863,53.57
121,MOYOBAMBA,98892,88248,43354,116617,37.18
122,NAZCA,78262,75632,49849,65912,75.63
123,OCROS,3973,3869,2891,6091,47.46
124,OTUZCO,68641,61698,26535,82587,32.13
125,OXAPAMPA,92156,84790,48941,90119,54.31
126,OYON,16277,14670,8714,14960,58.25
127,PACASMAYO,99066,93032,58736,91382,64.28
128,PACHITEA,36567,28948,9021,50022,18.03
129,PADRE ABAD,54097,42457,16314,62275,26.2
130,PAITA,123400,118087,80768,108135,74.69
131,PALLASCA,22279,20789,13839,21522,64.3
132,PALPA,14477,13893,9284,13605,68.24
133,PARINACOCHAS,26286,23273,11951,21435,55.75
134,PARURO,20412,18245,8566,29082,29.45
135,PASCO,118942,114783,72366,121241,59.69
136,PATAZ,83659,73915,33323,66651,50.0
137,PAUCAR DEL SARA SARA,9064,8336,5638,7780,72.47
138,PICOTA,38444,34221,16103,39006,41.28
139,PISCO,152510,142969,91708,132001,69.48
140,PIURA,822499,781252,483901,680271,71.13
141,POMABAMBA,25462,25125,18466,23094,79.96
142,PUERTO INCA,34934,28924,16549,33797,48.97
143,PUNO,186818,171118,93969,204101,46.04
144,PURUS,2359,1763,712,3793,18.77
145,PUTUMAYO,6362,4748,2532,8629,29.34
146,QUISPICANCHI,70217,58468,25306,83892,30.16
147,RECUAY,13060,12193,7261,18325,39.62
148,REQUENA,44932,35823,13863,59613,23.25
149,RIOJA,92691,82649,33036,119749,27.59
150,RODRIGUEZ DE MENDOZA,28013,26118,15970,27181,58.75
151,SAN ANTONIO DE PUTINA,23953,19760,6742,26520,25.42
152,SAN IGNACIO,114935,105228,52001,125031,41.59
153,SAN MARCOS,40912,36837,16415,46757,35.11
154,SAN MARTIN,199678,187369,118881,172322,68.99
155,SAN MIGUEL,42552,39067,21042,45061,46.7
156,SAN PABLO,18084,16611,9334,21837,42.74
157,SANCHEZ CARRION,130674,118965,61726,136804,45.12
158,SANDIA,38395,28836,9403,49202,19.11
159,SANTA,439035,419143,303431,405649,74.8
160,SANTA CRUZ,35280,32297,19309,37048,52.12
161,SANTIAGO DE CHUCO,42407,39120,17498,48370,36.18
162,SATIPO,145237,124003,53420,160063,33.37
163,SECHURA,76357,70409,37856,66259,57.13
164,SIHUAS,24756,24150,16717,26088,64.08
165,SUCRE,8984,8071,3889,9048,42.98
166,SULLANA,299393,284505,202272,283934,71.24
167,TACNA,289881,272569,170834,295740,57.76
168,TAHUAMANU,11185,9607,4716,9736,48.44
169,TALARA,133414,124524,89110,124726,71.44
170,TAMBOPATA,118050,95144,44995,114697,39.23
171,TARATA,2164,1953,1513,7214,20.97
172,TARMA,88354,84682,58275,84503,68.96
173,TAYACAJA,74734,66515,31607,86038,36.74
174,TOCACHE,76693,68699,35467,68028,52.14
175,TRUJILLO,978666,931811,661537,899600,73.54
176,TUMBES,165202,151678,96840,136966,70.7
177,UCAYALI,43818,32924,13034,58367,22.33
178,URUBAMBA,57642,52848,26906,63352,42.47
179,UTCUBAMBA,95666,87393,43828,102220,42.88
180,VICTOR FAJARDO,15526,13783,6076,19566,31.05
181,VILCAS HUAMAN,14468,12321,5676,18733,30.3
182,VIRU,123704,111690,65333,82791,78.91
183,YAROWILCA,17204,14691,7206,30229,23.84
184,YAULI,35620,34691,25184,35005,71.94
185,YAUYOS,17211,16226,9956,24162,41.21
186,YUNGAY,45732,41883,24391,51210,47.63
187,YUNGUYO,24839,21450,8587,34512,24.88
188,ZARUMILLA,47388,39704,25087,42009,59.72
