FECHA_VACUNACION,DOSIS1,DOSIS2,DOSIS3
2021-02-10,4,0,0
2021-02-11,1448,0,0
2021-02-12,892,0,0
2021-02-13,330,0,0
2021-02-15,66,0,0
2021-02-16,146,0,0
2021-02-17,162,0,0
2021-02-18,270,0,0
2021-02-19,1803,0,0
2021-02-20,1051,0,0
2021-02-21,244,0,0
2021-02-22,350,0,0
2021-02-23,134,0,0
2021-02-24,300,0,0
2021-02-25,296,0,0
2021-02-26,608,0,0
2021-02-27,506,0,0
2021-03-01,293,0,0
2021-03-02,64,0,0
2021-03-03,146,0,0
2021-03-04,0,1044,0
2021-03-05,95,618,0
2021-03-06,0,752,0
2021-03-09,16,278,0
2021-03-11,80,322,0
2021-03-12,54,1417,0
2021-03-13,0,1270,0
2021-03-15,0,574,0
2021-03-16,0,122,0
2021-03-17,110,308,0
2021-03-18,28,286,0
2021-03-19,84,346,0
2021-03-20,20,636,0
2021-03-22,4,304,0
2021-03-23,30,298,0
2021-03-24,6,80,0
2021-03-26,84,158,0
2021-03-27,142,58,0
2021-03-29,26,86,0
2021-03-30,22,18,0
2021-03-31,20,10,0
2021-04-05,290,132,0
2021-04-06,224,12,0
2021-04-07,120,108,0
2021-04-08,333,28,0
2021-04-09,969,80,0
2021-04-10,12,0,0
2021-04-13,0,12,0
2021-04-14,14,62,0
2021-04-16,0,76,0
2021-04-17,534,0,0
2021-04-18,618,0,0
2021-04-19,18,0,0
2021-04-20,204,52,0
2021-04-21,0,130,0
2021-04-26,1171,42,0
2021-04-27,0,36,0
2021-04-28,0,224,0
2021-04-29,0,197,0
2021-04-30,0,258,0
2021-05-02,0,648,0
2021-05-03,0,505,0
2021-05-04,834,0,0
2021-05-05,726,40,0
2021-05-06,912,6,0
2021-05-07,420,0,0
2021-05-08,618,0,0
2021-05-12,1170,0,0
2021-05-13,2547,1251,0
2021-05-14,3157,60,0
2021-05-15,1554,6,0
2021-05-17,358,2,0
2021-05-18,0,1038,0
2021-05-19,2768,3,0
2021-05-20,2609,1,0
2021-05-21,3288,0,0
2021-05-22,3041,1,0
2021-05-24,2802,0,0
2021-05-25,1205,2,0
2021-05-26,288,0,0
2021-05-27,1074,0,0
2021-05-28,420,1577,0
2021-05-29,318,1092,0
2021-05-31,2169,436,0
2021-06-01,3019,17,0
2021-06-02,2925,63,0
2021-06-03,2470,178,0
2021-06-04,0,22,0
2021-06-05,13,29,0
2021-06-07,21,159,0
2021-06-08,18,3855,0
2021-06-09,24,3533,0
2021-06-10,3499,323,0
2021-06-11,4160,171,0
2021-06-12,3053,139,0
2021-06-14,2795,157,0
2021-06-15,45,4023,0
2021-06-16,49,3946,0
2021-06-17,79,3389,0
2021-06-18,888,2580,0
2021-06-21,2034,618,0
2021-06-22,554,3242,0
2021-06-23,391,2800,0
2021-06-24,376,2678,0
2021-06-25,610,2633,0
2021-06-26,453,1,0
2021-06-28,1158,590,0
2021-06-29,72,0,0
2021-06-30,2765,247,0
2021-07-01,3860,69,0
2021-07-02,615,2913,0
2021-07-03,234,2839,0
2021-07-05,397,3071,0
2021-07-06,1000,2464,0
2021-07-07,3492,721,0
2021-07-08,4318,307,0
2021-07-09,4712,286,0
2021-07-10,2346,528,0
2021-07-12,3816,414,0
2021-07-13,3261,1124,0
2021-07-14,4125,664,0
2021-07-15,5310,421,0
2021-07-16,5091,416,0
2021-07-17,5480,337,0
2021-07-19,263,563,0
2021-07-20,4636,4,0
2021-07-21,3236,54,0
2021-07-22,330,2847,0
2021-07-23,544,3675,0
2021-07-24,3511,815,0
2021-07-25,3226,345,0
2021-07-26,2071,451,0
2021-07-27,2332,369,0
2021-07-30,7,3069,0
2021-07-31,4837,1836,0
2021-08-01,1455,1201,0
2021-08-02,1554,1942,0
2021-08-03,940,4229,0
2021-08-04,2043,2619,0
2021-08-05,1751,2752,0
2021-08-06,963,3112,0
2021-08-07,2116,3775,0
2021-08-08,248,2767,0
2021-08-09,4,3309,0
2021-08-10,6,3450,0
2021-08-11,24,2901,0
2021-08-12,2413,1145,0
2021-08-13,1094,697,0
2021-08-17,5,1943,0
2021-08-18,125,5060,0
2021-08-19,322,3972,0
2021-08-20,2520,2391,0
2021-08-21,5193,2128,0
2021-08-22,4142,2556,0
2021-08-23,342,854,0
2021-08-24,1415,2642,0
2021-08-25,475,728,0
2021-08-26,122,434,0
2021-08-27,355,207,0
2021-08-31,27,4247,0
2021-09-01,3288,1087,0
2021-09-02,269,1277,0
2021-09-03,1989,1480,0
2021-09-04,2796,1471,0
2021-09-05,2372,917,0
2021-09-06,2941,1047,0
2021-09-07,2868,662,0
2021-09-08,1898,859,0
2021-09-09,1645,448,0
2021-09-10,2238,659,0
2021-09-11,2819,1164,0
2021-09-13,1324,1464,0
2021-09-14,1193,2623,0
2021-09-15,1292,1605,0
2021-09-16,922,1246,0
2021-09-17,2378,464,0
2021-09-18,3818,382,0
2021-09-19,2387,452,0
2021-09-20,2004,845,0
2021-09-21,2249,637,0
2021-09-22,1513,694,0
2021-09-23,1046,1129,0
2021-09-24,1129,662,0
2021-09-25,1838,1027,0
2021-09-26,1183,725,0
2021-09-27,614,690,0
2021-09-28,602,2346,0
2021-09-29,595,2155,0
2021-09-30,573,2205,0
2021-10-01,468,1268,0
2021-10-02,732,1946,0
2021-10-03,594,1314,0
2021-10-04,401,1079,0
2021-10-05,438,1252,0
2021-10-06,859,1624,0
2021-10-07,867,1595,0
2021-10-09,827,1854,0
2021-10-10,569,1523,0
2021-10-11,239,1653,0
2021-10-12,338,2000,0
2021-10-13,404,2124,0
2021-10-14,382,1508,0
2021-10-15,607,1632,0
2021-10-16,457,1640,0
2021-10-17,248,1193,0
2021-10-18,310,1208,478
